left,right,time,region,cosine_mean,cosine_std
v180,v240,0.05,early,0.803690409171395,0.10435692000792404
v180,v270,0.05,early,0.7651897047180682,0.0982736702068301
v180,v300,0.05,early,0.7108770427876152,0.13282103664889283
v180,v400,0.05,early,0.593158130068332,0.13628926405896333
v180,v500,0.05,early,0.4944463723222725,0.1722530357131785
v180,v600,0.05,early,0.3919143930543214,0.2131286558415497
v240,v270,0.05,early,0.8709234357811511,0.08601134005610811
v240,v300,0.05,early,0.8217286583967507,0.0937711318545734
v240,v400,0.05,early,0.6744618885131786,0.13436375701859407
v240,v500,0.05,early,0.5488273049122654,0.16444044962081789
v240,v600,0.05,early,0.44859544970677234,0.2037992238046589
v270,v300,0.05,early,0.8604239858686924,0.08656457187747867
v270,v400,0.05,early,0.7099676751531661,0.12002986383657248
v270,v500,0.05,early,0.592137239407748,0.16274229870973964
v270,v600,0.05,early,0.4839305978966877,0.18870630709981956
v300,v400,0.05,early,0.7426494476385415,0.10081212420912714
v300,v500,0.05,early,0.6241078515886329,0.1512020473899414
v300,v600,0.05,early,0.5217078619607491,0.17470044839798982
v400,v500,0.05,early,0.7226357866311446,0.13893524460331497
v400,v600,0.05,early,0.6014541912445566,0.19859232940711544
v500,v600,0.05,early,0.6878294631897006,0.15879079479817168
v180,v240,0.15,early,0.8883668766357005,0.04648119699200884
v180,v270,0.15,early,0.8373245820403099,0.06019423012498884
v180,v300,0.15,early,0.7861457669641823,0.08415247621796215
v180,v400,0.15,early,0.6420811538118869,0.12086718755455458
v180,v500,0.15,early,0.4969180618354585,0.17268630093359041
v180,v600,0.15,early,0.4127035323472228,0.17743481055050103
v240,v270,0.15,early,0.9330417918972671,0.03441879771482657
v240,v300,0.15,early,0.888564539141953,0.04984556264554293
v240,v400,0.15,early,0.739382357802242,0.08707152780753782
v240,v500,0.15,early,0.5761041847072192,0.1524645376147161
v240,v600,0.15,early,0.46934463645447977,0.16112349267916715
v270,v300,0.15,early,0.9291655151173472,0.03886999286465342
v270,v400,0.15,early,0.782869212795049,0.07841008955688214
v270,v500,0.15,early,0.6143076503358316,0.15478163604585077
v270,v600,0.15,early,0.501891702413559,0.14995411832095015
v300,v400,0.15,early,0.8187551200389862,0.07825052021240414
v300,v500,0.15,early,0.6598356807371601,0.12914351634629026
v300,v600,0.15,early,0.5380580808850937,0.13983621516092232
v400,v500,0.15,early,0.7909737275913358,0.10598255408752041
v400,v600,0.15,early,0.6399104322772473,0.1443109151808653
v500,v600,0.15,early,0.7542493430664763,0.1118469610438746
v180,v240,0.25,early,0.8991872621700168,0.03191333320136045
