phase,condition,group,note,stages,boundaries,mode,transition_width,fid,sfid,inception_score,total_nfe,noise_sha256,label_sha256
02_causal_factorial,factorial_000,factorial,2^3 early-v270 / mid-v400 / late-v500 causal factorial,strong:0|strong:0|strong:0,0.33333|0.66667,hard,0.08,86.814848727602,219.92989819781678,29.287019729614258,6670,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
02_causal_factorial,factorial_010,factorial,2^3 early-v270 / mid-v400 / late-v500 causal factorial,strong:0|v400:4|strong:0,0.33333|0.66667,hard,0.08,72.37012084875823,220.18347458101766,33.528629302978516,13852,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
02_causal_factorial,factorial_100,factorial,2^3 early-v270 / mid-v400 / late-v500 causal factorial,v270:3.5|strong:0|strong:0,0.33333|0.66667,hard,0.08,71.31609089290174,211.75987056400606,36.139549255371094,9046,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
02_causal_factorial,factorial_110,factorial,2^3 early-v270 / mid-v400 / late-v500 causal factorial,v270:3.5|v400:4|strong:0,0.33333|0.66667,hard,0.08,64.40055660963486,214.7985149717067,37.41887664794922,11794,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
02_causal_factorial,replace_mid_v270_v400_v270,replacement,replace only middle third of static v270,v270:3.5|v400:4|v270:3.5,0.33333|0.66667,hard,0.08,64.0890847156428,218.83191124435143,36.29335021972656,13408,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
02_causal_factorial,reverse_v500_v400_v270,ordering,reverse of forward maturity order,v500:3|v400:4|v270:3.5,0.33333|0.66667,hard,0.08,69.83676972722725,221.94961654259828,35.005828857421875,13558,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
02_causal_factorial,factorial_001,factorial,2^3 early-v270 / mid-v400 / late-v500 causal factorial,strong:0|strong:0|v500:3,0.33333|0.66667,hard,0.08,84.76758583771198,222.55233321759147,28.716955184936523,10606,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
02_causal_factorial,factorial_011,factorial,2^3 early-v270 / mid-v400 / late-v500 causal factorial,strong:0|v400:4|v500:3,0.33333|0.66667,hard,0.08,73.69702632956023,222.33155011644374,31.880176544189453,14680,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
02_causal_factorial,factorial_101,factorial,2^3 early-v270 / mid-v400 / late-v500 causal factorial,v270:3.5|strong:0|v500:3,0.33333|0.66667,hard,0.08,70.29301176553224,213.52389226518733,36.553340911865234,12844,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
02_causal_factorial,factorial_111,factorial,2^3 early-v270 / mid-v400 / late-v500 causal factorial,v270:3.5|v400:4|v500:3,0.33333|0.66667,hard,0.08,65.30679595713082,216.73404121147541,35.87904739379883,12808,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
02_causal_factorial,replace_late_v270_v270_v500,replacement,replace only late third of static v270,v270:3.5|v270:3.5|v500:3,0.33333|0.66667,hard,0.08,60.63548829589752,217.11382591577126,38.467342376708984,12202,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
