weak,s,target_t,dt,n,disc_auc,gap_rms_mean,gap_rms_std,grad_rms_mean,grad_rms_std,cos_grad_gap_mean,cos_grad_gap_std,inner_mean_mean,inner_mean_std,signed_coeff_mean,signed_coeff_std,positive_coeff_mean,positive_coeff_std,finite_delta_plus_mean,finite_delta_plus_std,finite_delta_minus_mean,finite_delta_minus_std,positive_alignment_fraction
v180,0.0625,0.11249999701976776,0.05000000074505806,128,0.46734619140625,0.030550942159607075,0.012851959807987479,0.00031394709264986886,9.679002168135964e-05,0.007219533262059485,0.09018157444862035,-7.616474700933296e-09,1.0149614583558216e-06,-2.6935951902284927e-07,5.424510045380347e-05,1.8437393019987702e-05,2.9902247231875996e-05,-5.143301677890122e-07,0.00020917206390020735,2.5197668946930207e-06,0.0002065509904353408,0.53125
v180,0.1875,0.23749999701976776,0.05000000074505806,128,0.50048828125,0.06205939502979163,0.029948675906994113,0.00026194154878567133,9.437838226378742e-05,-0.0017088181780309242,0.09505691457914751,2.849620650557938e-09,1.3909472842981352e-06,2.066428953506616e-07,2.7788545668134378e-05,9.383827125841737e-06,1.652432538295399e-05,-5.655462018694379e-07,0.00028393954396622556,-1.8490028423912008e-06,0.000285606240106044,0.4921875
v180,0.3125,0.36250001192092896,0.05000000074505806,128,0.484375,0.08439570059999824,0.025069198139209214,0.00018301413459198557,8.591550400596895e-05,-0.0020113410214435135,0.06772837245421409,-7.271748311832305e-08,1.0524578121996069e-06,-1.936814169323231e-07,1.0523588085681986e-05,3.326105870921081e-06,6.535018209075569e-06,-1.4406985883397283e-05,0.00021525514594696656,1.551830064272508e-05,0.0002155980925204938,0.5234375
v180,0.4375,0.48750001192092896,0.05000000074505806,128,0.42462158203125,0.11768558519543149,0.03204054580216214,0.00012806641217366632,6.101363481075711e-05,0.008392742310206813,0.03862876914941384,1.3746680505022368e-07,5.999895377319569e-07,4.98770262313819e-07,2.662834351784184e-06,1.197155759080637e-06,1.8276093184172717e-06,2.7687100555340294e-05,0.00012259070444817764,-2.8693480544461636e-05,0.00012316947227510098,0.6171875
v180,0.5625,0.612500011920929,0.05000000074505806,128,0.5244140625,0.1405392182059586,0.025707740184651336,0.00012806807636422946,6.489477685787252e-05,2.1682639726350317e-05,0.029088106418469307,-5.4770984081464746e-08,5.913142041611772e-07,-1.2189613625424034e-07,1.4569244241982568e-06,4.600931649417772e-07,7.051512277129323e-07,-1.1526994057931006e-05,0.00012119537044876405,1.0869407560676336e-05,0.00012095448071521683,0.53125
v180,0.6875,0.737500011920929,0.05000000074505806,128,0.5399169921875,0.159087767242454,0.026139405540221677,0.00010205011524533347,5.4385442597302296e-05,-0.0016102985180168616,0.0212406584957251,-3.848193735889183e-08,3.7360777572879546e-07,-4.501550458693021e-08,8.377907593755626e-07,2.6321364094642613e-07,5.346033004711534e-07,-8.110568160191178e-06,7.698944321688846e-05,7.5388961704447865e-06,7.604900264335537e-05,0.4765625
v180,0.8125,0.862500011920929,0.05000000074505806,128,0.51165771484375,0.16999043500982225,0.023329051035614563,8.311245781555954e-05,5.609379207895536e-05,-0.0019569733758544317,0.017289926975310402,-6.404878317989304e-08,3.0239829812174344e-07,-1.0902940264512218e-07,5.635161215884524e-07,1.2384446140129013e-07,2.1128956089342613e-07,-1.3352197129279375e-05,6.232690835959827e-05,1.2795186194125563e-05,6.145825321436866e-05,0.4296875
v180,0.9375,0.987500011920929,0.05000000074505806,128,0.4912109375,0.1273710709065199,0.027380617260690045,7.702639588558213e-05,4.323653281667778e-05,-0.0010423360755567046,0.012685642435534057,-8.190417968845232e-09,1.381115521803033e-07,-2.45814679548928e-09,4.424528514493191e-07,1.5924829315991373e-07,2.905065459032715e-07,-1.8026476027444005e-06,2.836831427419729e-05,1.5576370060443878e-06,2.8265474060702892e-05,0.4921875
v240,0.0625,0.11249999701976776,0.05000000074505806,128,0.4593505859375,0.028990375838475302,0.011672044367312808,0.00029751219790341565,8.200398856094019e-05,-0.006387969962247553,0.09200352515585189,1.4983125434797628e-09,9.279861760915234e-07,-6.502118133355772e-06,5.325592816768227e-05,1.6810646335407853e-05,3.0383313197231005e-05,1.4001998351886868e-06,0.00019044669953010925,1.1334404916851781e-06,0.00018964270768514287,0.46875
v240,0.1875,0.23749999701976776,0.05000000074505806,128,0.4659423828125,0.05343886846094392,0.023875634879871183,0.0002448185414323234,8.346274937444392e-05,-0.0018463205269654281,0.08582897752782036,-1.6749514608616067e-08,1.0703175114980186e-06,-1.5956845102332862e-06,2.8812214441976337e-05,9.547705692128372e-06,1.58991843449301e-05,-3.043764991161879e-06,0.0002199864930476719,3.7002391763962805e-06,0.00021833158704798587,0.5234375
v240,0.3125,0.36250001192092896,0.05000000074505806,128,0.54180908203125,0.07977504935115576,0.026802416464907865,0.00018563399362392374,7.405190708750802e-05,0.002542502952110226,0.06740462064529842,1.8521916611557998e-08,1.0316381973502398e-06,4.51328467543366e-07,1.0384478661285586e-05,3.7911463776074683e-06,7.047341465857827e-06,5.412286554928869e-06,0.000211514022948182,-2.134831447619945e-06,0.0002110473325304506,0.4609375
v240,0.4375,0.48750001192092896,0.05000000074505806,128,0.46221923828125,0.10718436018214561,0.026636475153534168,0.00014441175025581288,8.538989065352029e-05,0.0007045206501743451,0.04000557939340261,6.581065276067832e-09,5.252992426518581e-07,3.943589048371887e-08,2.962410043387798e-06,1.047616018254316e-06,1.7924306847437836e-06,1.24021516967332e-06,0.00010747601698270833,-1.3071330613456666e-06,0.00010773196932182707,0.5546875
v240,0.5625,0.612500011920929,0.05000000074505806,128,0.462158203125,0.13027135166339576,0.02583961786828757,0.00013843071879193758,8.459879707101503e-05,-0.0061749955521008815,0.030297801019484625,-1.3865371728538634e-07,6.381338812296634e-07,-3.850801086544009e-07,1.9145684057858872e-06,4.852187447390577e-07,1.0793286363321418e-06,-2.8842302981502144e-05,0.00013252263808218593,2.7959133149124682e-05,0.00012868796318595056,0.3984375
v240,0.6875,0.737500011920929,0.05000000074505806,128,0.51123046875,0.14605040772585198,0.023585183672120043,0.00010133305836745876,6.701718535922532e-05,0.0005495120264527031,0.023807019484989658,1.8723013264776434e-08,4.3506009723865636e-07,1.550949802397658e-08,1.0504524148202482e-06,3.6529319954103565e-07,6.108993914404843e-07,3.5640550777316093e-06,8.9051354508419e-05,-4.100395017303526e-06,8.912523505654593e-05,0.5625
v240,0.8125,0.862500011920929,0.05000000074505806,128,0.5401611328125,0.15115093381609768,0.018912364642911413,8.382166791420786e-05,4.571158990562524e-05,0.00015581091338390252,0.018117809896141788,-3.076208690555582e-09,2.4980914869698743e-07,3.90364063296289e-09,5.715536713734632e-07,2.165668591957992e-07,3.6368821861684093e-07,-7.857670425437391e-07,5.120692933444714e-05,4.990797606296837e-07,5.114048641732943e-05,0.5390625
