name,mode,seed,gamma,gain,cutoff,fid,sfid,inception_score,gamma_mean,gamma_positive_fraction,gamma_clipped_fraction,noise_sha256,label_sha256
seed0_baseline,baseline,0,,,,86.80890812396035,219.92594329657913,29.277732849121094,0.0,0.0,0.0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
seed0_fixed_v180_g3p05,fixed,0,3.05,,,54.70932836050537,217.73074418954286,42.945884704589844,3.049999952316284,1.0,0.0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
seed0_early_v180_g4p5_t0p5,early,0,4.5,,0.5,55.494426400715724,211.84018959402567,44.7344970703125,2.727599258458211,0.6061331685462691,0.0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
seed0_disc_state_k25000,disc_state,0,,25000.0,,85.05109346239328,219.03412034946155,29.98686408996582,0.13851361199924778,0.3971553610503282,0.0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
seed0_disc_state_k50000,disc_state,0,,50000.0,,83.62383611981005,218.32095603626044,31.177288055419922,0.29303053111935773,0.41098233262486716,0.0004815356004250797,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
seed0_disc_state_k100000,disc_state,0,,100000.0,,80.72253630144507,216.89426933470224,31.761390686035156,0.5431248321992,0.4100609756097561,0.01247632015155103,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
seed0_disc_state_k200000,disc_state,0,,200000.0,,77.46401841213412,214.75280293104436,32.76787185668945,0.8900308259681452,0.41926512494519946,0.04892316966242876,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
seed0_disc_state_k400000,disc_state,0,,400000.0,,73.97528539115962,212.79049920152556,34.56660842895508,1.2601560413769166,0.42805884035857333,0.09457848559984741,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
seed0_disc_time_k400000,disc_time,0,,400000.0,,61.149522137963686,207.40926562262234,41.159114837646484,2.8528019394679953,1.0,0.0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
seed0_disc_gate_fixed_g4p5,disc_gate,0,4.5,,,62.41904814888528,214.8581836206306,38.6310920715332,1.771988143129367,0.3937751429176371,0.0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
seed1_baseline,baseline,1,,,,88.36291106882334,220.7444357449118,28.152294158935547,0.0,0.0,0.0,f93c605903ddba79fb765b33e6ee678309edae11409f5fa80f3b6f08ca5bb250,e80693e1116a8def122a2d90085c7f00a992abd4640cc69fe13322866d151e8b
seed1_fixed_v180_g3p05,fixed,1,3.05,,,54.45570497550136,217.3817923211052,42.78395462036133,3.049999952316284,1.0,0.0,f93c605903ddba79fb765b33e6ee678309edae11409f5fa80f3b6f08ca5bb250,e80693e1116a8def122a2d90085c7f00a992abd4640cc69fe13322866d151e8b
seed1_early_v180_g4p5_t0p5,early,1,4.5,,0.5,55.3792615050279,212.1710775004334,46.10273361206055,2.7131235610130466,0.6029163468917882,0.0,f93c605903ddba79fb765b33e6ee678309edae11409f5fa80f3b6f08ca5bb250,e80693e1116a8def122a2d90085c7f00a992abd4640cc69fe13322866d151e8b
seed1_disc_state_k400000,disc_state,1,,400000.0,,74.70041037129158,212.9632911593609,34.68404006958008,1.1716175904957402,0.4173632218844985,0.08580689589665653,f93c605903ddba79fb765b33e6ee678309edae11409f5fa80f3b6f08ca5bb250,e80693e1116a8def122a2d90085c7f00a992abd4640cc69fe13322866d151e8b
seed1_disc_time_k400000,disc_time,1,,400000.0,,62.21246457133492,207.75083718821338,42.666259765625,2.7555415023348067,1.0,0.0,f93c605903ddba79fb765b33e6ee678309edae11409f5fa80f3b6f08ca5bb250,e80693e1116a8def122a2d90085c7f00a992abd4640cc69fe13322866d151e8b
seed1_disc_gate_fixed_g4p5,disc_gate,1,4.5,,,61.880913164559956,215.44108677453858,38.47977066040039,1.8199112122101555,0.40442471382447903,0.0,f93c605903ddba79fb765b33e6ee678309edae11409f5fa80f3b6f08ca5bb250,e80693e1116a8def122a2d90085c7f00a992abd4640cc69fe13322866d151e8b
