condition,swd_2d,swd_fullD,mmd_2d,intrinsic_nll,intrinsic_swd,ambient_swd,intrinsic_mmd,off_subspace_rms,ridge_distance_mean,ridge_distance_median,ridge_distance_q90,reference_ridge_distance_mean,ridge_distance_excess,signed_ridge_mean,signed_ridge_std,signed_ridge_q10,signed_ridge_q50,signed_ridge_q90,reference_signed_ridge_mean,reference_signed_ridge_std,ridge_width_ratio,ridge_signed_bias_in_ref_std,conditional_ridge_w1,conditional_ridge_w1_worst_bin,conditional_ridge_valid_bins,arc_coverage_w1,arc_hist_tv,arc_hist_js,arc_empty_bin_fraction,ambient_surface_rms,ambient_surface_rms_q50,ambient_surface_rms_q90,ambient_surface_rms_q99,intrinsic_radius_mean,intrinsic_radius_std,intrinsic_radius_q10,intrinsic_radius_q90,reference_intrinsic_radius_mean,intrinsic_radius_mean_ratio
D0_x_shared,0.07095311534889323,0.09835607634705104,0.0016613006591796875,5.289116382598877,0.07095311534889323,0.09835607634705104,0.0016613006591796875,5.325019003521447e-08,0.0691339448094368,0.06836079061031342,0.13151156902313232,0.01920345611870289,0.04993049055337906,0.06902790814638138,0.043205536901950836,0.018033303320407867,0.06832131743431091,0.13151142001152039,-0.0008744261576794088,0.023955287411808968,1.8035908381818158,2.9180333614349365,0.07342859850015067,0.1545521798525971,15.0,0.01486259203701684,0.1429443359375,0.025601255323106642,0.0,5.325019003521447e-08,4.214684778958144e-08,1.1920928955078125e-07,1.884864389012364e-07,0.8707654476165771,0.35529208183288574,0.405897319316864,1.3972725868225098,0.9210076332092285,0.9454486762312885
D0_eps_shared,0.12107284593772624,0.16687506226221802,0.006350994110107422,1.3947919607162476,0.12107284593772624,0.16687506226221802,0.006350994110107422,5.134118907790253e-08,0.025997929275035858,0.015408330596983433,0.050811972469091415,0.01920345611870289,0.00679447315633297,0.00576152466237545,0.045835793018341064,-0.025064337998628616,0.005555594805628061,0.03700532019138336,-0.0008744261576794088,0.023955287411808968,1.9133894004438414,0.2770140469074249,0.015485937411889824,0.030529454646128936,16.0,0.0619551768913022,0.158935546875,0.024259046613660996,0.0,5.134118907790253e-08,4.214684778958144e-08,1.0536712125031045e-07,1.884864389012364e-07,0.8313502669334412,0.3903942108154297,0.3790728449821472,1.4502170085906982,0.9210076332092285,0.9026529606889593
D3_oracle_bayes_gate,0.01642189446458297,0.027952182462283467,3.898143768310547e-05,0.43902337551116943,0.01642189446458297,0.027952182462283467,3.898143768310547e-05,5.7368019668047054e-08,0.021213768050074577,0.015312761068344116,0.044092897325754166,0.01920345611870289,0.002010311931371689,0.001522556645795703,0.031778547912836075,-0.02986503206193447,6.112086703069508e-05,0.032324425876140594,-0.0008744261576794088,0.023955287411808968,1.3265776096332937,0.10006070137023926,0.006124859368518533,0.009861786940587767,16.0,0.0048717384385327765,0.04541015625,0.0015862070112929632,0.0,5.73680125626197e-08,4.222908600581832e-08,1.1920928955078125e-07,1.884864389012364e-07,0.9245736598968506,0.39625629782676697,0.3784745931625366,1.4693918228149414,0.9210076332092285,1.0038718752799
D1_x_own,0.03284748468684914,0.04482630129027372,-0.00022280216217041016,-0.08616826683282852,0.03284748468684914,0.04482630129027372,-0.00022280216217041016,5.801613411904327e-08,0.014542586170136929,0.013790236786007881,0.024353545159101486,0.01920345611870289,-0.00466086994856596,-0.001563126454129815,0.01877095364034176,-0.019603779539465904,-0.0030995996203273535,0.018995482474565506,-0.0008744261576794088,0.023955287411808968,0.783582902498947,0.028749406337738037,0.017773042132531128,0.024774405215223436,16.0,0.008914774379030871,0.077392578125,0.0050299721995794525,0.0,5.801613411904327e-08,4.3443975528134615e-08,1.1920928955078125e-07,1.9880629054114252e-07,0.9330683946609497,0.38749128580093384,0.4192507266998291,1.4792301654815674,0.9210076332092285,1.013095180774665
D1_eps_own,0.05292298884193426,0.08094336692600546,0.001651167869567871,1.8070902824401855,0.05292298884193426,0.08094336692600546,0.001651167869567871,5.8192032525994364e-08,0.027633391320705414,0.016035262495279312,0.0542282909154892,0.01920345611870289,0.008429935202002525,0.0011913384078070521,0.048666197806596756,-0.03350645303726196,-0.0004756863636430353,0.03663347661495209,-0.0008744261576794088,0.023955287411808968,2.0315430564446633,0.08623417466878891,0.012335104250545584,0.04005374495146263,16.0,0.00908948193087948,0.0657958984375,0.0039789951006713245,0.0,5.8192028973280685e-08,4.214684778958144e-08,1.1920928955078125e-07,1.9880629054114252e-07,0.9274585247039795,0.39821863174438477,0.394534707069397,1.476193904876709,0.9210076332092285,1.007004167242646
D1_gate_on_D0,0.02070810865966321,0.035530579552538355,0.00012576580047607422,1.35950767993927,0.02070810865966321,0.035530579552538355,0.00012576580047607422,5.763999411101395e-08,0.025230946019291878,0.014915799722075462,0.05009489506483078,0.01920345611870289,0.006027489900588989,0.002461693249642849,0.04439932107925415,-0.030727706849575043,0.0005801421357318759,0.034486256539821625,-0.0008744261576794088,0.023955287411808968,1.853424687251597,0.13926443457603455,0.011055382791392444,0.03182482314423747,16.0,0.008308866182718139,0.0479736328125,0.0017273238321349371,0.0,5.7640001216441306e-08,4.2239996389525913e-08,1.1920928955078125e-07,1.9620217983629118e-07,0.9287580847740173,0.39543208479881287,0.3864075243473053,1.469909906387329,0.9210076332092285,1.0084151871117317
D2_x_own,0.04792009371306176,0.07335452682251178,-8.654594421386719e-05,1.5234925746917725,0.04792009371306176,0.07335452682251178,-8.654594421386719e-05,5.906256461685189e-08,0.03092825599014759,0.02083829790353775,0.061827775090932846,0.01920345611870289,0.011724799871444702,0.002220588270574808,0.046862322837114334,-0.051023371517658234,-0.0009029981447383761,0.05370035767555237,-0.0008744261576794088,0.023955287411808968,1.9562413103844933,0.12919963896274567,0.0311884474142734,0.08195277902794118,16.0,0.02069062442781433,0.1376953125,0.015640226938921427,0.0,5.906256461685189e-08,4.214684778958144e-08,1.1920928955078125e-07,1.9880629054114252e-07,0.9453250169754028,0.39412587881088257,0.4007680416107178,1.5390748977661133,0.9210076332092285,1.026403020875561
D2_eps_own,0.054384585530779496,0.08035223015542246,0.0009387731552124023,3.7938311100006104,0.054384585530779496,0.08035223015542246,0.0009387731552124023,6.061091539777408e-08,0.03867191821336746,0.019349541515111923,0.09064571559429169,0.01920345611870289,0.019468462094664574,0.007528241258114576,0.06648273766040802,-0.03689207881689072,0.004057483747601509,0.059628479182720184,-0.0008744261576794088,0.023955287411808968,2.775284492209214,0.35076460242271423,0.02493469766828192,0.07485547863917817,16.0,0.0364015939364961,0.1026611328125,0.008283591802432287,0.0,6.061091539777408e-08,4.3443975528134615e-08,1.1920928955078125e-07,1.9880629054114252e-07,0.9618261456489563,0.3899843990802765,0.398694783449173,1.4663708209991455,0.9210076332092285,1.0443194073185873
D2_gate_on_D0,0.020859362516900994,0.03438626403691935,0.0001270771026611328,1.3853933811187744,0.020859362516900994,0.03438626403691935,0.0001270771026611328,5.7037865985876124e-08,0.0261680968105793,0.016018513590097427,0.05207778513431549,0.01920345611870289,0.0069646406918764114,0.001430865959264338,0.04495569318532944,-0.032857105135917664,6.376296369126067e-05,0.03548546880483627,-0.0008744261576794088,0.023955287411808968,1.8766501279032093,0.09623312205076218,0.011214625346184313,0.02756556169706824,16.0,0.007265043978507304,0.04736328125,0.0016733818184543462,0.0,5.7037862433162445e-08,4.214684778958144e-08,1.1920928955078125e-07,1.884864389012364e-07,0.9283180832862854,0.3962690830230713,0.3835716247558594,1.466111183166504,0.9210076332092285,1.0079374478706369
D4_x_own,0.036933577037742304,0.057326648577739676,-0.00013744831085205078,0.06351382285356522,0.036933577037742304,0.057326648577739676,-0.00013744831085205078,5.848401229968658e-08,0.01828349381685257,0.014717385172843933,0.037167251110076904,0.01920345611870289,-0.0009199623018503189,0.0019375920528545976,0.023406658321619034,-0.022804267704486847,-0.002475048415362835,0.0368061289191246,-0.0008744261576794088,0.023955287411808968,0.977097787191671,0.1173861175775528,0.020660150466670472,0.03877765589721735,16.0,0.01573706631919198,0.080078125,0.006118495078948693,0.0,5.848401229968658e-08,4.218796689769988e-08,1.1920928955078125e-07,1.9880629054114252e-07,0.9394741058349609,0.39280766248703003,0.41686299443244934,1.5076611042022705,0.9210076332092285,1.0200502927010349
D4_eps_own,0.07357338553568192,0.1135938445093696,0.0024046897888183594,1.5265623331069946,0.07357338553568192,0.1135938445093696,0.0024046897888183594,5.854344209410556e-08,0.0267845019698143,0.016184549778699875,0.053367115557193756,0.01920345611870289,0.007581045851111412,0.0015573056880384684,0.046007391065359116,-0.03323851525783539,-0.0002355400356464088,0.03651808947324753,-0.0008744261576794088,0.023955287411808968,1.9205526644059119,0.10151127725839615,0.011562115622337759,0.023381212651384677,16.0,0.02151520718105223,0.0970458984375,0.006044645033168431,0.0,5.854344209410556e-08,4.247484497454934e-08,1.1920928955078125e-07,1.974920422753712e-07,0.9476461410522461,0.40256884694099426,0.4056399166584015,1.4921479225158691,0.9210076332092285,1.0289232215700497
D4_gate_on_D0,0.020287915041685537,0.03391320308426002,0.00010001659393310547,1.3878908157348633,0.020287915041685537,0.03391320308426002,0.00010001659393310547,5.781992484799048e-08,0.025828799232840538,0.015503032132983208,0.05142810940742493,0.01920345611870289,0.0066253431141376495,0.0012055868282914162,0.0446663424372673,-0.03203659504652023,0.00035023654345422983,0.034919098019599915,-0.0008744261576794088,0.023955287411808968,1.8645713436628877,0.08682897686958313,0.01101277270903887,0.027821606543152685,16.0,0.007216099135235933,0.0477294921875,0.0017367731593081167,0.0,5.78199212952768e-08,4.215970506038502e-08,1.1920928955078125e-07,1.884864389012364e-07,0.9284172058105469,0.3958285450935364,0.38420987129211426,1.466783046722412,0.9210076332092285,1.0080450718692742
