condition,time,rollout_bayes_velocity_mse,state_swd_2d,state_intrinsic_swd,state_off_subspace_rms,true_off_subspace_rms,gate_mean,gate_std
Bayes_exact,0.01,0.0,0.029250373245089688,0.029250373245089688,5.409480152707147e-08,5.4825669337787986e-08,,
Bayes_exact,0.03,0.0,0.031125875858377283,0.031125875858377283,5.271049374755421e-08,5.351238741013731e-08,,
Bayes_exact,0.1,0.0,0.023686090772807235,0.023686090772807235,4.882240034476126e-08,4.8166953092732e-08,,
Bayes_exact,0.3,0.0,0.023900273153024877,0.023900273153024877,4.196878222728628e-08,3.972796491780173e-08,,
Bayes_exact,0.5,0.0,0.019581460087252804,0.019581460087252804,3.9237789906110265e-08,3.732086995000827e-08,,
Bayes_exact,0.7,0.0,0.018702982084807144,0.018702982084807144,4.3007258199168064e-08,4.217360682901017e-08,,
Bayes_exact,0.9,0.0,0.017406511853642583,0.017406511853642583,5.086728904757365e-08,5.2573049913462455e-08,,
Bayes_exact,0.97,0.0,0.018589336286785683,0.018589336286785683,5.520747237142132e-08,5.5274526289395e-08,,
Bayes_exact,0.99,0.0,0.02182375254782786,0.02182375254782786,5.8002171954285586e-08,5.650083778618864e-08,,
B0_v_ind,0.01,0.002084759995341301,0.02934264811281584,0.02934264811281584,5.4318334719027916e-08,5.4825669337787986e-08,,
B0_v_ind,0.03,0.0019441505428403616,0.03123733421542687,0.03123733421542687,5.319514428947514e-08,5.351238741013731e-08,,
B0_v_ind,0.1,0.001963813556358218,0.024288008553969592,0.024288008553969592,4.93865854878095e-08,4.8166953092732e-08,,
B0_v_ind,0.3,0.0014771700371056795,0.024945450992923963,0.024945450992923963,4.167278433442334e-08,3.972796491780173e-08,,
B0_v_ind,0.5,0.0028569658752530813,0.022209469242488337,0.022209469242488337,3.8865863416504e-08,3.732086995000827e-08,,
B0_v_ind,0.7,0.01753222569823265,0.019408008748723615,0.019408008748723615,4.3154635420705745e-08,4.217360682901017e-08,,
B0_v_ind,0.9,0.686739444732666,0.02617434711778622,0.02617434711778622,5.1337284645569525e-08,5.2573049913462455e-08,,
B0_v_ind,0.97,2.0641367435455322,0.02903244973041457,0.02903244973041457,5.5652552788387766e-08,5.5274526289395e-08,,
B0_v_ind,0.99,0.5422694683074951,0.03256902697298754,0.03256902697298754,5.6772130108129204e-08,5.650083778618864e-08,,
B1_x_ind,0.01,0.000101163808722049,0.02924171406310359,0.02924171406310359,5.347858333948352e-08,5.4825669337787986e-08,,
B1_x_ind,0.03,0.00010549443686613813,0.03099502339618125,0.03099502339618125,5.364136512753248e-08,5.351238741013731e-08,,
B1_x_ind,0.1,7.675977394683287e-05,0.023424398188441893,0.023424398188441893,4.935356301416505e-08,4.8166953092732e-08,,
B1_x_ind,0.3,0.00028768862830474973,0.02345331544560606,0.02345331544560606,4.229135797118033e-08,3.972796491780173e-08,,
B1_x_ind,0.5,0.0020635994151234627,0.019318609135631673,0.019318609135631673,3.973985940319835e-08,3.732086995000827e-08,,
B1_x_ind,0.7,0.05031284689903259,0.019828447864864734,0.019828447864864734,4.238681583501602e-08,4.217360682901017e-08,,
B1_x_ind,0.9,2.716891288757324,0.045157863295499485,0.045157863295499485,5.187208884649408e-08,5.2573049913462455e-08,,
B1_x_ind,0.97,8.504396438598633,0.05909569353378035,0.05909569353378035,5.526619872853189e-08,5.5274526289395e-08,,
B1_x_ind,0.99,4.721833229064941,0.06360606153907868,0.06360606153907868,5.686262483095561e-08,5.650083778618864e-08,,
B2_eps_ind,0.01,21.765270233154297,0.1520322832449018,0.1520322832449018,4.877774273381874e-08,5.4825669337787986e-08,,
B2_eps_ind,0.03,1.8437528610229492,0.16691509509872443,0.16691509509872443,4.969449207692378e-08,5.351238741013731e-08,,
B2_eps_ind,0.1,0.17515170574188232,0.17498179207064696,0.17498179207064696,4.757986360459654e-08,4.8166953092732e-08,,
B2_eps_ind,0.3,0.02762758359313011,0.16881960993187456,0.16881960993187456,4.09467304507416e-08,3.972796491780173e-08,,
B2_eps_ind,0.5,0.013795195147395134,0.15393787828404734,0.15393787828404734,3.859659258864667e-08,3.732086995000827e-08,,
B2_eps_ind,0.7,0.0059527563862502575,0.16166245962385795,0.16166245962385795,4.3516003245258617e-08,4.217360682901017e-08,,
B2_eps_ind,0.9,0.10145888477563858,0.18190639503004438,0.18190639503004438,5.232755739825734e-08,5.2573049913462455e-08,,
B2_eps_ind,0.97,0.2442171275615692,0.20105870336144435,0.20105870336144435,5.552542603481925e-08,5.5274526289395e-08,,
B2_eps_ind,0.99,0.04607396200299263,0.2026671388705862,0.2026671388705862,5.552285031740212e-08,5.650083778618864e-08,,
D0_x_shared,0.01,0.0003824438317678869,0.029255366761859962,0.029255366761859962,5.4476327449037854e-08,5.4825669337787986e-08,,
D0_x_shared,0.03,0.0002873210178222507,0.03107175534997469,0.03107175534997469,5.397832580911199e-08,5.351238741013731e-08,,
D0_x_shared,0.1,0.00029926616116426885,0.023603872676044017,0.023603872676044017,4.9893213116547486e-08,4.8166953092732e-08,,
D0_x_shared,0.3,0.0007309482898563147,0.023183584210469302,0.023183584210469302,4.169389455910277e-08,3.972796491780173e-08,,
D0_x_shared,0.5,0.0013592622708529234,0.019696356323040502,0.019696356323040502,3.8659614176594914e-08,3.732086995000827e-08,,
D0_x_shared,0.7,0.009047171100974083,0.018311644145099844,0.018311644145099844,4.2886110662720967e-08,4.217360682901017e-08,,
D0_x_shared,0.9,0.23801398277282715,0.021699517631248277,0.021699517631248277,5.1261022093740394e-08,5.2573049913462455e-08,,
D0_x_shared,0.97,0.91880202293396,0.02404112330140873,0.02404112330140873,5.659523694134805e-08,5.5274526289395e-08,,
D0_x_shared,0.99,5.825307846069336,0.038130770297288175,0.038130770297288175,5.785626910892461e-08,5.650083778618864e-08,,
D0_eps_shared,0.01,4.4904632568359375,0.16366782281088854,0.16366782281088854,4.235380046679893e-08,5.4825669337787986e-08,,
D0_eps_shared,0.03,0.34916406869888306,0.17232576390529125,0.17232576390529125,4.258124519651574e-08,5.351238741013731e-08,,
D0_eps_shared,0.1,0.02681000530719757,0.1546576736147469,0.1546576736147469,4.048845880788576e-08,4.8166953092732e-08,,
D0_eps_shared,0.3,0.0029663676396012306,0.13659670181346611,0.13659670181346611,3.378989887892203e-08,3.972796491780173e-08,,
D0_eps_shared,0.5,0.001962011680006981,0.11447835229221476,0.11447835229221476,3.209093080158709e-08,3.732086995000827e-08,,
D0_eps_shared,0.7,0.005624112673103809,0.10266136216101937,0.10266136216101937,3.721164532066723e-08,4.217360682901017e-08,,
D0_eps_shared,0.9,0.12490244209766388,0.1090272213403584,0.1090272213403584,4.4938481380540907e-08,5.2573049913462455e-08,,
D0_eps_shared,0.97,0.305156409740448,0.11527107908923895,0.11527107908923895,5.003924030688722e-08,5.5274526289395e-08,,
D0_eps_shared,0.99,0.07477206736803055,0.11929832646075367,0.11929832646075367,5.127773761159915e-08,5.650083778618864e-08,,
D0_fixed_x_eps,0.01,0.0003824438317678869,0.029255366761859962,0.029255366761859962,5.4476327449037854e-08,5.4825669337787986e-08,1.0,0.0
D0_fixed_x_eps,0.03,0.0002873210178222507,0.03107175534997469,0.03107175534997469,5.397832580911199e-08,5.351238741013731e-08,1.0,0.0
D0_fixed_x_eps,0.1,0.00029926616116426885,0.023603872676044017,0.023603872676044017,4.9893213116547486e-08,4.8166953092732e-08,1.0,0.0
D0_fixed_x_eps,0.3,0.0007309482898563147,0.023183584210469302,0.023183584210469302,4.169389455910277e-08,3.972796491780173e-08,1.0,0.0
D0_fixed_x_eps,0.5,0.0013592622708529234,0.019696356323040502,0.019696356323040502,3.8659614176594914e-08,3.732086995000827e-08,1.0,0.0
D0_fixed_x_eps,0.7,0.005413536913692951,0.018832461983855308,0.018832461983855308,4.298014388837146e-08,4.217360682901017e-08,0.0,0.0
D0_fixed_x_eps,0.9,0.10791605710983276,0.02228743434009097,0.02228743434009097,5.1616410701171844e-08,5.2573049913462455e-08,0.0,0.0
D0_fixed_x_eps,0.97,0.27915000915527344,0.021392451475775752,0.021392451475775752,5.65177877831502e-08,5.5274526289395e-08,0.0,0.0
D0_fixed_x_eps,0.99,0.07198585569858551,0.024049371101740505,0.024049371101740505,5.585504325722468e-08,5.650083778618864e-08,0.0,0.0
D0_safe_schedule,0.01,0.0011306771775707603,0.02928289424962434,0.02928289424962434,5.347931875121503e-08,5.4825669337787986e-08,0.9900000095367432,0.0
D0_safe_schedule,0.03,0.0008009261218830943,0.03125721210932382,0.03125721210932382,5.2228678271148965e-08,5.351238741013731e-08,0.9700000286102295,0.0
D0_safe_schedule,0.1,0.0007045600796118379,0.023949645187905266,0.023949645187905266,4.88148366173391e-08,4.8166953092732e-08,0.8999999761581421,0.0
D0_safe_schedule,0.3,0.0008310005650855601,0.024169815816028353,0.024169815816028353,4.209198323223973e-08,3.972796491780173e-08,0.699999988079071,0.0
D0_safe_schedule,0.5,0.0015647374093532562,0.021598190799994827,0.021598190799994827,3.949762117372302e-08,3.732086995000827e-08,0.5,0.0
D0_safe_schedule,0.7,0.004072653129696846,0.01894364587518043,0.01894364587518043,4.267257480705666e-08,4.217360682901017e-08,0.30000001192092896,0.0
D0_safe_schedule,0.9,0.12400202453136444,0.02054098791620798,0.02054098791620798,5.169385275394234e-08,5.2573049913462455e-08,0.10000002384185791,0.0
D0_safe_schedule,0.97,0.2745405435562134,0.020006196015366517,0.020006196015366517,5.605781439044222e-08,5.5274526289395e-08,0.029999971389770508,0.0
D0_safe_schedule,0.99,0.07252376526594162,0.023027533082502542,0.023027533082502542,5.659031643290291e-08,5.650083778618864e-08,0.009999990463256836,0.0
D3_oracle_bayes_gate,0.01,0.000287513539660722,0.02926150053397567,0.02926150053397567,5.432244876146797e-08,5.4825669337787986e-08,0.9980313181877136,0.005875859875231981
D3_oracle_bayes_gate,0.03,0.00020190534996800125,0.031106353976748283,0.031106353976748283,5.28471773009187e-08,5.351238741013731e-08,0.9927142262458801,0.016307100653648376
D3_oracle_bayes_gate,0.1,0.00022455121506936848,0.02367561056685092,0.02367561056685092,5.0695422970647996e-08,4.8166953092732e-08,0.9616162776947021,0.09606564790010452
D3_oracle_bayes_gate,0.3,0.0003021248849108815,0.023511838597773713,0.023511838597773713,4.098699690757712e-08,3.972796491780173e-08,0.7882877588272095,0.3111843466758728
D3_oracle_bayes_gate,0.5,0.000808028387837112,0.02007490250009778,0.02007490250009778,3.944499127328527e-08,3.732086995000827e-08,0.5746742486953735,0.3522554039955139
D3_oracle_bayes_gate,0.7,0.002342208754271269,0.01842668667238527,0.01842668667238527,4.2798831145773875e-08,4.217360682901017e-08,0.38877493143081665,0.34049326181411743
D3_oracle_bayes_gate,0.9,0.0764930248260498,0.01836500296683924,0.01836500296683924,5.128263325104854e-08,5.2573049913462455e-08,0.14254428446292877,0.23911572992801666
D3_oracle_bayes_gate,0.97,0.05581999197602272,0.016867887571815274,0.016867887571815274,5.577845740845078e-08,5.5274526289395e-08,0.1196984201669693,0.17084923386573792
D3_oracle_bayes_gate,0.99,0.015359561890363693,0.022229236423199673,0.022229236423199673,5.731780561291089e-08,5.650083778618864e-08,0.012798383831977844,0.04674876481294632
D1_scaled_gate,0.01,0.009044363163411617,0.02941480238139682,0.02941480238139682,5.2908177394783706e-08,5.4825669337787986e-08,0.9542465209960938,0.03379978984594345
D1_scaled_gate,0.03,0.0015998281305655837,0.03151788607903687,0.03151788607903687,5.2780940507091145e-08,5.351238741013731e-08,0.9376029968261719,0.04495755955576897
D1_scaled_gate,0.1,0.0004310798249207437,0.023977036301274474,0.023977036301274474,5.001957958938874e-08,4.8166953092732e-08,0.9212313294410706,0.05205704644322395
D1_scaled_gate,0.3,0.0006545953219756484,0.0238753823296646,0.0238753823296646,4.084915516955334e-08,3.972796491780173e-08,0.8576400876045227,0.06473276764154434
D1_scaled_gate,0.5,0.0009922910248860717,0.020911018940566982,0.020911018940566982,3.883906174451113e-08,3.732086995000827e-08,0.6161950826644897,0.07410991936922073
D1_scaled_gate,0.7,0.0036069576162844896,0.018144601722221067,0.018144601722221067,4.296465760944557e-08,4.217360682901017e-08,0.22800511121749878,0.07220321893692017
D1_scaled_gate,0.9,0.11852138489484787,0.01939140840744361,0.01939140840744361,5.285191306825254e-08,5.2573049913462455e-08,0.014862053096294403,0.016171762719750404
D1_scaled_gate,0.97,0.2707338035106659,0.01872262848887249,0.01872262848887249,5.559876115057705e-08,5.5274526289395e-08,0.017871174961328506,0.017598634585738182
D1_scaled_gate,0.99,0.08062364161014557,0.02175683192897687,0.02175683192897687,5.681787840217112e-08,5.650083778618864e-08,0.0281080175191164,0.023808667436242104
D2_velocity_gate,0.01,0.0008250492974184453,0.029314096399106072,0.029314096399106072,5.442372952302321e-08,5.4825669337787986e-08,0.9982227087020874,0.0018838278483599424
D2_velocity_gate,0.03,0.000884920940734446,0.031193920437478005,0.031193920437478005,5.308990225216803e-08,5.351238741013731e-08,0.9938569664955139,0.006038025952875614
D2_velocity_gate,0.1,0.0008118583355098963,0.023612971488477068,0.023612971488477068,4.889450977429988e-08,4.8166953092732e-08,0.9643908143043518,0.03458351641893387
D2_velocity_gate,0.3,0.0013779762666672468,0.023212452645129,0.023212452645129,4.168830258777234e-08,3.972796491780173e-08,0.9289178848266602,0.04212116450071335
D2_velocity_gate,0.5,0.001968533266335726,0.020239623237184225,0.020239623237184225,3.911835477765635e-08,3.732086995000827e-08,0.6991466879844666,0.09941482543945312
D2_velocity_gate,0.7,0.010032972320914268,0.01901935800863524,0.01901935800863524,4.283918997316505e-08,4.217360682901017e-08,0.20636536180973053,0.12958590686321259
D2_velocity_gate,0.9,0.26617303490638733,0.0228247245298162,0.0228247245298162,5.242509359959513e-08,5.2573049913462455e-08,0.00036225796793587506,0.0019260428380221128
D2_velocity_gate,0.97,0.7413345575332642,0.025035833326727732,0.025035833326727732,5.6189687569485613e-08,5.5274526289395e-08,0.0002698666648939252,0.000843601010274142
D2_velocity_gate,0.99,0.16526368260383606,0.027448103318079016,0.027448103318079016,5.754437637506271e-08,5.650083778618864e-08,0.0006658401107415557,0.0017787230899557471
D4_safe_velocity_gate,0.01,0.0004366150824353099,0.029250794756550402,0.029250794756550402,5.408084646774114e-08,5.4825669337787986e-08,0.9991697669029236,0.0003712387115228921
D4_safe_velocity_gate,0.03,0.00041824457002803683,0.031029685840554534,0.031029685840554534,5.3473034000717234e-08,5.351238741013731e-08,0.9964988827705383,0.0015702932141721249
D4_safe_velocity_gate,0.1,0.0003106588264927268,0.023612412811447957,0.023612412811447957,5.126298674440477e-08,4.8166953092732e-08,0.9830353260040283,0.007298349402844906
D4_safe_velocity_gate,0.3,0.0006236506160348654,0.023116846824312434,0.023116846824312434,4.1854008259178954e-08,3.972796491780173e-08,0.8958719968795776,0.033864643424749374
D4_safe_velocity_gate,0.5,0.0009796693921089172,0.020211868221956007,0.020211868221956007,3.950916038775176e-08,3.732086995000827e-08,0.6816838383674622,0.05892235040664673
D4_safe_velocity_gate,0.7,0.0040146298706531525,0.017792797732315055,0.017792797732315055,4.337440984159002e-08,4.217360682901017e-08,0.294723242521286,0.044979073107242584
D4_safe_velocity_gate,0.9,0.10612408816814423,0.019243973598753968,0.019243973598753968,5.202853259334006e-08,5.2573049913462455e-08,0.039437390863895416,0.030112382024526596
D4_safe_velocity_gate,0.97,0.24175167083740234,0.019235028863187696,0.019235028863187696,5.6223058209070587e-08,5.5274526289395e-08,0.01420641504228115,0.0110566895455122
D4_safe_velocity_gate,0.99,0.05724107101559639,0.023170071121441812,0.023170071121441812,5.616247022999232e-08,5.650083778618864e-08,0.0044577522203326225,0.002895924961194396
S0_xv_switch,0.01,0.0027163210324943066,0.029276644620612073,0.029276644620612073,5.466684882549089e-08,5.4825669337787986e-08,1.0,0.0
S0_xv_switch,0.03,0.0014325350057333708,0.031118807635582217,0.031118807635582217,5.265188818270872e-08,5.351238741013731e-08,1.0,0.0
S0_xv_switch,0.1,0.0005541432183235884,0.023658946689280112,0.023658946689280112,4.962598865176915e-08,4.8166953092732e-08,1.0,0.0
S0_xv_switch,0.3,0.0007580546080134809,0.023852646589603364,0.023852646589603364,4.21982200293769e-08,3.972796491780173e-08,1.0,0.0
S0_xv_switch,0.5,0.006275898776948452,0.018087858023512433,0.018087858023512433,3.856698782556123e-08,3.732086995000827e-08,1.0,0.0
S0_xv_switch,0.7,0.01599596068263054,0.022196279469975523,0.022196279469975523,4.299688072251229e-08,4.217360682901017e-08,0.0,0.0
S0_xv_switch,0.9,0.9145479798316956,0.029784089908860674,0.029784089908860674,5.361827248862028e-08,5.2573049913462455e-08,0.0,0.0
S0_xv_switch,0.97,2.689976453781128,0.035990282754138805,0.035990282754138805,5.565195593248973e-08,5.5274526289395e-08,0.0,0.0
S0_xv_switch,0.99,0.6927486658096313,0.0407566214678574,0.0407566214678574,5.651493495406612e-08,5.650083778618864e-08,0.0,0.0
S1_xv_consistency_switch,0.01,0.0019980925135314465,0.029285943025362523,0.029285943025362523,5.3718395065516233e-08,5.4825669337787986e-08,1.0,0.0
S1_xv_consistency_switch,0.03,0.0010225377045571804,0.031110522732901737,0.031110522732901737,5.317654228065294e-08,5.351238741013731e-08,1.0,0.0
S1_xv_consistency_switch,0.1,0.00045219348976388574,0.02388109498916853,0.02388109498916853,4.8793282303449814e-08,4.8166953092732e-08,1.0,0.0
S1_xv_consistency_switch,0.3,0.0007873231079429388,0.02377371043514391,0.02377371043514391,4.1493464664199564e-08,3.972796491780173e-08,1.0,0.0
S1_xv_consistency_switch,0.5,0.006539320107549429,0.01774766419800984,0.01774766419800984,3.908175472133735e-08,3.732086995000827e-08,1.0,0.0
S1_xv_consistency_switch,0.7,0.022829439491033554,0.023510464407812015,0.023510464407812015,4.225014293979257e-08,4.217360682901017e-08,0.0,0.0
S1_xv_consistency_switch,0.9,1.536651849746704,0.037204655610006916,0.037204655610006916,5.1297956105145204e-08,5.2573049913462455e-08,0.0,0.0
S1_xv_consistency_switch,0.97,4.710202217102051,0.047461725311120126,0.047461725311120126,5.5357823214308155e-08,5.5274526289395e-08,0.0,0.0
S1_xv_consistency_switch,0.99,1.317440152168274,0.05272880391342473,0.05272880391342473,5.705500072394898e-08,5.650083778618864e-08,0.0,0.0
