condition,time,rollout_bayes_velocity_mse,state_swd_2d,state_intrinsic_swd,state_off_subspace_rms,true_off_subspace_rms,gate_mean,gate_std
D0_x_shared,0.01,0.0009847097098827362,0.021801179370835456,0.021801179370835456,4.738804904036442e-08,4.845319523383296e-08,,
D0_x_shared,0.03,0.0004523850220721215,0.024750547011689553,0.024750547011689553,4.761410110631914e-08,4.766827643720717e-08,,
D0_x_shared,0.1,0.00045386049896478653,0.023759929485180985,0.023759929485180985,4.361399419394729e-08,4.418625465518744e-08,,
D0_x_shared,0.3,0.0005688139935955405,0.01844751887294608,0.01844751887294608,3.734566433877262e-08,3.6610469322795325e-08,,
D0_x_shared,0.5,0.0014468188164755702,0.01847731770137321,0.01847731770137321,3.426978523179969e-08,3.314482199812119e-08,,
D0_x_shared,0.7,0.009416179731488228,0.016041893723216873,0.016041893723216873,3.791524960661263e-08,3.6517590729090443e-08,,
D0_x_shared,0.9,0.24720251560211182,0.04637668899399329,0.04637668899399329,4.668711639510548e-08,4.454185287272594e-08,,
D0_x_shared,0.97,1.1689797639846802,0.05657994040347875,0.05657994040347875,5.009028214431055e-08,4.8104567440532264e-08,,
D0_x_shared,0.99,4.884347915649414,0.05648309889283967,0.05648309889283967,5.106172551450072e-08,4.8349715342510535e-08,,
D0_eps_shared,0.01,9.272177696228027,0.1120990708133136,0.1120990708133136,3.8951259995201326e-08,4.845319523383296e-08,,
D0_eps_shared,0.03,0.7684450745582581,0.10765158346679095,0.10765158346679095,4.033913114653842e-08,4.766827643720717e-08,,
D0_eps_shared,0.1,0.08244830369949341,0.08823342648163474,0.08823342648163474,3.9044738997517925e-08,4.418625465518744e-08,,
D0_eps_shared,0.3,0.007191834039986134,0.06527655955603817,0.06527655955603817,3.3634300677931606e-08,3.6610469322795325e-08,,
D0_eps_shared,0.5,0.003760186955332756,0.0597530928492488,0.0597530928492488,3.253012437198777e-08,3.314482199812119e-08,,
D0_eps_shared,0.7,0.004319162108004093,0.06193491097983805,0.06193491097983805,3.628037958947061e-08,3.6517590729090443e-08,,
D0_eps_shared,0.9,0.12459299713373184,0.06752558700196618,0.06752558700196618,4.299764810866691e-08,4.454185287272594e-08,,
D0_eps_shared,0.97,0.30683308839797974,0.06460595709000794,0.06460595709000794,4.683718657361169e-08,4.8104567440532264e-08,,
D0_eps_shared,0.99,0.08200172334909439,0.07877961324773014,0.07877961324773014,4.699032984945006e-08,4.8349715342510535e-08,,
D3_oracle_bayes_gate,0.01,0.0006974110146984458,0.021808413670512422,0.021808413670512422,4.857660229617977e-08,4.845319523383296e-08,0.9930965900421143,0.009327149018645287
D3_oracle_bayes_gate,0.03,0.000337041390594095,0.02472021685349215,0.02472021685349215,4.747409576566497e-08,4.766827643720717e-08,0.9882906675338745,0.022873377427458763
D3_oracle_bayes_gate,0.1,0.0003947715740650892,0.0237038738053141,0.0237038738053141,4.402946274240094e-08,4.418625465518744e-08,0.9692212343215942,0.07608841359615326
D3_oracle_bayes_gate,0.3,0.00033611885737627745,0.018072382336246716,0.018072382336246716,3.6702310524105997e-08,3.6610469322795325e-08,0.8984450101852417,0.15460093319416046
D3_oracle_bayes_gate,0.5,0.0008771240245550871,0.01747346005086183,0.01747346005086183,3.4174391316810215e-08,3.314482199812119e-08,0.6825658082962036,0.2995254099369049
D3_oracle_bayes_gate,0.7,0.002795478329062462,0.014513959748745265,0.014513959748745265,3.790628611000102e-08,3.6517590729090443e-08,0.3538596034049988,0.37003958225250244
D3_oracle_bayes_gate,0.9,0.10635769367218018,0.034212406856944565,0.034212406856944565,4.5274472171286106e-08,4.454185287272594e-08,0.20340782403945923,0.29412463307380676
D3_oracle_bayes_gate,0.97,0.1584288477897644,0.032949168839830255,0.032949168839830255,4.920478602343792e-08,4.8104567440532264e-08,0.08858499675989151,0.14384043216705322
D3_oracle_bayes_gate,0.99,0.05505870655179024,0.028446414841986782,0.028446414841986782,4.998440061854126e-08,4.8349715342510535e-08,0.013415101915597916,0.04779905825853348
D1_x_own,0.01,0.0009766831062734127,0.02182396122873563,0.02182396122873563,4.890287641501345e-08,4.845319523383296e-08,,
D1_x_own,0.03,0.00045102828880771995,0.02477241743173987,0.02477241743173987,4.6798870556585825e-08,4.766827643720717e-08,,
D1_x_own,0.1,0.0003983553615398705,0.02384026643933613,0.02384026643933613,4.378543394523149e-08,4.418625465518744e-08,,
D1_x_own,0.3,0.0006629410199820995,0.018677805920117183,0.018677805920117183,3.6980878803660744e-08,3.6610469322795325e-08,,
D1_x_own,0.5,0.0012879569549113512,0.018680917103812082,0.018680917103812082,3.470650256076624e-08,3.314482199812119e-08,,
D1_x_own,0.7,0.009155713953077793,0.016166415405055295,0.016166415405055295,3.865970654715056e-08,3.6517590729090443e-08,,
D1_x_own,0.9,0.23657740652561188,0.04297598782945739,0.04297598782945739,4.546156162632542e-08,4.454185287272594e-08,,
D1_x_own,0.97,1.2239413261413574,0.05132013180530359,0.05132013180530359,4.9433069193582924e-08,4.8104567440532264e-08,,
D1_x_own,0.99,6.011561870574951,0.0522594861970194,0.0522594861970194,5.1391253919064184e-08,4.8349715342510535e-08,,
D1_eps_own,0.01,16.459335327148438,0.029544937549833512,0.029544937549833512,4.547674592458861e-08,4.845319523383296e-08,,
D1_eps_own,0.03,1.2862262725830078,0.03799775195986642,0.03799775195986642,4.8437200916851e-08,4.766827643720717e-08,,
D1_eps_own,0.1,0.1339002400636673,0.046318372363716095,0.046318372363716095,4.451229074220464e-08,4.418625465518744e-08,,
D1_eps_own,0.3,0.011360062286257744,0.053142436408570914,0.053142436408570914,3.8666868817927025e-08,3.6610469322795325e-08,,
D1_eps_own,0.5,0.004725254140794277,0.050957380522513675,0.050957380522513675,3.64051651047248e-08,3.314482199812119e-08,,
D1_eps_own,0.7,0.005286256782710552,0.052989973053336886,0.052989973053336886,3.9480983815565196e-08,3.6517590729090443e-08,,
