condition,swd_2d,swd_fullD,mmd_2d,intrinsic_nll,intrinsic_swd,ambient_swd,intrinsic_mmd,off_subspace_rms,ridge_distance_mean,ridge_distance_median,ridge_distance_q90,reference_ridge_distance_mean,ridge_distance_excess,signed_ridge_mean,signed_ridge_std,signed_ridge_q10,signed_ridge_q50,signed_ridge_q90,reference_signed_ridge_mean,reference_signed_ridge_std,ridge_width_ratio,ridge_signed_bias_in_ref_std,conditional_ridge_w1,conditional_ridge_w1_worst_bin,conditional_ridge_valid_bins,arc_coverage_w1,arc_hist_tv,arc_hist_js,arc_empty_bin_fraction,ambient_surface_rms,ambient_surface_rms_q50,ambient_surface_rms_q90,ambient_surface_rms_q99,intrinsic_radius_mean,intrinsic_radius_std,intrinsic_radius_q10,intrinsic_radius_q90,reference_intrinsic_radius_mean,intrinsic_radius_mean_ratio
Bayes_exact,0.026740132916483403,0.03364328560308002,5.793571472167969e-05,0.04120124876499176,0.026740132916483403,0.03364328560308002,5.793571472167969e-05,5.0138275753397465e-08,0.01899159699678421,0.01584836281836033,0.03897715359926224,0.019163258373737335,-0.000171661376953125,-0.00046035333070904016,0.023753274232149124,-0.03071540594100952,-0.0003972212434746325,0.029916148632764816,-0.0004803299671038985,0.02403179369866848,0.9884103754379854,0.0008312586578540504,0.00242048456163639,0.003479251154014236,16.0,0.005062259142109971,0.037109375,0.001245773391774287,0.0,5.0138275753397465e-08,4.214684778958144e-08,9.759512664686554e-08,1.8005141555477167e-07,0.9237936735153198,0.3941793739795685,0.3750213086605072,1.4719207286834717,0.9289865493774414,0.9944101710992462
B0_v_ind,0.04381003929258102,0.06553033476508618,7.152557373046875e-06,16.661312103271484,0.04381003929258102,0.06553033476508618,7.152557373046875e-06,4.8931919849337646e-08,0.0978739857673645,0.05580019950866699,0.2637719511985779,0.019163258373737335,0.07871072739362717,0.020743347704410553,0.13290058076381683,-0.13960157334804535,0.0067445095628499985,0.21282660961151123,-0.0004803299671038985,0.02403179369866848,5.53019813794342,0.8831499218940735,0.07869492353381505,0.1365422926367078,16.0,0.011462800075507236,0.0657958984375,0.0038301129553944806,0.0,4.893191629662397e-08,4.214684778958144e-08,1.000987666088804e-07,1.8380070798684756e-07,0.9227443933486938,0.4067947566509247,0.37132665514945984,1.4697792530059814,0.9289865493774414,0.9932806820153308
B1_x_ind,0.07238644544291872,0.10346279075009966,-5.8531761169433594e-05,29.332935333251953,0.07238644544291872,0.10346279075009966,-5.8531761169433594e-05,4.934685193802579e-08,0.15478938817977905,0.14288458228111267,0.3023679554462433,0.019163258373737335,0.13562613725662231,0.045141562819480896,0.17440907657146454,-0.22889834642410278,0.06466469168663025,0.2660854756832123,-0.0004803299671038985,0.02403179369866848,7.257430666988788,1.8983973264694214,0.14190406408655304,0.17223960106513225,16.0,0.0383892841365268,0.120849609375,0.011746269861165897,0.0,4.934685193802579e-08,4.214684778958144e-08,9.42432194506182e-08,1.6998075125229661e-07,0.9283570051193237,0.3736270070075989,0.37578773498535156,1.384611964225769,0.9289865493774414,0.9993223322140244
B2_eps_ind,0.1964772108624789,0.2979453404296709,0.019051194190979004,3.5205492973327637,0.1964772108624789,0.2979453404296709,0.019051194190979004,4.532680364377484e-08,0.037841714918613434,0.0198688767850399,0.08202467858791351,0.019163258373737335,0.0186784565448761,0.011617671698331833,0.0635930672287941,-0.033417828381061554,0.00869084894657135,0.05601011961698532,-0.0004803299671038985,0.02403179369866848,2.646205606879755,0.5034164786338806,0.026139742671218012,0.0617260505238609,15.0,0.04707283429963062,0.227294921875,0.04827026581044211,0.0,4.532680364377484e-08,4.214684778958144e-08,9.42432194506182e-08,1.6858739115832577e-07,0.8726597428321838,0.40641018748283386,0.32912948727607727,1.3823940753936768,0.9289865493774414,0.9393674681479459
D0_x_shared,0.0791372910246224,0.09459076305105299,0.001047372817993164,2.830023765563965,0.0791372910246224,0.09459076305105299,0.001047372817993164,4.869339420565666e-08,0.05085078999400139,0.04167244955897331,0.10807448625564575,0.019163258373737335,0.03168753162026405,0.04854971542954445,0.03722677379846573,0.01378566212952137,0.0412554070353508,0.1067216545343399,-0.0004803299671038985,0.02403179369866848,1.5490634725500467,2.0402159690856934,0.050018965188020216,0.11579066604120987,16.0,0.013497700135692809,0.1300048828125,0.013052762829268453,0.0,4.86933871002293e-08,4.214684778958144e-08,9.42432194506182e-08,1.6858739115832577e-07,0.892075777053833,0.3719435930252075,0.32587718963623047,1.3852097988128662,0.9289865493774414,0.9602676999485686
D0_eps_shared,0.07511722531179739,0.11741915661719017,0.0030875205993652344,1.4779987335205078,0.07511722531179739,0.11741915661719017,0.0030875205993652344,4.796572028453738e-08,0.027582883834838867,0.01796305552124977,0.051576167345047,0.019163258373737335,0.008419625461101532,0.0071439919993281364,0.04426665976643562,-0.027016527950763702,0.004133979324251413,0.043734367936849594,-0.0004803299671038985,0.02403179369866848,1.8420039852825587,0.3172597885131836,0.014256259850844638,0.030333717302662308,16.0,0.022331649339871598,0.1212158203125,0.011175667621060115,0.0,4.796572028453738e-08,4.214684778958144e-08,9.42432194506182e-08,1.7377590211253846e-07,0.8914362788200378,0.39657139778137207,0.37198853492736816,1.4366950988769531,0.9289865493774414,0.9595793172865982
D0_fixed_x_eps,0.02326390336282929,0.02798646463680868,-0.00012445449829101562,1.595949649810791,0.02326390336282929,0.02798646463680868,-0.00012445449829101562,5.005522041301447e-08,0.027414150536060333,0.0169965960085392,0.0545051246881485,0.019163258373737335,0.008250892162322998,0.003888820530846715,0.04666535183787346,-0.03157048672437668,0.001950032077729702,0.03790894150733948,-0.0004803299671038985,0.02403179369866848,1.941817261874174,0.18180708587169647,0.012930988003635832,0.025528399591793278,16.0,0.004621444781071014,0.04638671875,0.0017221071924577117,0.0,5.005522041301447e-08,4.214684778958144e-08,1.0536712125031045e-07,1.884864389012364e-07,0.9300047755241394,0.394940048456192,0.3806324303150177,1.476166009902954,0.9289865493774414,1.0010960612372486
D0_safe_schedule,0.023278518127711346,0.0283656318507038,-0.00012290477752685547,1.7041854858398438,0.023278518127711346,0.0283656318507038,-0.00012290477752685547,5.042585371484165e-08,0.02790185622870922,0.01708630658686161,0.05509904772043228,0.019163258373737335,0.008738597854971886,0.002557185012847185,0.0478249117732048,-0.03345802426338196,0.0004738237475976348,0.036754779517650604,-0.0004803299671038985,0.02403179369866848,1.9900683391708136,0.12639568746089935,0.013442891457243079,0.02940468250504996,16.0,0.007714470751565465,0.0487060546875,0.001800631216549193,0.0,5.042585371484165e-08,4.214684778958144e-08,9.940314527057126e-08,1.7378395966716198e-07,0.9363135099411011,0.3959978222846985,0.3836769461631775,1.4811509847640991,0.9289865493774414,1.0078870469853087
D3_oracle_bayes_gate,0.02543236484966292,0.02997579812199758,-0.00013637542724609375,0.8382254838943481,0.02543236484966292,0.02997579812199758,-0.00013637542724609375,4.99919678986771e-08,0.023396199569106102,0.01665434241294861,0.045881714671850204,0.019163258373737335,0.004232941195368767,0.00035818549804389477,0.03690677136182785,-0.03181995451450348,0.00021804479183629155,0.03197029232978821,-0.0004803299671038985,0.02403179369866848,1.5357476776222796,0.034891922026872635,0.00823015890776039,0.019855686229112463,16.0,0.00400144147951227,0.046142578125,0.0017377019885670168,0.0,4.99919678986771e-08,4.214684778958144e-08,9.483041196745035e-08,1.7377590211253846e-07,0.9319384098052979,0.3947626054286957,0.3804072141647339,1.4787871837615967,0.9289865493774414,1.0031775061004216
D1_scaled_gate,0.02481642120616204,0.031576892883555426,-5.817413330078125e-05,1.6429717540740967,0.02481642120616204,0.031576892883555426,-5.817413330078125e-05,4.995451519107519e-08,0.027080977335572243,0.01652151346206665,0.05307219922542572,0.019163258373737335,0.007917718961834908,0.0027969733346253633,0.04620365798473358,-0.03200297802686691,0.0004028067924082279,0.03529214486479759,-0.0004803299671038985,0.02403179369866848,1.9226054685753053,0.1363736391067505,0.013002947618973058,0.025704010177800416,16.0,0.007302069852298925,0.0439453125,0.0016510696077220895,0.0,4.995451519107519e-08,4.214684778958144e-08,9.737332362647066e-08,1.7377590211253846e-07,0.9347696304321289,0.39776918292045593,0.3834291100502014,1.4809753894805908,0.9289865493774414,1.0062251504702227
