phase,region,gamma,fid,sfid,inception_score,total_nfe,noise_sha256,label_sha256,condition
00_anchor,baseline,0.0,86.81638352406026,219.92868271999873,29.284334182739258,6670,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,baseline_v800
00_anchor,full,3.05,54.7056047308447,217.7287395550228,42.946922302246094,11818,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,static_v180_g3p05
01_half_coarse,high_noise,0.5,78.58482442926083,218.27966047610755,33.88569641113281,7684,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g0p5
01_half_coarse,high_noise,1.0,73.25718201163045,216.49399373111817,35.79633712768555,8038,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g1
01_half_coarse,high_noise,1.5,68.05560197064301,214.56829551010765,38.176544189453125,8746,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g1p5
01_half_coarse,high_noise,2.0,62.996633607964725,213.40949296670442,41.29261016845703,8884,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g2
01_half_coarse,high_noise,2.5,59.724288851726556,212.30891309948004,43.565093994140625,9658,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g2p5
01_half_coarse,high_noise,3.0,56.778189795611866,211.82178730330565,44.86534881591797,10576,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g3
01_half_coarse,high_noise,3.5,55.99832202126822,211.2913902160824,43.80227279663086,11494,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g3p5
01_half_coarse,high_noise,4.0,55.933519608098095,211.4214375289513,43.775413513183594,12442,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g4
01_half_coarse,high_noise,4.5,55.49511433837051,211.84376900288248,44.741188049316406,12946,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g4p5
01_half_coarse,high_noise,5.0,56.05026091256366,212.693676718578,45.65104293823242,13612,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g5
01_half_coarse,high_noise,5.5,56.35348038127694,213.6097840676473,46.249385833740234,14410,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g5p5
01_half_coarse,high_noise,6.0,57.111133753967806,214.95014516961953,46.29948806762695,14596,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g6
01_half_coarse,low_noise,0.5,80.17977714235383,220.63400611035922,30.947433471679688,7762,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g0p5
01_half_coarse,low_noise,1.0,75.64552664230735,221.67668804917287,33.03910446166992,9706,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g1
01_half_coarse,low_noise,1.5,72.49050241448742,222.73525014149584,35.04174041748047,10156,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g1p5
01_half_coarse,low_noise,2.0,69.56419270136689,223.91483138883802,35.6314811706543,11140,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g2
01_half_coarse,low_noise,2.5,67.93610429135009,225.14565715120557,36.052154541015625,12682,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g2p5
01_half_coarse,low_noise,3.0,67.37791402192738,226.4823994114471,35.8597297668457,13174,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g3
01_half_coarse,low_noise,3.5,67.63539024579416,227.8856418143523,35.41831588745117,13960,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g3p5
01_half_coarse,low_noise,4.0,68.0046718289259,229.27351549035052,34.84023666381836,14890,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g4
01_half_coarse,low_noise,4.5,69.0045138975301,230.6774428999786,33.92518997192383,15706,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g4p5
