sample_id,step,time,construction,left_sigma,right_sigma,slope_direction_cosine,slope_rms_ratio
1,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.9811691082345744,0.7630317061290435
1,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.9803745645650521,0.7549680138685732
1,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.9759739749525993,0.5962340175974293
1,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.9868320709541308,0.6312384413385809
1,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8810011914081098,0.7623535465461622
1,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.9058505526042406,0.7225481761031666
1,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8678299600624015,0.6053939949196989
1,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.9386348003039187,0.6380297786082831
1,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.8368182540540466,0.7185818695150614
1,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9278499878394205,0.6741174481298823
1,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.8457173497610586,0.6321843223889467
1,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9324886203509434,0.6428455751400481
1,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.9077553951530163,0.7708866078773308
1,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9538405363834482,0.6708678461920047
1,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.9013379882774281,0.7294747032960582
1,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9561829906478223,0.6575415761650717
1,95,0.29629629850387573,predicted_clean_axis,0.35,0.7,0.9581767648373462,0.6567516093412922
1,95,0.29629629850387573,predicted_clean_axis,0.7,1.0,0.9795800246057711,0.636153962373143
1,95,0.29629629850387573,oracle_clean_axis,0.35,0.7,0.9530278702980765,0.6405604636053708
1,95,0.29629629850387573,oracle_clean_axis,0.7,1.0,0.9789061839217973,0.6304006198145826
1,98,0.14035087823867798,predicted_clean_axis,0.35,0.7,0.9663769648656292,0.5920517450379584
1,98,0.14035087823867798,predicted_clean_axis,0.7,1.0,0.9860650596935956,0.6087658185401712
1,98,0.14035087823867798,oracle_clean_axis,0.35,0.7,0.9642565341579644,0.5852143702204109
1,98,0.14035087823867798,oracle_clean_axis,0.7,1.0,0.9856769922666735,0.6065630203302931
5,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.8208542956421992,1.1459767132654515
5,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.9725823028933612,0.6529179096475105
5,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.9617175686422483,0.6453529714220662
5,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.9893252279410714,0.6357268865663178
5,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.7813680948177973,0.8993793334827195
5,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.924769092519582,0.6997646487970364
5,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8419817741535791,0.572316440902436
5,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.9226836427710499,0.6797443490678563
5,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.8508179919759224,0.7927609249243232
5,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9576271171999353,0.6155754266201344
5,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.864719112992499,0.6344113739689043
5,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9599793412741983,0.6059732140354058
5,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.9021173322497021,0.7730376460731715
5,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9621766116476351,0.6368470110011314
5,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.8949249312255817,0.7316702199965638
5,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9642541312468523,0.627676580064859
5,95,0.29629629850387573,predicted_clean_axis,0.35,0.7,0.9515197680387022,0.6571589902270821
5,95,0.29629629850387573,predicted_clean_axis,0.7,1.0,0.9791502581873265,0.6182774070916197
5,95,0.29629629850387573,oracle_clean_axis,0.35,0.7,0.9485373842912038,0.6477399668486967
5,95,0.29629629850387573,oracle_clean_axis,0.7,1.0,0.9787273254497109,0.6166501433900737
5,98,0.14035087823867798,predicted_clean_axis,0.35,0.7,0.9670836389515195,0.589461887521666
5,98,0.14035087823867798,predicted_clean_axis,0.7,1.0,0.9864424037301502,0.5998310277027922
5,98,0.14035087823867798,oracle_clean_axis,0.35,0.7,0.9651079942694094,0.584226373034815
5,98,0.14035087823867798,oracle_clean_axis,0.7,1.0,0.9860706507950867,0.5990101583021178
9,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.9688295665938571,0.7892677742694678
9,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.9821167575364834,0.8216006858181989
9,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.973517417317382,0.637686334503642
9,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.9828559474192256,0.6814648348485435
9,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.9217515342894876,0.7852381207037255
9,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.9391921280349717,0.7917099430423806
9,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8899097877158041,0.5942698698028591
9,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.9430043269147812,0.6884280160983286
9,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.8295018468658218,0.8141336801446849
9,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9385129526847719,0.7006616767869779
9,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.8548059374244721,0.7173507679574063
9,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9352406855337471,0.6840035265151734
9,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.9081135658545094,0.7865123058456789
9,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9505487022386947,0.701700078014062
9,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.9040639735137525,0.7569738925415818
9,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9531185825703263,0.688192053249544
9,95,0.29629629850387573,predicted_clean_axis,0.35,0.7,0.9525528472766184,0.6670930961629229
9,95,0.29629629850387573,predicted_clean_axis,0.7,1.0,0.9762208287517652,0.6526441056307056
9,95,0.29629629850387573,oracle_clean_axis,0.35,0.7,0.9492916446291919,0.6603496391433922
9,95,0.29629629850387573,oracle_clean_axis,0.7,1.0,0.9758008112909987,0.6485199700983205
9,98,0.14035087823867798,predicted_clean_axis,0.35,0.7,0.9638482257926352,0.6078592322537455
9,98,0.14035087823867798,predicted_clean_axis,0.7,1.0,0.9831312811878324,0.629015348707695
9,98,0.14035087823867798,oracle_clean_axis,0.35,0.7,0.9621058258040834,0.6021138044045744
9,98,0.14035087823867798,oracle_clean_axis,0.7,1.0,0.9828900216356098,0.626628019468334
13,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.9538920772569356,0.8875129287824762
13,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.9591363332649163,0.9041778105794757
13,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.9275549121249801,0.7100963766175903
13,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.9607587855963631,0.7598569183423942
13,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8372018472280451,0.7936357689417752
13,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.9368602437190013,0.6971635872235029
13,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8862318314451798,0.6569160540701492
13,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.9607823330545263,0.6346658066713806
13,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.7689264188978536,0.7198476045166895
13,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9283562140286629,0.6569904251560204
13,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.8005556444104741,0.625594553633099
13,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9419651505979241,0.6281095396816269
13,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.8638287055892739,0.8165559442082525
13,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9499711935224373,0.6647125017417477
13,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.8671003033251925,0.7801652176675101
13,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9558786725054281,0.6515656676879836
13,95,0.29629629850387573,predicted_clean_axis,0.35,0.7,0.9436549883838615,0.6918229278650185
13,95,0.29629629850387573,predicted_clean_axis,0.7,1.0,0.9755061878638542,0.6380979565146436
13,95,0.29629629850387573,oracle_clean_axis,0.35,0.7,0.9410756671095154,0.6853417338142322
13,95,0.29629629850387573,oracle_clean_axis,0.7,1.0,0.9756546175038012,0.6346839554641963
13,98,0.14035087823867798,predicted_clean_axis,0.35,0.7,0.9634607233917466,0.6149104049134688
13,98,0.14035087823867798,predicted_clean_axis,0.7,1.0,0.983673185682593,0.6167640511774518
13,98,0.14035087823867798,oracle_clean_axis,0.35,0.7,0.9619426496584397,0.6101211985887343
13,98,0.14035087823867798,oracle_clean_axis,0.7,1.0,0.9834697860589787,0.6152660561524388
17,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.7964521090360256,0.9952737181435964
17,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.9328909736614174,0.7114238252527632
17,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.7670992736666065,0.7140599899833141
17,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.9040392542804864,0.7589098727720698
17,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.869381599553784,0.8168117826663797
17,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.9175236323726259,0.7430072349709556
17,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8141095969409468,0.7048294528987327
17,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.9580897653548286,0.6177948459581645
17,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.8549888404943558,0.7823951694615316
17,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9441501836582784,0.6601646363567939
17,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.863394689203325,0.6625982699184476
17,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9478324676403812,0.6390692344004397
17,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.9090395856815751,0.7537656459846689
17,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9575076720795952,0.6541991440152364
17,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.9047884016804073,0.7160043282388393
17,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9580726728915462,0.6466243163988278
17,95,0.29629629850387573,predicted_clean_axis,0.35,0.7,0.9532274753278736,0.6528880134425846
17,95,0.29629629850387573,predicted_clean_axis,0.7,1.0,0.9802580544828174,0.6179007851958331
17,95,0.29629629850387573,oracle_clean_axis,0.35,0.7,0.9494534114772872,0.6394308784084409
17,95,0.29629629850387573,oracle_clean_axis,0.7,1.0,0.9798903923406693,0.6167524756024292
17,98,0.14035087823867798,predicted_clean_axis,0.35,0.7,0.9670028413905721,0.5910815485827665
17,98,0.14035087823867798,predicted_clean_axis,0.7,1.0,0.9874316031188898,0.5970851973603873
17,98,0.14035087823867798,oracle_clean_axis,0.35,0.7,0.9646022105720136,0.5847178579158806
17,98,0.14035087823867798,oracle_clean_axis,0.7,1.0,0.9870873324821349,0.596173330768043
21,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.9203525061303814,0.9818688627323512
21,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.9320763594032169,0.947977776887348
21,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.8961543941018556,0.5947473337467393
