reference,step,time,region,cos_residual_mean,cos_residual_std,gamma_ls_mean,gamma_ls_std,gamma_ls_positive_fraction,positive_reduction_fraction_mean,positive_reduction_fraction_std
v180,180000,0.05,early,-0.0191103788338296,0.11796773887549022,-0.5278399383823853,3.2990570517703777,0.46875,0.005086670905200208,0.012761504944404495
v180,180000,0.15,early,-0.02367206747203454,0.09351206586711122,-0.36980999003571924,1.3810020122533362,0.4296875,0.0026479597642135033,0.009611346374878963
v180,180000,0.25,early,-0.02279679592447792,0.07306852742773794,-0.2840529042441631,0.7604189998263857,0.375,0.001400583893243823,0.004325719543144578
v180,180000,0.35,mid,-0.028508035398544962,0.04596788595105612,-0.27336194863346464,0.4340786872525105,0.25,0.00043090515193644485,0.0015999504818936185
v180,180000,0.5,mid,-0.027781144178277373,0.03763607139273145,-0.1877599717420253,0.27325457514879,0.234375,0.00016689644083517363,0.0006846685571724497
v180,180000,0.65,mid,-0.033535801173457,0.02591397346676007,-0.20028221272150404,0.15514616821825972,0.0859375,1.923004275594664e-05,0.0001071056948731348
v180,180000,0.75,late,-0.03625023417316697,0.021714804728757836,-0.2026489208365092,0.1220491764312689,0.03125,4.199704903840029e-06,2.4140828524360202e-05
v180,180000,0.85,late,-0.035595798821134395,0.018644687304168014,-0.20440679551836638,0.1056068736784845,0.0234375,2.0110673446538385e-06,1.5435806158232655e-05
v180,180000,0.95,late,-0.024231698336450336,0.017781620793161982,-0.2164689429646387,0.16145247276305386,0.0859375,1.5970296244283144e-05,9.694427619854731e-05
v240,240000,0.05,early,-0.02489158954085724,0.12041417555061631,-0.8717661068512825,3.5778124931107795,0.4140625,0.005372183676633835,0.015988382959305082
v240,240000,0.15,early,-0.03355886826830101,0.09096779449028708,-0.5603913247177843,1.548191670893781,0.390625,0.0019106892645694984,0.006397124331647569
v240,240000,0.25,early,-0.0273386522499095,0.06930514628495318,-0.3654015680149314,0.8124523956158505,0.296875,0.0012023916527850176,0.0038681421177193683
v240,240000,0.35,mid,-0.030357249278949894,0.047595886802426164,-0.319192090548313,0.4810018386705558,0.2265625,0.00047650214536432145,0.0019273458785228027
v240,240000,0.5,mid,-0.03164631051276956,0.03768331610720485,-0.233197921224928,0.29327915285878176,0.2109375,0.00016421254055032364,0.000683952632725348
v240,240000,0.65,mid,-0.03577464664867591,0.026918576996896763,-0.23455887965411648,0.17508450545647083,0.0859375,2.116453981315658e-05,0.00010182102756049379
v240,240000,0.75,late,-0.03796358152845869,0.022069214157618425,-0.23407069691756988,0.1364036897145217,0.0390625,4.451447949804788e-06,2.9856325444641004e-05
v240,240000,0.85,late,-0.03782393540723206,0.0193663429642319,-0.238695123422076,0.11869129075659693,0.0234375,1.1260261771894875e-06,8.389853692076959e-06
v240,240000,0.95,late,-0.027222414861171274,0.017741495496361524,-0.26512564551012474,0.17599255727725976,0.0546875,7.3971572298603405e-06,7.460579533613851e-05
v270,270000,0.05,early,-0.02209378774796278,0.11831608250113432,-0.6945246281538857,3.6099431091636083,0.3984375,0.005246545239167233,0.013957918966659703
v270,270000,0.15,early,-0.03290010603052451,0.08828734901528315,-0.5597187143494011,1.525086438509208,0.375,0.001709223509783253,0.005281918613785316
v270,270000,0.25,early,-0.026616734314870882,0.06819309179788863,-0.37148694971892837,0.8591624263713322,0.3046875,0.001106332143490596,0.0036547858258561697
v270,270000,0.35,mid,-0.030869366181761393,0.047790639892102374,-0.3333515697814846,0.5003840479761068,0.2109375,0.0004394643196121706,0.0017217690320522065
v270,270000,0.5,mid,-0.0320152355728851,0.03787504455815607,-0.2457044594520994,0.31071496530813647,0.1953125,0.0001651464567355987,0.0006701461872326327
v270,270000,0.65,mid,-0.03660810712563034,0.027397291166265436,-0.2515194114175756,0.18655751883264104,0.1015625,2.188400868963214e-05,0.00011652282179786945
v270,270000,0.75,late,-0.03790197471425927,0.02185347370297226,-0.24523513021995313,0.141410505793479,0.0390625,3.0915551576526923e-06,1.9560478066738302e-05
v270,270000,0.85,late,-0.037793148560353984,0.01936873943959687,-0.2496681515203818,0.12244771691679911,0.0234375,1.2897922125887362e-06,1.055200659195117e-05
v270,270000,0.95,late,-0.027404317895388886,0.018147513702190237,-0.278439509562304,0.1866051343156884,0.0625,6.829814139797108e-06,7.136862178351347e-05
v300,300000,0.05,early,-0.018298451232340085,0.1270935833894038,-0.5441678075294476,4.028191425346371,0.4140625,0.006798190068503962,0.018883690300406042
v300,300000,0.15,early,-0.034898131878208005,0.08809015916056384,-0.6064922907607979,1.6021331867924942,0.359375,0.0017909352154674707,0.005602436056989498
v300,300000,0.25,early,-0.0265442674510723,0.0649355211854383,-0.3755201747699175,0.8306945632280924,0.3125,0.0009429913887277763,0.0030583109685444
v300,300000,0.35,mid,-0.030312532941024983,0.04998711997781689,-0.33648665132932365,0.5356103931085788,0.265625,0.000493872751036406,0.0020917333459861214
v300,300000,0.5,mid,-0.03149661466613907,0.03783534553291415,-0.2551173017855035,0.33051020536364073,0.203125,0.00019092024880285052,0.0007350952753720067
v300,300000,0.65,mid,-0.03645513610717899,0.02728406119451734,-0.2645340931812825,0.19608119736213706,0.1015625,2.3252720845690078e-05,0.00012746526607917627
v300,300000,0.75,late,-0.03841063140839651,0.021898677508567038,-0.2628169060158143,0.15105509212856352,0.046875,2.778891295962538e-06,2.3604732713375812e-05
v300,300000,0.85,late,-0.038167563837006924,0.019160072438813895,-0.26606878050358773,0.12730610602509906,0.03125,7.785069442434178e-07,5.5719631796681164e-06
v300,300000,0.95,late,-0.028088860149637185,0.018097711553990262,-0.29938641849003034,0.193414357517092,0.0546875,7.593100614267101e-06,7.327482854216876e-05
v400,400000,0.05,early,-0.013562432732214802,0.12297008949513902,-0.45855332317296416,4.424813571102927,0.4453125,0.006382823688198869,0.017821165962841095
v400,400000,0.15,early,-0.0398557278476801,0.09529519736479564,-0.7566387405968271,1.9113349157566204,0.3828125,0.0018344002444905527,0.0051722680300054615
v400,400000,0.25,early,-0.026338402296914865,0.06693507146225287,-0.42347531609630096,0.9909775558174598,0.3203125,0.0010473634350192107,0.0037330047598247086
v400,400000,0.35,mid,-0.02740013336915581,0.0488158255352529,-0.34192952048033476,0.6289237973037287,0.25,0.0005338103596557175,0.002034374730527512
v400,400000,0.5,mid,-0.03121313361907596,0.03689356934026048,-0.298040109424619,0.3862260843800682,0.2109375,0.00016606722642009686,0.0006371533030635684
v400,400000,0.65,mid,-0.03354654775830568,0.02737728938617705,-0.2941123507325756,0.24013054722240965,0.1171875,4.1913659530767866e-05,0.0002241583775268306
v400,400000,0.75,late,-0.03437295269441165,0.021513344552080673,-0.2874039544331026,0.183701671430895,0.0625,6.128781241176995e-06,3.6686153740582e-05
v400,400000,0.85,late,-0.034692015608015936,0.018380331755390153,-0.295814569137292,0.15529598596815752,0.046875,8.232481519598878e-06,4.39600811167017e-05
v400,400000,0.95,late,-0.02658443904692831,0.018070916216528492,-0.3354656717419857,0.2274517081227703,0.0859375,1.4874540347875609e-05,8.878726027540773e-05
v500,500000,0.05,early,-0.010727249044521159,0.13495484586754672,-0.46942603567731567,4.820390090168692,0.4375,0.009284014859581191,0.031023308821780112
v500,500000,0.15,early,-0.03291495468329231,0.09451568555992573,-0.6376684623974143,2.127923726640849,0.4296875,0.0019201817402480503,0.005251882850779951
v500,500000,0.25,early,-0.027843966946647924,0.06269150177211377,-0.47179654580577335,0.979060171239001,0.34375,0.0008381963115118296,0.004389843770196542
v500,500000,0.35,mid,-0.02732052928649864,0.04621152541462644,-0.37050226706196554,0.6769781734038196,0.28125,0.0004003653880202407,0.0015353198618015356
v500,500000,0.5,mid,-0.030935920681258722,0.03822447353389296,-0.3568843513712636,0.49235615191591986,0.25,0.0001558817264628587,0.0006635378167034295
v500,500000,0.65,mid,-0.030832971489871852,0.02756982514160115,-0.3321676652994938,0.30404312265004446,0.171875,3.4086786018239223e-05,0.00013214146196786555
v500,500000,0.75,late,-0.030631454912054323,0.022038307496513206,-0.3166083169553531,0.2334671035318663,0.1015625,1.0058977182647588e-05,5.7461443110771705e-05
v500,500000,0.85,late,-0.030817208348707936,0.018726315889201102,-0.32310602214420214,0.1961099704312121,0.0703125,5.866451616043378e-06,2.7247255817981655e-05
v500,500000,0.95,late,-0.024559456404858793,0.01729879304820371,-0.36852931369503494,0.24483351120707456,0.078125,9.852750395333842e-06,5.7364572245450964e-05
v600,600000,0.05,early,-0.009765912370824026,0.13512727806290864,-0.582502456210932,5.956047240687945,0.4296875,0.008639147739293196,0.024826266752785195
v600,600000,0.15,early,-0.02484083749061483,0.08987993927961181,-0.5288938867815887,2.3332799821891346,0.4140625,0.002413891355873554,0.007328770331488657
v600,600000,0.25,early,-0.0228375084052459,0.06786641508688028,-0.41405105411831755,1.2615044574127563,0.3984375,0.0013352411027902633,0.004807704752317895
v600,600000,0.35,mid,-0.02750287728645162,0.048716864063398736,-0.39805249644996366,0.8205707544219466,0.3046875,0.0004192894569632344,0.0011195932817899684
v600,600000,0.5,mid,-0.03305278140067003,0.038139054009195594,-0.4468812994809923,0.5475496845788481,0.2109375,0.00010431789442844064,0.0004272132207654711
v600,600000,0.65,mid,-0.03172071522632791,0.025816381467838937,-0.4171374795278098,0.34833222086225185,0.109375,2.281529840075791e-05,0.0001362411560016048
v600,600000,0.75,late,-0.029560578380824154,0.021549306375860597,-0.37821495465323096,0.2796074171649456,0.1171875,7.813895479102939e-06,3.362161025235273e-05
v600,600000,0.85,late,-0.0295006509486484,0.019569362981989018,-0.38437518852879293,0.2531117495027158,0.0859375,8.704958963434706e-06,4.900201115757053e-05
v600,600000,0.95,late,-0.023211105109830044,0.015820645262843536,-0.4198726498927954,0.27675466597601867,0.109375,1.9383184182153457e-06,1.0965975882590778e-05
