phase,condition,group,note,stages,boundaries,mode,transition_width,fid,sfid,inception_score,total_nfe,noise_sha256,label_sha256
04_schedule_tuning,v180_v400_v500_switch_025_055,schedule_tuning,earlier-than-equal switching control,v180:3.05|v400:4|v500:3,0.25|0.55,hard,0.08,64.15879240038134,216.026846228791,37.9746208190918,13204,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
04_schedule_tuning,v180_v400_v500_switch_055_078,schedule_tuning,keep early reference substantially longer,v180:3.05|v400:4|v500:3,0.55|0.78,hard,0.08,55.95337297746187,216.65637918862967,43.337276458740234,13468,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
04_schedule_tuning,v180_v400_v500_smooth_w008,schedule_tuning,smooth cross-fade around equal-third boundaries,v180:3.05|v400:4|v500:3,0.33333|0.66667,smooth,0.08,60.77315213331582,216.12196809153863,39.7947998046875,11452,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
04_schedule_tuning,v180_v400_v500_alpha075,schedule_tuning,global schedule-gain sensitivity,v180:2.2875|v400:3|v500:2.25,0.33333|0.66667,hard,0.08,63.01334089180472,215.97459738251177,39.564247131347656,11896,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
04_schedule_tuning,v180_v400_v500_alpha150,schedule_tuning,global schedule-gain sensitivity,v180:4.575|v400:6|v500:4.5,0.33333|0.66667,hard,0.08,63.463615848630866,218.45696487209534,38.41435241699219,16798,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
04_schedule_tuning,v180_v400_v500_later150,schedule_tuning,stage-local compensation: boost only mid/late,v180:3.05|v400:6|v500:4.5,0.33333|0.66667,hard,0.08,63.78372497609405,220.62882166625252,36.81447982788086,16174,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
04_schedule_tuning,v180_v500_v600,schedule_tuning,monotone maturity schedule with v600 late,v180:3.05|v500:3|v600:4,0.33333|0.66667,hard,0.08,63.68956265859208,214.45109329592424,39.92768478393555,13000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
04_schedule_tuning,teacher_atlas_identity_schedule,teacher_predictor,stage identities chosen only by held-out teacher residual projection; static-calibrated gamma,v600:4|v400:4|v400:4,0.33333|0.66667,hard,0.08,72.35573625612312,220.4113615885003,31.872814178466797,12730,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
04_schedule_tuning,v180_v400_v500_switch_045_072,schedule_tuning,keep early reference longer,v180:3.05|v400:4|v500:3,0.45|0.72,hard,0.08,57.805360762262126,216.14780997239927,42.594058990478516,13228,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
04_schedule_tuning,v180_v400_v500_switch_065_085,schedule_tuning,late switching; close to static early reference,v180:3.05|v400:4|v500:3,0.65|0.85,hard,0.08,55.324092513621224,216.47952380377035,43.1580924987793,13288,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
