step,loss,logistic,r1,acc,elapsed
1,1.389539122581482,1.389539122581482,0.0,0.515625,0.524786074005533
100,1.3876502513885498,1.3876502513885498,0.0,0.484375,6.149007968022488
200,1.384246587753296,1.384246587753296,0.0,0.5234375,11.850212816032581
300,1.390927791595459,1.390927791595459,0.0,0.484375,17.565366854018066
400,1.3859106302261353,1.385904312133789,7.881429837652831e-07,0.5078125,23.291422568028793
500,1.3857768774032593,1.3857768774032593,0.0,0.484375,28.94286844599992
600,1.3819334506988525,1.3819334506988525,0.0,0.5234375,34.63669703900814
700,1.3869521617889404,1.3869521617889404,0.0,0.515625,40.32325918797869
800,1.385219931602478,1.385217547416687,2.9316453264982556e-07,0.515625,45.98756748903543
900,1.3856693506240845,1.3856693506240845,0.0,0.5234375,51.67846270103473
1000,1.3866643905639648,1.3866643905639648,0.0,0.4921875,57.36514436401194
1100,1.3864784240722656,1.3864784240722656,0.0,0.515625,63.79935732699232
1200,1.3860100507736206,1.386009693145752,4.9629910847670544e-08,0.5390625,69.43784506298834
1300,1.3884005546569824,1.3884005546569824,0.0,0.4765625,75.14119098399533
1400,1.3840569257736206,1.3840569257736206,0.0,0.546875,80.84474375197897
1500,1.385152816772461,1.385152816772461,0.0,0.53125,86.44209801597754
1600,1.3866251707077026,1.3866205215454102,5.820176056658966e-07,0.4921875,92.15726973698474
1700,1.3856106996536255,1.3856106996536255,0.0,0.5078125,98.8052616220084
1800,1.3856720924377441,1.3856720924377441,0.0,0.515625,104.48456537898164
1900,1.382676601409912,1.382676601409912,0.0,0.5078125,110.16681824001716
2000,1.3891195058822632,1.3891174793243408,2.551627176217153e-07,0.4609375,115.81794676202117
2100,1.3870055675506592,1.3870055675506592,0.0,0.46875,122.46315058000619
2200,1.383554220199585,1.383554220199585,0.0,0.5234375,128.13463384303031
2300,1.3827004432678223,1.3827004432678223,0.0,0.6171875,133.82471814303426
2400,1.3868794441223145,1.3868789672851562,5.271217418112428e-08,0.53125,139.47781388502335
2500,1.385218620300293,1.385218620300293,0.0,0.515625,145.1522358750226
2600,1.3864023685455322,1.3864023685455322,0.0,0.5078125,150.75637536798604
2700,1.3862078189849854,1.3862078189849854,0.0,0.484375,156.45091722201323
2800,1.3857184648513794,1.3857157230377197,3.431918571550341e-07,0.5234375,162.14883914397797
2900,1.3838188648223877,1.3838188648223877,0.0,0.5234375,167.75579634902533
3000,1.3861548900604248,1.3861548900604248,0.0,0.4921875,173.4369775810046
3100,1.386655330657959,1.386655330657959,0.0,0.5,187.54771098401397
3200,1.385514736175537,1.3855140209197998,8.821927366398086e-08,0.4921875,193.19814760499867
3300,1.3878458738327026,1.3878458738327026,0.0,0.4765625,198.8652103759814
3400,1.383607029914856,1.383607029914856,0.0,0.53125,204.550050913007
3500,1.3880198001861572,1.3880198001861572,0.0,0.5625,210.19188232603483
3600,1.3881442546844482,1.3881434202194214,1.0907596248443951e-07,0.53125,215.923882203002
3700,1.3863950967788696,1.3863950967788696,0.0,0.53125,221.6015029909904
3800,1.3852458000183105,1.3852458000183105,0.0,0.5,227.20505743601825
3900,1.3835837841033936,1.3835837841033936,0.0,0.5078125,232.87903447297867
4000,1.3849942684173584,1.3849940299987793,3.2357572621322106e-08,0.5546875,238.5980063790339
