training_step,split,metric,mean,q50,q90,q99,max
5000,real,reference_feature_rms,0.37964147,0.36536133,0.48345350,0.59000368,0.78849870
5000,real,adaptive_feature_rms,291.82100,292.58163,302.41923,309.55072,320.90002
5000,real,adaptive_to_reference_feature_rms_ratio,795.24442,796.93521,981.77021,1100.06350,1265.47360
5000,real,adaptive_reference_residual_rms,291.65901,292.41797,302.25033,309.40554,320.67371
5000,real,adaptive_reference_cosine,0.42285549,0.42511660,0.49925939,0.54666423,0.61075008
5000,fake,reference_feature_rms,0.36563259,0.35048389,0.46555023,0.57716995,0.69076908
5000,fake,adaptive_feature_rms,293.84761,294.12404,303.14723,310.10494,323.41537
5000,fake,adaptive_to_reference_feature_rms_ratio,830.14823,837.63031,1013.69980,1112.34460,1360.57750
5000,fake,adaptive_reference_residual_rms,293.69500,293.98488,303.02953,309.94386,323.30496
5000,fake,adaptive_reference_cosine,0.41361324,0.41459046,0.49209608,0.53790261,0.58505177
9999,real,reference_feature_rms,0.37964147,0.36536133,0.48345350,0.59000368,0.78849870
9999,real,adaptive_feature_rms,4231.87694,4227.45068,4473.90386,4705.29967,5061.39893
9999,real,adaptive_to_reference_feature_rms_ratio,11536.29100,11545.95500,14372.88100,16011.64700,19481.37500
9999,real,adaptive_reference_residual_rms,4231.71403,4227.32983,4473.72970,4705.14130,5061.15967
9999,real,adaptive_reference_cosine,0.42468397,0.42716138,0.50883000,0.56125804,0.63677311
9999,fake,reference_feature_rms,0.36930801,0.35390185,0.47123297,0.58944133,0.75111783
9999,fake,adaptive_feature_rms,4235.18920,4233.34253,4459.18354,4665.20728,4921.38281
9999,fake,adaptive_to_reference_feature_rms_ratio,11866.62881,11949.54785,14625.06123,16201.88473,19326.26758
9999,fake,adaptive_reference_residual_rms,4235.03474,4233.21753,4458.97861,4665.09229,4921.23340
9999,fake,adaptive_reference_cosine,0.41389574,0.41537379,0.49846963,0.55773166,0.60935885
