condition,t_lower,t_upper,samples,velocity_mse
base,0.0,0.2,1,0.09754113852977753
base,0.2,0.4,64,0.11413989536231384
base,0.4,0.6,251,0.06389632962080112
base,0.6,0.8,468,0.05840659408997267
base,0.8,1.0,240,0.08022939461904267
static_10k,0.0,0.2,1,0.10387720912694931
static_10k,0.2,0.4,64,0.11899647617246956
static_10k,0.4,0.6,251,0.06636048253788891
static_10k,0.6,0.8,468,0.06057473549093956
static_10k,0.8,1.0,240,0.08202902140716711
advfd_10k,0.0,0.2,1,0.10353974997997284
advfd_10k,0.2,0.4,64,0.11859835623181425
advfd_10k,0.4,0.6,251,0.06618910799344697
advfd_10k,0.6,0.8,468,0.06045320856138172
advfd_10k,0.8,1.0,240,0.08196472547327478
velocity_5k,0.0,0.2,1,0.09635095298290253
velocity_5k,0.2,0.4,64,0.11361545010004193
velocity_5k,0.4,0.6,251,0.06289665693365246
velocity_5k,0.6,0.8,468,0.057521032917703316
velocity_5k,0.8,1.0,240,0.07961262331033746
velocity_10k,0.0,0.2,1,0.09604835510253906
velocity_10k,0.2,0.4,64,0.1131629316805629
velocity_10k,0.4,0.6,251,0.06286603785249817
velocity_10k,0.6,0.8,468,0.05750496733265045
velocity_10k,0.8,1.0,240,0.07961294592047731
