variant,step,fid_5k,delta_vs_base,delta_real_minus_static,adaptive_heldout_fd
base,0,8.740200744744389,0.0,,
static,1000,8.37211675297134,-0.36808399177304807,,
real,1000,8.377445028419313,-0.36275571632507564,0.00532827544797357,31.68680580290042
static,2000,8.071232394442923,-0.6689683503014656,,
real,2000,8.1273491908735,-0.6128515538708879,0.05611679643057732,44.1416569683004
static,3000,7.799712182950823,-0.9404885617935657,,
real,3000,7.794970786096025,-0.9452299586483637,-0.004741396854798241,52.06096854399711
static,4000,7.694585807886709,-1.04561493685768,,
real,4000,7.587229131177396,-1.1529716135669927,-0.10735667670931326,47.65150863186209
static,5000,7.783402471202352,-0.9567982735420362,,
real,5000,7.573231804664732,-1.1669689400796566,-0.2101706665376204,54.79995455783672
