variant,step,fid5k,delta_vs_base,projected_fd,adaptive_heldout_fd,adaptive_train_ema_fd,clamp_fraction
base,0,10.827492,0.000000,0.046689,,,0.007184
static,40,10.944540,0.117048,0.047419,,,0.005928
static,80,10.929372,0.101880,0.046147,,,0.005605
static,120,10.948130,0.120638,0.047022,,,0.005640
raw,40,10.863531,0.036039,0.046778,0.382390,0.120396,0.006684
raw,80,10.866584,0.039092,0.045340,0.371532,0.125322,0.006522
raw,120,10.831783,0.004292,0.045834,0.389296,0.133478,0.006669
real,40,10.865733,0.038241,0.047190,5.732953,1.407540,0.006472
real,80,10.868413,0.040921,0.045681,5.695726,1.569127,0.006028
real,120,10.875604,0.048112,0.045427,5.767668,1.738239,0.006093
