k,progress,n_samples,raw_gap_rms_mean,modified_gap_rms_mean,orthogonal_fraction_median,orthogonal_fraction_p10,orthogonal_fraction_p90,best_scalar_alpha_median
0,0.0,200,0.14483505165204402,0.13141472786664962,0.9341815127836282,0.7555645321039599,0.9958028894852513,-0.17639854472273736
1,0.015625,200,0.14579334009438752,0.24165586225688457,0.8012496944063382,0.5464314270523402,0.8739011619080798,0.9604005120248176
2,0.03125,200,0.1429797149263322,0.15249958414584397,0.983033350881906,0.832418447405081,0.9993001480471195,-0.014543531179113809
3,0.046875,200,0.13786508878692982,0.22478286921977997,0.856891856651318,0.6875634819784218,0.9231569808524859,0.7794731616108466
4,0.0625,200,0.13136369239538903,0.1722759061306715,0.9835520296732201,0.8980849258843261,0.9992735187942478,0.18507980226245185
5,0.078125,200,0.12872000372037287,0.21483137808740138,0.8895401518482546,0.7936057349210572,0.9560699413647654,0.6941258563821243
6,0.09375,200,0.12532813576981422,0.1867300270497799,0.9760535213446194,0.8931334891655383,0.9992016229619093,0.31012071696941657
7,0.109375,200,0.12455403039231892,0.21108862988650798,0.9126525555856497,0.8318950802253154,0.9596676789428692,0.645899638452742
8,0.125,200,0.12249540219083425,0.1953087703883648,0.9641612288997382,0.8824407220004881,0.9948023684784915,0.4277280463485206
9,0.140625,200,0.12177716627717014,0.20870114997029304,0.9245773980985104,0.8513922711085645,0.9639849425982079,0.6072688975679812
10,0.15625,200,0.12059442805126305,0.1998168283700943,0.9557557667396708,0.8745889054158787,0.989811053500984,0.4973025350373729
11,0.171875,200,0.11940082300454374,0.20640505082905292,0.9352219900155859,0.8726652759551294,0.9687890302746073,0.5805727451947847
12,0.1875,200,0.11773395478725429,0.20181138895452022,0.9517972548257578,0.8975387735465128,0.9825966212512366,0.5152903983984992
13,0.203125,200,0.11598080649971959,0.20482528761029242,0.9439336609367002,0.879084017251302,0.9697898885010439,0.5667283967964828
14,0.21875,200,0.11539835372939702,0.20316532224416733,0.9510612607619688,0.8915320339957815,0.978790177872742,0.5334669198837039
15,0.234375,200,0.1143786127492785,0.20413804218173026,0.947465557456772,0.9002196501268107,0.9721405753128747,0.5517153307575895
16,0.25,200,0.114365697260946,0.20355780757963657,0.9502167064465723,0.9022106591805509,0.9765117938898571,0.5552817102298119
17,0.265625,200,0.11389960832893845,0.20366687782108783,0.9487672148739287,0.9108648909124906,0.9719077253764322,0.5523626776596335
18,0.28125,200,0.11446532137691971,0.20387744911015035,0.9500479869845876,0.9107183985065754,0.973045975385051,0.546324127063838
19,0.296875,200,0.11392275260761377,0.20345134511590005,0.9511874935352154,0.9147721590679488,0.972831295700835,0.5536858452220104
20,0.3125,200,0.11348870204761621,0.20345965810120106,0.9509870698233994,0.9130073618256048,0.9723246396506058,0.5523595793178595
21,0.328125,200,0.11260614139959213,0.2029240692406893,0.9522812904709252,0.9155219685316475,0.9733478228176573,0.5465743621722574
22,0.34375,200,0.1120885104872286,0.20311835825443267,0.9530525681194255,0.9110474441815837,0.9726940916416456,0.5519614553762189
23,0.359375,200,0.11121072599664326,0.20264925211668014,0.9538391105394451,0.9196273603913019,0.974954042171204,0.5429603590398728
24,0.375,200,0.11073072640225287,0.20299847416579722,0.9549857157863095,0.9165218412796614,0.9725273033241056,0.5528246828312955
25,0.390625,200,0.10979157557711001,0.20262033477425576,0.954985488780812,0.9238128680807353,0.97440803595376,0.5404636336469415
26,0.40625,200,0.10872064838185903,0.2027009028196335,0.9566151938989291,0.925264293114056,0.973262418085676,0.5431313174329653
27,0.421875,200,0.10737247660756108,0.20241027519106866,0.9578288084679671,0.9340537092338596,0.9751545199178736,0.5438174326296847
28,0.4375,200,0.10600701073184605,0.2024677662551403,0.9588010181228457,0.9318987821312409,0.9738354018926783,0.549330493848796
29,0.453125,200,0.10456170683726665,0.2024264221638441,0.9594547887311182,0.9350358392522854,0.975728783622894,0.5452262574981763
30,0.46875,200,0.10297014284878965,0.20243712969124317,0.961215273706983,0.935978066047678,0.9739692957815375,0.5557700850363116
31,0.484375,200,0.1012136352807283,0.20240829393267631,0.9626797167374732,0.9368299471558811,0.97660007225225,0.5511700116402658
32,0.5,200,0.09928329188376661,0.20248243100941182,0.9633499796332767,0.9390210094758891,0.9738332887571304,0.5674047388708656
33,0.515625,200,0.09708287127315994,0.20247879296541213,0.963883864038067,0.9403632186716748,0.9763342946004985,0.5617590940102193
34,0.53125,200,0.09483354654163119,0.20267823822796344,0.9644575918792186,0.9444091483761796,0.9743702777996738,0.5735470508630437
35,0.546875,200,0.09266620717942711,0.2026403384655714,0.965780980858214,0.947491915731512,0.977552713551155,0.5699612260000055
36,0.5625,200,0.09055183889344331,0.20294958040118216,0.9658976151816411,0.9497085821769744,0.9757115570897799,0.5895446647581593
37,0.578125,200,0.08855474703013894,0.20298009887337684,0.9672100245933171,0.9522233391194853,0.9780150351650995,0.5972963463405452
38,0.59375,200,0.08657432196661827,0.20321124397218226,0.9666991887024796,0.9556903923990836,0.9766290491154944,0.6076747128858586
39,0.609375,200,0.08459170794114466,0.20338231436908244,0.9676982414955951,0.954232093189649,0.9778918252849631,0.6187936182802827
