target_variance,sigma,gamma,gamma_nonnegative,identified,A,B,strong_mse,weak_mse,fitted_mse,fitted_nonnegative_mse,orthogonality
1.0,10.0,0.5148514851485146,0.5148514851485146,1.0,0.018484015023807407,0.035901644565472096,0.9996155324875049,1.0724852071005917,0.9900990099009901,0.9900990099009901,-1.3877787807814457e-17
1.0,3.0,0.65,0.65,1.0,0.10298792116973936,0.15844295564575286,0.9669421487603307,1.3313609467455623,0.9000000000000004,0.9000000000000004,0.0
1.0,1.0,1.249999999999999,1.249999999999999,1.0,0.04444444444444446,0.0355555555555556,0.5555555555555556,0.6800000000000002,0.5,0.5,0.0
1.0,0.1,1.9851485148519603,1.9851485148519603,1.0,1.2345068617288356e-05,6.21871286955524e-06,0.009925496893641243,0.009956405743745376,0.009900990099009889,0.009900990099009889,0.0
1.0,0.01,1.9998500139919684,1.9998500139919684,1.0,1.2498437626619285e-09,6.249687496149139e-10,9.999250049996927e-05,9.99956251562442e-05,9.999000099990301e-05,9.999000099990301e-05,0.0
2.0,10.0,-7.655209799395376e-16,0.0,1.0,-2.7755575615628914e-17,0.03625710639285301,1.9607843137254908,1.9970414201183435,1.9607843137254908,1.9607843137254908,2.7755575615628914e-17
2.0,3.0,-4.777556950875382e-16,0.0,1.0,-8.326672684688674e-17,0.1742872512103282,1.6363636363636365,1.8106508875739646,1.6363636363636362,1.6363636363636365,-2.7755575615628914e-17
2.0,1.0,-1.3010426069826037e-15,0.0,1.0,-6.938893903907228e-17,0.0533333333333334,0.6666666666666666,0.72,0.6666666666666666,0.6666666666666666,0.0
2.0,0.1,2.978612457594352e-13,2.978612457594352e-13,1.0,3.686287386450715e-18,1.2375854324559934e-05,0.009950248756218923,0.00996262461054349,0.009950248756218921,0.009950248756218921,0.0
2.0,0.01,-5.08440015440836e-10,0.0,1.0,-6.354864686775388e-19,1.2498750086114857e-09,9.999500024998914e-05,9.999625012499649e-05,9.999500024998915e-05,9.999500024998914e-05,-2.6469779601696886e-23
2.5,10.0,-0.2536585365853659,0.0,1.0,-0.00924200751190371,0.03643483730654347,2.441368704344483,2.4593195266272194,2.4390243902439033,2.441368704344483,2.7755575615628914e-17
2.5,3.0,-0.28260869565217395,0.0,1.0,-0.051493960584869714,0.1822093989926159,1.9710743801652897,2.0502958579881665,1.9565217391304353,1.9710743801652897,0.0
2.5,1.0,-0.35714285714285643,0.0,1.0,-0.022222222222222227,0.06222222222222236,0.7222222222222224,0.7400000000000001,0.7142857142857144,0.7222222222222224,0.0
2.5,0.1,-0.39940239043802955,0.0,1.0,-6.172534308639089e-06,1.5454425052062393e-05,0.009962624687507752,0.009965734043942536,0.009960159362549821,0.009962624687507752,0.0
2.5,0.01,-0.3999940006506892,0.0,1.0,-6.249218822955363e-10,1.5623281381194375e-09,9.999625012499852e-05,9.999656260937205e-05,9.999600015999475e-05,9.999625012499852e-05,2.6469779601696886e-23
