weak,t,q,delta,tau,fit_ratio,test_ratio
depth4,0.15,32.111111111111114,-0.75,-24.083333333333336,9656.941701437658,11617.99197020519
depth4,0.15,32.111111111111114,-0.5,-16.055555555555557,1251.9750473886959,1493.5810900700599
depth4,0.15,32.111111111111114,-0.25,-8.027777777777779,150.93276976374153,179.5667288932344
depth4,0.15,32.111111111111114,-0.1,-3.2111111111111117,18.16765103973272,21.385046747931998
depth4,0.15,32.111111111111114,-0.03,-0.9633333333333334,2.410223738526166,2.640382859496865
depth4,0.15,32.111111111111114,-0.01,-0.3211111111111111,1.173102626043004,1.1911607253538172
depth4,0.15,32.111111111111114,0.0,0.0,1.0,1.0
depth4,0.15,32.111111111111114,0.01,0.3211111111111111,1.1015646977994462,1.1378738880367372
depth4,0.15,32.111111111111114,0.03,0.9633333333333334,2.067306790874629,2.3274633403979696
depth4,0.15,32.111111111111114,0.1,3.2111111111111117,12.071585097045181,14.433779594534736
depth4,0.15,32.111111111111114,0.25,8.027777777777779,55.66446238721185,66.975416110692
depth4,0.15,32.111111111111114,0.5,16.055555555555557,154.43989718819276,185.98068382451746
depth4,0.15,32.111111111111114,1.0,32.111111111111114,349.2563508005129,420.72002896284636
depth4,0.15,32.111111111111114,2.0,64.22222222222223,624.3184970682173,752.1543392142679
depth4,0.15,32.111111111111114,4.0,128.44444444444446,902.6636691430498,1087.587856958691
depth6,0.15,32.111111111111114,-0.75,-24.083333333333336,10514.468434693277,11529.633530372495
depth6,0.15,32.111111111111114,-0.5,-16.055555555555557,1363.8492520976774,1481.2155705747837
depth6,0.15,32.111111111111114,-0.25,-8.027777777777779,164.58928976160732,177.71219929864253
depth6,0.15,32.111111111111114,-0.1,-3.2111111111111117,19.815756299060848,21.047496750698123
depth6,0.15,32.111111111111114,-0.03,-0.9633333333333334,2.5708346874960086,2.575764985001235
depth6,0.15,32.111111111111114,-0.01,-0.3211111111111111,1.2001229382461918,1.172566639531683
depth6,0.15,32.111111111111114,0.0,0.0,1.0,1.0
depth6,0.15,32.111111111111114,0.01,0.3211111111111111,1.099075632543052,1.1537286907146975
depth6,0.15,32.111111111111114,0.03,0.9633333333333334,2.127968826387117,2.367380012713482
depth6,0.15,32.111111111111114,0.1,3.2111111111111117,12.945430093086472,14.490644831600111
depth6,0.15,32.111111111111114,0.25,8.027777777777779,60.26419931234153,66.83431972608902
depth6,0.15,32.111111111111114,0.5,16.055555555555557,167.61017054205266,185.19370529393038
depth6,0.15,32.111111111111114,1.0,32.111111111111114,379.43679646415035,418.48474238734656
depth6,0.15,32.111111111111114,2.0,64.22222222222223,678.5890151414185,747.7524717840195
depth6,0.15,32.111111111111114,4.0,128.44444444444446,981.3542520222193,1080.9328967394063
depth8,0.15,32.111111111111114,-0.75,-24.083333333333336,12206.686932557675,14306.946354154747
depth8,0.15,32.111111111111114,-0.5,-16.055555555555557,1584.350884109544,1840.209352413175
depth8,0.15,32.111111111111114,-0.25,-8.027777777777779,191.36870553896298,221.2977995958161
depth8,0.15,32.111111111111114,-0.1,-3.2111111111111117,22.995792495900282,26.231790183835287
