weak,t,id,split,fit_type,delta,tau,squared_residual,squared_gap
depth4,0.15,713,fit,finite_nonnegative,0.001,0.03211111111111112,9.260080170158685e-06,9.103848122471275e-06
depth4,0.15,3623,fit,finite_nonnegative,0.001,0.03211111111111112,8.602757099815903e-06,8.627523903532674e-06
depth4,0.15,3296,fit,finite_nonnegative,0.001,0.03211111111111112,3.50788229506421e-05,3.5363973633877636e-05
depth4,0.15,4345,fit,finite_nonnegative,0.001,0.03211111111111112,1.1815948254319235e-05,1.1849654485712192e-05
depth4,0.15,2364,fit,finite_nonnegative,0.001,0.03211111111111112,2.187560392619271e-05,2.207739903236446e-05
depth4,0.15,3510,fit,finite_nonnegative,0.001,0.03211111111111112,4.875576133485706e-05,4.8587619234339296e-05
depth4,0.15,4640,fit,finite_nonnegative,0.001,0.03211111111111112,1.6342206762676676e-05,1.602815189763442e-05
depth4,0.15,1298,fit,finite_nonnegative,0.001,0.03211111111111112,1.2123893247990554e-05,1.222811850182629e-05
depth4,0.15,708,fit,finite_nonnegative,0.001,0.03211111111111112,9.464846582268853e-06,9.345226534790834e-06
depth4,0.15,1505,fit,finite_nonnegative,0.001,0.03211111111111112,7.443604325027127e-05,7.505231938716765e-05
depth4,0.15,2304,fit,finite_nonnegative,0.001,0.03211111111111112,1.242295020588487e-05,1.2607476781127962e-05
depth4,0.15,307,fit,finite_nonnegative,0.001,0.03211111111111112,1.2111074519748238e-05,1.2101642437827666e-05
depth4,0.15,4093,fit,finite_nonnegative,0.001,0.03211111111111112,1.0037939555910889e-05,1.005856610375218e-05
depth4,0.15,769,fit,finite_nonnegative,0.001,0.03211111111111112,2.3046748626158585e-05,2.3027994035207183e-05
depth4,0.15,3769,fit,finite_nonnegative,0.001,0.03211111111111112,1.4836040927704439e-05,1.4797025971154463e-05
depth4,0.15,1780,fit,finite_nonnegative,0.001,0.03211111111111112,2.778843610145515e-05,2.7819166101106216e-05
depth4,0.15,2797,test,finite_nonnegative,0.001,0.03211111111111112,2.1170284672137295e-05,2.1303135352610483e-05
depth4,0.15,2744,test,finite_nonnegative,0.001,0.03211111111111112,1.779055468899957e-05,1.7879417234784892e-05
depth4,0.15,2114,test,finite_nonnegative,0.001,0.03211111111111112,9.555353873472128e-06,9.433437340106173e-06
depth4,0.15,843,test,finite_nonnegative,0.001,0.03211111111111112,1.730018223696495e-05,1.7493141720583782e-05
depth4,0.15,3732,test,finite_nonnegative,0.001,0.03211111111111112,2.1847467201065584e-05,2.2022737157250928e-05
depth4,0.15,3823,test,finite_nonnegative,0.001,0.03211111111111112,2.3079355866630377e-05,2.282204282528569e-05
depth4,0.15,2922,test,finite_nonnegative,0.001,0.03211111111111112,1.1274550184871523e-05,1.0962878626122006e-05
depth4,0.15,1517,test,finite_nonnegative,0.001,0.03211111111111112,1.672404949500355e-05,1.674576638466745e-05
depth4,0.15,1686,test,finite_nonnegative,0.001,0.03211111111111112,9.60674706973683e-06,9.55937914311851e-06
depth4,0.15,4998,test,finite_nonnegative,0.001,0.03211111111111112,1.3353210678645125e-05,1.3487786395283678e-05
depth4,0.15,151,test,finite_nonnegative,0.001,0.03211111111111112,8.052311472411866e-06,7.879338698634633e-06
depth4,0.15,3630,test,finite_nonnegative,0.001,0.03211111111111112,1.527616667049735e-05,1.5221850618042944e-05
depth4,0.15,1841,test,finite_nonnegative,0.001,0.03211111111111112,2.4956999368021344e-05,2.5127343563170343e-05
depth4,0.15,3028,test,finite_nonnegative,0.001,0.03211111111111112,5.1803647939991013e-05,5.22328685785162e-05
depth4,0.15,2347,test,finite_nonnegative,0.001,0.03211111111111112,1.0816946102855333e-05,1.0793919207157839e-05
depth4,0.15,4021,test,finite_nonnegative,0.001,0.03211111111111112,1.5081092451477048e-05,1.4926762339910402e-05
depth4,0.15,713,fit,finite_signed,0.001,0.03211111111111112,9.260080170158685e-06,9.103848122471275e-06
