weak,t,q,fit_type,delta,tau,fit_ratio,test_ratio,test_ratio_ci_low,test_ratio_ci_high,gap_rms
depth4,0.15,32.111111111111114,finite_nonnegative,0.001,0.03211111111111112,0.9980596507417148,0.9992952727072778,0.9950173881401632,1.0053246996373373,0.004241843682183241
depth4,0.15,32.111111111111114,finite_signed,0.001,0.03211111111111112,0.9980596507417148,0.9992952727072778,0.9950173881401632,1.0053246996373373,0.004241843682183241
depth6,0.15,32.111111111111114,finite_nonnegative,0.001,0.03211111111111112,0.99673027132432,1.00100181223129,0.993614660590155,1.0102392924984884,0.004257347053316508
depth6,0.15,32.111111111111114,finite_signed,0.001,0.03211111111111112,0.99673027132432,1.00100181223129,0.993614660590155,1.0102392924984884,0.004257347053316508
depth8,0.15,32.111111111111114,finite_nonnegative,0.003,0.09633333333333334,0.9947995849567293,1.0059345455594155,0.9752023976559905,1.0376937324289779,0.003823202228245978
depth8,0.15,32.111111111111114,finite_signed,0.003,0.09633333333333334,0.9947995849567293,1.0059345455594155,0.9752023976559905,1.0376937324289779,0.003823202228245978
depth10,0.15,32.111111111111114,finite_nonnegative,0.001,0.03211111111111112,0.9888802711044371,0.990920305912925,0.984400922469232,0.9973371255266017,0.002620541166439354
depth10,0.15,32.111111111111114,finite_signed,0.001,0.03211111111111112,0.9888802711044371,0.990920305912925,0.984400922469232,0.9973371255266017,0.002620541166439354
external_v500,0.15,32.111111111111114,finite_nonnegative,0.0,0.0,1.0,1.0,1.0,1.0,0.001040313982779822
external_v500,0.15,32.111111111111114,finite_signed,0.0,0.0,1.0,1.0,1.0,1.0,0.001040313982779822
depth4,0.3,5.4444444444444455,finite_nonnegative,0.01,0.054444444444444455,0.9861822651007522,0.9778859853254063,0.9659688427035401,0.993389222966047,0.03210217373518288
depth4,0.3,5.4444444444444455,finite_signed,0.01,0.054444444444444455,0.9861822651007522,0.9778859853254063,0.9659688427035401,0.993389222966047,0.03210217373518288
depth6,0.3,5.4444444444444455,finite_nonnegative,0.01,0.054444444444444455,0.9777303542667236,0.9794057601677514,0.9630473234106961,1.0000874107312479,0.030213919092935655
