arm,idea_id,family,role,strength,theta,external_semantics,fid,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,decision_batch_traces_audited,complete
semantic_direction_00,,semantic_direction,control,0.5,1.0,True,54.36352486794652,902.0,0.0,21.0,21.0,926.9283844535239,125,True
semantic_direction_01,,semantic_direction,control,1.25,1.0,True,44.52832526676934,902.0,0.0,21.0,21.0,926.9176096902229,125,True
semantic_direction_02,,semantic_direction,control,2.0,1.0,True,47.604791780284984,902.0,0.0,21.0,21.0,931.989810207393,125,True
semantic_direction_03,,semantic_direction,control,2.75,1.0,True,52.020642436969865,902.0,0.0,21.0,21.0,925.732938780915,125,True
projection_apg_00,,projection_apg,control,0.5,0.0,False,55.272329494696805,224.0,0.0,0.0,0.0,170.2523734299466,125,True
projection_apg_03,,projection_apg,control,1.25,0.0,False,44.54156113060537,224.0,0.0,0.0,0.0,168.5719216633588,125,True
projection_apg_06,,projection_apg,control,2.0,0.0,False,46.83036810947834,224.0,0.0,0.0,0.0,165.95262814918533,125,True
projection_apg_09,,projection_apg,control,2.75,0.0,False,51.20592089084869,224.0,0.0,0.0,0.0,166.45833238447085,125,True
i57_marginal_release_00,57,i57_marginal_release,candidate,0.5,0.0,True,58.395751788309326,648.32,0.0,10.0,10.0,595.6915362882428,125,True
i57_marginal_release_01,57,i57_marginal_release,candidate,0.5,0.002,True,58.64877937641211,649.088,0.0,10.0,10.0,598.5849785986356,125,True
i57_marginal_release_02,57,i57_marginal_release,candidate,0.5,0.01,True,59.34880304302669,651.136,0.0,10.0,10.0,596.9324973989278,125,True
i57_marginal_release_03,57,i57_marginal_release,candidate,1.25,0.0,True,45.456933175058225,654.464,0.0,10.0,10.0,600.038244954776,125,True
i57_marginal_release_04,57,i57_marginal_release,candidate,1.25,0.002,True,45.5047099470072,655.488,0.0,10.0,10.0,601.2431868873537,125,True
i57_marginal_release_05,57,i57_marginal_release,candidate,1.25,0.01,True,46.01469696645802,656.0,0.0,10.0,10.0,598.996366685722,125,True
i57_marginal_release_06,57,i57_marginal_release,candidate,2.0,0.0,True,43.91815880998598,655.488,0.0,10.0,10.0,602.5113569083624,125,True
i57_marginal_release_07,57,i57_marginal_release,candidate,2.0,0.002,True,44.00911803577162,655.744,0.0,10.0,10.0,599.590253348928,125,True
i57_marginal_release_08,57,i57_marginal_release,candidate,2.0,0.01,True,44.06208571221248,655.488,0.0,10.0,10.0,597.6355055705644,125,True
i57_marginal_release_09,57,i57_marginal_release,candidate,2.75,0.0,True,45.16058065650054,655.488,0.0,10.0,10.0,599.2985290540382,125,True
i57_marginal_release_10,57,i57_marginal_release,candidate,2.75,0.002,True,45.101177691020666,655.488,0.0,10.0,10.0,599.8609820520505,125,True
i57_marginal_release_11,57,i57_marginal_release,candidate,2.75,0.01,True,45.00719269400105,655.232,0.0,10.0,10.0,598.2120582843199,125,True
probability_null_release_00,,probability_null_release,control,0.5,0.5,True,66.17412936852628,415.488,0.0,5.0,5.0,365.9915906446986,125,True
probability_null_release_01,,probability_null_release,control,1.25,0.5,True,52.41934695340274,413.568,0.0,5.0,5.0,366.41986167337745,125,True
probability_null_release_02,,probability_null_release,control,2.0,0.5,True,48.24299838928965,408.192,0.0,5.0,5.0,361.55617208918557,125,True
probability_null_release_03,,probability_null_release,control,2.75,0.5,True,47.75345412037791,400.384,0.0,5.0,5.0,356.18158158799633,125,True
fixed_null_release_00,,fixed_null_release,control,0.5,0.25,False,125.81913460279463,160.0,0.0,0.0,0.0,123.85317314695567,125,True
fixed_null_release_01,,fixed_null_release,control,0.5,0.5,False,82.55359436823755,192.0,0.0,0.0,0.0,144.86127430852503,125,True
fixed_null_release_02,,fixed_null_release,control,0.5,0.75,False,58.56038745686567,224.0,0.0,0.0,0.0,167.6257083970122,125,True
fixed_null_release_03,,fixed_null_release,control,1.25,0.25,False,109.15320888759157,160.0,0.0,0.0,0.0,126.47133505251259,125,True
fixed_null_release_04,,fixed_null_release,control,1.25,0.5,False,57.150549273594606,192.0,0.0,0.0,0.0,146.76278412295505,125,True
fixed_null_release_05,,fixed_null_release,control,1.25,0.75,False,44.85544102294102,224.0,0.0,0.0,0.0,168.58366881869733,125,True
fixed_null_release_06,,fixed_null_release,control,2.0,0.25,False,97.12913810444343,160.0,0.0,0.0,0.0,124.55331807909533,125,True
fixed_null_release_07,,fixed_null_release,control,2.0,0.5,False,48.38630484197438,192.0,0.0,0.0,0.0,144.22945981565863,125,True
fixed_null_release_08,,fixed_null_release,control,2.0,0.75,False,46.139511990229494,224.0,0.0,0.0,0.0,168.10344631643966,125,True
fixed_null_release_09,,fixed_null_release,control,2.75,0.25,False,87.28463810544321,160.0,0.0,0.0,0.0,124.55327924201265,125,True
