omega,scale,ideal_mean_x,ideal_mean_y,stationary_mean_x,stationary_mean_y,mean_error,stationary_variance_x,stationary_variance_y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5
0.0,2.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
0.0,4.0,1.6,0.0,1.6,0.0,0.0,0.2,0.2
0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5
0.5,2.0,1.3333333333333333,0.0,1.3,0.09999999999999998,0.10540925533894592,0.3333333333333333,0.3333333333333333
0.5,4.0,1.6,0.0,1.5172413793103448,0.20689655172413796,0.22283440581246233,0.2,0.2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5
1.0,2.0,1.3333333333333333,0.0,1.2307692307692308,0.15384615384615383,0.18490006540840961,0.3333333333333333,0.3333333333333333
1.0,4.0,1.6,0.0,1.3658536585365852,0.2926829268292684,0.37481702853265475,0.2,0.2
