step,b,corrected_error,constant_velocity_beta_error
0,1.0,0.0,0.0
1,0.9709677419354839,2.482534153247273e-16,0.02163071815709033
2,0.9419354838709677,6.546139416680338e-17,0.034365928970120134
3,0.9129032258064516,1.1102230246251565e-16,0.05440561792585794
4,0.8838709677419355,1.3668035872266426e-16,0.050029445831760166
5,0.8548387096774194,5.551115123125783e-17,0.02730344311770222
6,0.8258064516129032,1.5700924586837752e-16,0.030264174072080218
7,0.7967741935483871,1.5700924586837752e-16,0.03336692067843096
8,0.7677419354838709,8.326672684688674e-17,0.039399853149504345
9,0.7387096774193549,1.2412670766236366e-16,0.06038720348228829
10,0.7096774193548387,0.0,0.0517314144606782
11,0.6806451612903226,1.2719202621569003e-16,0.05166372386589618
12,0.6516129032258065,6.206335383118183e-17,0.06081388031596825
13,0.6225806451612903,1.6653345369377348e-16,0.0545323544808918
14,0.5935483870967742,6.206335383118183e-17,0.04853293359833817
15,0.564516129032258,2.295347926592902e-16,0.042037645501777056
16,0.5354838709677419,1.6653345369377348e-16,0.046344079434941655
17,0.5064516129032257,5.003707553108401e-17,0.02936037029509864
18,0.4774193548387097,1.249000902703301e-16,0.04135826561351344
19,0.4483870967741935,1.2412670766236366e-16,0.04807055597634762
20,0.4193548387096774,1.2719202621569003e-16,0.05700190118298698
21,0.39032258064516123,1.1102230246251565e-16,0.059457606066376484
22,0.3612903225806451,1.2586013583571652e-16,0.0681143255558221
23,0.33225806451612905,1.457167719820518e-16,0.05209830916880527
24,0.3032258064516129,7.97218214573518e-17,0.05555463823130557
25,0.27419354838709675,6.798699777552591e-17,0.03241048847668658
26,0.2451612903225806,5.815852873680767e-17,0.04263522462461292
27,0.21612903225806446,1.3877787807814457e-17,0.05167864147148843
28,0.1870967741935483,8.716877585302702e-18,0.05241705491892914
29,0.15806451612903227,6.206335383118183e-17,0.029310350029551475
30,0.12903225806451613,5.003707553108401e-17,0.04697166713580171
31,0.1,3.1031676915590914e-17,0.05595486234507218
