step,constant_input,constant_response,alternating_input,alternating_response
1,1,1.0,1,1.0
2,1,0.5,-1,-1.5
3,1,0.75,1,1.75
4,1,0.625,-1,-1.875
5,1,0.6875,1,1.9375
6,1,0.65625,-1,-1.96875
7,1,0.671875,1,1.984375
8,1,0.6640625,-1,-1.9921875
9,1,0.66796875,1,1.99609375
10,1,0.666015625,-1,-1.998046875
11,1,0.6669921875,1,1.9990234375
12,1,0.66650390625,-1,-1.99951171875
13,1,0.666748046875,1,1.999755859375
14,1,0.6666259765625,-1,-1.9998779296875
15,1,0.66668701171875,1,1.99993896484375
16,1,0.666656494140625,-1,-1.999969482421875
17,1,0.6666717529296875,1,1.9999847412109375
18,1,0.6666641235351562,-1,-1.9999923706054688
19,1,0.6666679382324219,1,1.9999961853027344
20,1,0.6666660308837891,-1,-1.9999980926513672
21,1,0.6666669845581055,1,1.9999990463256836
22,1,0.6666665077209473,-1,-1.9999995231628418
23,1,0.6666667461395264,1,1.999999761581421
24,1,0.6666666269302368,-1,-1.9999998807907104
