angular_speed,steps,dimensionless_step,method,final_variance,theory
1.0,8,0.125,Exact,0.9999999999999997,1.0
1.0,8,0.125,Euler,1.1320537854353496,1.1320537854353496
1.0,8,0.125,Heun,1.0004883855708622,1.0004883855708622
1.0,8,0.125,Cayley,1.0000000000000009,1.0
1.0,16,0.0625,Exact,0.9999999999999998,1.0
1.0,16,0.0625,Euler,1.064364861041628,1.064364861041628
1.0,16,0.0625,Heun,1.000061036902511,1.000061036902511
1.0,16,0.0625,Cayley,0.9999999999999993,1.0
1.0,32,0.03125,Exact,1.0000000000000033,1.0
1.0,32,0.03125,Euler,1.0317276747059836,1.0317276747059838
1.0,32,0.03125,Heun,1.0000076294227256,1.0000076294227256
1.0,32,0.03125,Cayley,1.0000000000000004,1.0
1.0,64,0.015625,Exact,0.999999999999996,1.0
1.0,64,0.015625,Euler,1.0157457715188016,1.0157457715188014
1.0,64,0.015625,Heun,1.0000009536747643,1.000000953674764
1.0,64,0.015625,Cayley,0.9999999999999927,1.0
4.0,8,0.5,Exact,1.0000000000000007,1.0
4.0,8,0.5,Euler,5.9604644775390625,5.9604644775390625
4.0,8,0.5,Heun,1.1320537854353496,1.1320537854353496
4.0,8,0.5,Cayley,0.9999999999999996,1.0
4.0,16,0.25,Exact,1.0000000000000018,1.0
4.0,16,0.25,Euler,2.6379284973666,2.6379284973666
4.0,16,0.25,Heun,1.0157399641177773,1.0157399641177773
4.0,16,0.25,Cayley,1.0000000000000013,1.0
4.0,32,0.125,Exact,0.999999999999999,1.0
4.0,32,0.125,Euler,1.6423595685979058,1.6423595685979058
4.0,32,0.125,Heun,1.0019549738722606,1.0019549738722606
4.0,32,0.125,Cayley,1.000000000000004,1.0
4.0,64,0.0625,Exact,0.9999999999999996,1.0
4.0,64,0.0625,Euler,1.2834002313557038,1.2834002313557036
4.0,64,0.0625,Heun,1.000244169963974,1.0002441699639741
4.0,64,0.0625,Cayley,0.9999999999999973,1.0
8.0,8,1.0,Exact,1.0000000000000004,1.0
8.0,8,1.0,Euler,256.0,256.0
8.0,8,1.0,Heun,5.9604644775390625,5.9604644775390625
8.0,8,1.0,Cayley,1.0000000000000009,1.0
8.0,16,0.5,Exact,1.0000000000000013,1.0
8.0,16,0.5,Euler,35.52713678800501,35.52713678800501
8.0,16,0.5,Heun,1.2815457731185047,1.2815457731185047
8.0,16,0.5,Cayley,0.9999999999999989,1.0
8.0,32,0.25,Exact,1.000000000000004,1.0
8.0,32,0.25,Euler,6.958666757218808,6.958666757218808
8.0,32,0.25,Heun,1.0317276747059838,1.0317276747059838
8.0,32,0.25,Cayley,1.0000000000000027,1.0
8.0,64,0.125,Exact,0.999999999999998,1.0
8.0,64,0.125,Euler,2.697344952565099,2.697344952565099
8.0,64,0.125,Heun,1.0039137696673628,1.0039137696673626
8.0,64,0.125,Cayley,1.0000000000000084,1.0
16.0,8,2.0,Exact,0.9999999999999976,1.0
16.0,8,2.0,Euler,390625.0,390625.0
16.0,8,2.0,Heun,390625.0,390625.0
16.0,8,2.0,Cayley,1.0,1.0
16.0,16,1.0,Exact,1.000000000000001,1.0
16.0,16,1.0,Euler,65536.0,65536.0
16.0,16,1.0,Heun,35.52713678800501,35.52713678800501
16.0,16,1.0,Cayley,1.0000000000000013,1.0
16.0,32,0.5,Exact,1.0000000000000029,1.0
16.0,32,0.5,Euler,1262.177448353619,1262.177448353619
16.0,32,0.5,Heun,1.642359568597906,1.6423595685979058
16.0,32,0.5,Cayley,0.9999999999999978,1.0
16.0,64,0.25,Exact,1.0000000000000078,1.0
16.0,64,0.25,Euler,48.42304303802212,48.423043038022115
16.0,64,0.25,Heun,1.0644619947542164,1.0644619947542162
16.0,64,0.25,Cayley,1.0000000000000053,1.0
