sigma,delta,score_second,variance,third,velocity_gap,leading_velocity_gap
0.02,-1.195773393649644e-07,-2.2408299600810224,0.0003997778570536074,-1.4341311745220212e-10,6.098444307613184e-06,6.095057491420382e-06
0.020831734833946108,-1.4076076633754578e-07,-2.2409873864629573,0.0004336997459314627,-1.8314372579592376e-10,6.897796004140724e-06,6.893640579178713e-06
0.021698058809592167,-1.6569853025785353e-07,-2.241158064231331,0.0004704980938480223,-2.3388252792376624e-10,7.802258635100152e-06,7.797160013270836e-06
0.022600410376639613,-1.9505646386379087e-07,-2.2413430982079663,0.000510416483643509,-2.9868010319930127e-10,8.82571673122807e-06,8.819460620676138e-06
0.02354028780522601,-2.296186098539983e-07,-2.2415436834370777,0.0005537190668175754,-3.8143260712902116e-10,9.983900789998896e-06,9.9762241526344e-06
0.024519251673662167,-2.703082413905209e-07,-2.24176111221336,0.0006006922901436473,-4.871162297164719e-10,1.1294634961804985e-05,1.128521491824923e-05
0.025538927459625972,-3.18212630401275e-07,-2.2419967815953354,0.0006516467654256574,-6.220866939879651e-10,1.2778118431235378e-05,1.276655862084732e-05
0.02660100823911564,-3.746122332536619e-07,-2.2422522014256527,0.0007069192939501719,-7.944618463628983e-10,1.4457245112665003e-05,1.4443058951885581e-05
0.02770725749764363,-4.4101508607447344e-07,-2.2425290028782383,0.0007668750580645264,-1.0146104093078567e-09,1.6357967029513106e-05,1.634055713447369e-05
0.028859512058338845,-5.191973423143831e-07,-2.2428289475501084,0.0008319099932462854,-1.2957763727547009e-09,1.850970741278396e-05,1.8488340337312084e-05
0.030059685131819246,-6.112510559924613e-07,-2.2431539371122033,0.0009024533550230865,-1.6548766989537842e-09,2.0945830520546812e-05,2.091960571356507e-05
0.03130976949289852,-7.196405112705089e-07,-2.243506023529426,0.0009789704961563747,-2.113520485490841e-09,2.370417610274885e-05,2.367198777349997e-05
0.03261184078940186,-8.472686356219932e-07,-2.243887419854392,0.0010619658706191434,-2.6993111234380342e-09,2.6827667629147593e-05,2.678815789262922e-05
0.033968060988584355,-9.975553120561844e-07,-2.244300511592094,0.0011519862820772674,-3.44751010629878e-09,3.036500470492653e-05,3.031650600936185e-05
