weak,t,model,id,split,squared_residual,squared_gap
depth4,0.15,score_scale,713,fit,9.247892673029278e-06,9.103848122471275e-06
depth4,0.15,score_scale,3623,fit,8.600688548491212e-06,8.627523903532674e-06
depth4,0.15,score_scale,3296,fit,3.506901300756145e-05,3.5363973633877636e-05
depth4,0.15,score_scale,4345,fit,1.1811988148944308e-05,1.1849654485712192e-05
depth4,0.15,score_scale,2364,fit,2.1887106168238462e-05,2.207739903236446e-05
depth4,0.15,score_scale,3510,fit,4.875004074325032e-05,4.8587619234339296e-05
depth4,0.15,score_scale,4640,fit,1.632700394518409e-05,1.602815189763442e-05
depth4,0.15,score_scale,1298,fit,1.2130671855097995e-05,1.222811850182629e-05
depth4,0.15,score_scale,708,fit,9.461359934189302e-06,9.345226534790834e-06
depth4,0.15,score_scale,1505,fit,7.450353338140549e-05,7.505231938716765e-05
depth4,0.15,score_scale,2304,fit,1.2435279318274709e-05,1.2607476781127962e-05
depth4,0.15,score_scale,307,fit,1.2095810954484231e-05,1.2101642437827666e-05
depth4,0.15,score_scale,4093,fit,1.0032457364318237e-05,1.005856610375218e-05
depth4,0.15,score_scale,769,fit,2.3069506870142533e-05,2.3027994035207183e-05
depth4,0.15,score_scale,3769,fit,1.4840339948650203e-05,1.4797025971154463e-05
depth4,0.15,score_scale,1780,fit,2.7952592772382252e-05,2.7819166101106216e-05
depth4,0.15,score_scale,2797,test,2.1175749794325274e-05,2.1303135352610483e-05
depth4,0.15,score_scale,2744,test,1.782302536412132e-05,1.7879417234784892e-05
depth4,0.15,score_scale,2114,test,9.542191986244283e-06,9.433437340106173e-06
depth4,0.15,score_scale,843,test,1.7306053404656823e-05,1.7493141720583782e-05
depth4,0.15,score_scale,3732,test,2.186698554471501e-05,2.2022737157250928e-05
depth4,0.15,score_scale,3823,test,2.3095032866264345e-05,2.282204282528569e-05
depth4,0.15,score_scale,2922,test,1.1267269612254186e-05,1.0962878626122006e-05
depth4,0.15,score_scale,1517,test,1.6724329701636263e-05,1.674576638466745e-05
depth4,0.15,score_scale,1686,test,9.591474232821124e-06,9.55937914311851e-06
depth4,0.15,score_scale,4998,test,1.3357408147381561e-05,1.3487786395283678e-05
depth4,0.15,score_scale,151,test,8.044180222633512e-06,7.879338698634633e-06
depth4,0.15,score_scale,3630,test,1.5282361885724567e-05,1.5221850618042944e-05
depth4,0.15,score_scale,1841,test,2.496020096695167e-05,2.5127343563170343e-05
depth4,0.15,score_scale,3028,test,5.192457394253872e-05,5.22328685785162e-05
