weak,t,model,coefficient_score,coefficient_radial,rank,normalized_design_condition,fit_residual_ratio,test_residual_ratio,test_ci_low,test_ci_high,heat_test_residual_ratio
depth4,0.15,score_scale,-0.0009642318000127655,0.0,1,1.0,0.9986795164615457,0.9998211921381005,0.9958419795124365,1.0054502339454645,0.9992952727072778
depth4,0.15,radial,0.0,6.494014339540847e-06,1,1.0,0.9999360995579974,1.0000295367989072,0.9992634888410213,1.0010983614610964,0.9992952727072778
depth4,0.15,score_scale_radial,-0.12413203902774067,-0.0037823734244620388,2,25.64382809481188,0.8672234513656606,0.9379169682781049,0.8521603417944593,1.038864905066818,0.9992952727072778
depth6,0.15,score_scale,-0.0013871974346783232,0.0,1,1.0,0.9970253891680132,1.002838784135897,0.9927416112303116,1.0154864586974994,1.00100181223129
depth6,0.15,radial,0.0,2.450674371822167e-05,1,1.0,0.9990095510316008,1.001898424062101,0.9964375977874681,1.0088438124675283,1.00100181223129
depth6,0.15,score_scale_radial,-0.09715504901382371,-0.0029409452427861214,2,25.64382809481188,0.9105267632614731,0.9577915820697894,0.8824199349396725,1.0445179731861876,1.00100181223129
depth8,0.15,score_scale,-0.0018213324020757017,0.0,1,1.0,0.9940495272881984,1.0000700245254805,0.9808561742498729,1.0196485194709553,1.0059345455594155
depth8,0.15,radial,0.0,4.0473940616899125e-05,1,1.0,0.9968650450443537,1.0007470705146395,0.9867954155192667,1.0146343785049932,1.0059345455594155
depth8,0.15,score_scale_radial,-0.08300400937557766,-0.002493047548890138,2,25.64382809481188,0.9219195336472117,0.9453141123478721,0.8732133908947859,1.0272711480672445,1.0059345455594155
depth10,0.15,score_scale,-0.001727897320658395,0.0,1,1.0,0.9871234098124054,0.990551413062393,0.9793222851028649,1.0018925147673714,0.990920305912925
depth10,0.15,radial,0.0,4.254511652338434e-05,1,1.0,0.9916714052442024,0.9941193262799111,0.9844799821213931,1.0032958270546561,0.990920305912925
