w,fiber,first_conditional_mass,second_conditional_mass,total_fiber_mass
0.0,0,0.3333333333333333,0.6666666666666666,0.30000000000000004
0.0,1,0.7499999999999999,0.25,0.2
0.0,2,0.6,0.4,0.5
1.0,0,0.33333333333333337,0.6666666666666667,0.7868852459016393
1.0,1,0.75,0.25000000000000006,0.13114754098360654
1.0,2,0.6,0.4000000000000001,0.08196721311475409
2.0,0,0.3333333333333333,0.6666666666666666,0.9540372670807452
2.0,1,0.75,0.25,0.03975155279503105
2.0,2,0.6,0.39999999999999997,0.006211180124223602
4.0,0,0.3333333333333333,0.6666666666666666,0.9973772986683578
4.0,1,0.75,0.25000000000000006,0.002597336715282181
4.0,2,0.5999999999999999,0.4,2.5364616360177554e-05
