arm,repeat,seconds
mlp,1,1.2581429709680378
mlp,2,1.2577829863876104
mlp,3,2.0678363237529993
adaln_fresh,1,1.2450636802241206
adaln_fresh,2,1.247265744023025
adaln_fresh,3,2.064450806006789
adaln_warm,1,1.2450069980695844
adaln_warm,2,1.2523682909086347
adaln_warm,3,2.0546239130198956
native_base,1,1.2455301638692617
native_base,2,1.2507251198403537
native_base,3,1.2495549372397363
native_half,1,1.262082171626389
native_half,2,1.2543600802309811
native_half,3,1.3036313760094345
adg,1,1.3235229118727148
adg,2,1.326153908856213
adg,3,1.9156153770163655
apg,1,1.2778949122875929
apg,2,1.2691564578562975
apg,3,1.9510752502828836
