method,baseline,nfe,guidance,FID,baseline_FID,FID_change_percent,IS,baseline_IS,IS_change_percent
FSG,CFG(DDIM),60,1.5,11.42,11.76,-2.8911564625850317,67.2,61.39,9.464082098061578
CFG-MP,CFG(D2F),60,1.5,8.85,8.95,-1.1173184357541888,72.85,65.9,10.546282245826987
CFG-MP+,CFG(D2F),60,1.5,9.21,8.95,2.905027932960902,76.78,65.9,16.509863429438543
FSG,CFG(DDIM),60,2.0,12.76,13.29,-3.9879608728367155,72.31,67.98,6.369520447190347
CFG-MP,CFG(D2F),60,2.0,10.03,10.26,-2.2417153996101447,78.74,70.57,11.577157432336694
CFG-MP+,CFG(D2F),60,2.0,10.28,10.26,0.19493177387914784,84.67,70.57,19.980161541731633
FSG,CFG(DDIM),60,2.5,15.04,15.83,-4.990524320909673,75.98,72.53,4.756652419688412
CFG-MP,CFG(D2F),60,2.5,12.51,12.85,-2.6459143968871612,82.45,76.26,8.116968266456848
CFG-MP+,CFG(D2F),60,2.5,12.3,12.85,-4.280155642023342,88.72,76.26,16.33884080776291
FSG,CFG(DDIM),120,1.5,9.14,9.61,-4.890738813735684,65.73,61.86,6.2560620756547225
CFG-MP,CFG(D2F),120,1.5,7.77,7.45,4.295302013422808,73.11,66.27,10.321412403802622
CFG-MP+,CFG(D2F),120,1.5,7.91,7.45,6.174496644295302,78.26,66.27,18.09265127508679
FSG,CFG(DDIM),120,2.0,11.5,12.17,-5.50534100246508,74.75,69.25,7.942238267148016
CFG-MP,CFG(D2F),120,2.0,9.26,9.18,0.8714596949891185,79.25,71.48,10.870173475097932
CFG-MP+,CFG(D2F),120,2.0,9.34,9.18,1.7429193899782147,86.26,71.48,20.677112479015115
FSG,CFG(DDIM),120,2.5,14.01,14.71,-4.758667573079545,77.14,73.17,5.4257209238758985
CFG-MP,CFG(D2F),120,2.5,11.48,11.49,-0.08703220191470518,83.74,77.83,7.5934729538738255
CFG-MP+,CFG(D2F),120,2.5,11.49,11.49,0.0,90.45,77.83,16.214827187459857
