arm,idea_id,family,key,role,solver,strength,theta,external_semantics,fid,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,priority_batch_traces_audited,complete,completed_in_family,delta_fid_apg,delta_fid_native,sampling_cost_ratio_apg
strong_00,,strong,native_ig,native,heun64,0.0,0.0,False,87.08634379243915,128.0,0.0,0.0,0.0,95.10131863784045,0,True,1,42.5824728275922,41.37900288066396,0.5455664998000014
ig_local_00,,ig_local,ig_local_attention,control,heun64,0.8,2.0,False,63.20381967506307,128.0,64.0,0.0,0.0,126.14194808714092,0,True,1,18.69994871021612,17.496478763287882,0.7236368757191155
cfg_native_04,,cfg_native,native_cfg,native,heun64,1.25,0.0,False,45.70734091177519,224.0,0.0,0.0,0.0,170.07877910789102,0,True,12,1.2034699469282373,0.0,0.975688723744249
cfg_apg_07,,cfg_apg,cfg_apg_momentum,control,heun64,2.0,-0.5,False,44.50387096484695,224.0,0.0,0.0,0.0,174.3166390764527,0,True,15,0.0,-1.2034699469282373,1.0
cfg_sde_native_01,,cfg_sde_native,native_sde,native,sde_tail64,1.25,0.0,False,47.10564568375577,128.0,0.0,0.0,0.0,110.62319415155798,0,True,4,2.601774718908814,1.3983047719805768,0.634610641517935
fsg_operator_control_00,,fsg_operator_control,fsg_operator_control,control,heun64,0.5,0.0625,False,46.60210119339706,260.0,0.0,0.0,0.0,192.6719938972965,0,True,8,2.0982302285501078,0.8947602816218705,1.105298925668211
full_root16_control_03,,full_root16_control,full_root,control,heun64,1.25,1.0,False,45.63619146734004,740.0,0.0,0.0,0.0,502.37637954205275,0,True,8,1.1323205024930871,-0.07114944443515014,2.881976053483442
cfg_smc_control_07,,cfg_smc_control,smc_control,control,heun64,2.75,0.2,False,44.72561265941954,224.0,0.0,0.0,0.0,164.39499870175496,0,True,8,0.22174169457258586,-0.9817282523556514,0.9430826544886156
semantic_direct_03,,semantic_direct,semantic_contract,control,heun64,1.25,0.8,True,45.767419542181585,484.0,0.0,8.0,8.0,451.59108101343736,0,True,8,1.2635485773346318,0.060078630406394495,2.590636690828901
sde_semantic_direct_03,,sde_semantic_direct,sde_semantic_direct,control,sde_tail64,1.25,0.8,True,47.27189526231257,196.0,0.0,8.0,8.0,263.15954673523083,0,True,8,2.7680242974656153,1.564554350537378,1.5096639547978719
i01_terminal_root_04,1,i01_terminal_root,terminal_root,candidate,heun64,1.25,0.5,False,45.645779402583514,484.0,0.0,0.0,0.0,334.9888809006661,0,True,12,1.1419084377365607,-0.06156150919167658,1.9217263634468362
i02_rolling_root_03,2,i02_rolling_root,rolling_root,candidate,heun64,1.25,0.125,False,45.50985051646256,484.0,0.0,0.0,0.0,334.6137351254001,0,True,12,1.00597955161561,-0.19749039531262724,1.9195742695488953
i03_path_energy_05,3,i03_path_energy,path_energy,candidate,heun64,1.25,4.0,False,45.63888872497836,740.0,0.0,0.0,0.0,507.74483319791034,0,True,12,1.1350177601314044,-0.06845218679683285,2.912773191865069
i04_golden_tube_05,4,i04_golden_tube,golden_tube,candidate,heun64,1.25,4.0,False,45.58956484610246,772.0,0.0,0.0,0.0,522.8650250872597,0,True,12,1.0856938812555086,-0.11777606567272869,2.999513000350694
i05_terminal_tangent_05,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,1.25,2.0,False,45.671209432984256,724.0,0.0,0.0,0.0,494.99094274360687,0,True,12,1.1673384681373022,-0.036131478790935034,2.839608114096963
i06_rolling_invariance_05,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,1.25,2.0,False,45.69596238947224,752.0,0.0,0.0,0.0,510.2035211995244,0,True,12,1.1920914246252892,-0.011378522302948113,2.9268779153994395
i07_terminal_inverse_03,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,1.25,0.25,False,45.774316416708984,388.0,0.0,0.0,0.0,276.2208521189168,0,True,12,1.270445451862031,0.06697550493379367,1.5845925757997803
i08_conditional_anchor_03,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,1.25,0.1,False,45.64752862770132,580.0,0.0,0.0,0.0,399.9371538935229,0,True,12,1.1436576628543662,-0.05981228407387107,2.294314277813241
i09_renoise_contract_04,9,i09_renoise_contract,renoise_contract,candidate,heun64,1.25,0.5,False,45.70395282100901,400.0,0.0,0.0,0.0,286.8188794548623,0,True,12,1.2000818561620576,-0.00338809076617963,1.6453901416093033
i10_condition_continuum_03,10,i10_condition_continuum,condition_continuum,candidate,heun64,1.25,0.25,False,45.63414106214668,708.0,0.0,0.0,0.0,483.68758332310244,0,True,12,1.1302700972997286,-0.07319984962850867,2.7747642788762366
i11_semantic_bernoulli_03,11,i11_semantic_bernoulli,semantic_bernoulli,candidate,heun64,1.25,0.0,True,45.58522683322104,676.0,0.0,16.0,16.0,695.0062685939483,0,True,12,1.0813558683740894,-0.12211407855414791,3.9870334368317466
i12_semantic_distribution_03,12,i12_semantic_distribution,semantic_distribution,candidate,heun64,1.25,0.5,True,45.70174335535137,484.0,0.0,16.0,16.0,571.0306551065296,0,True,12,1.1978723905044149,-0.005597556423822425,3.27582414468239
i13_semantic_margin_03,13,i13_semantic_margin,semantic_margin,candidate,heun64,1.25,0.5,True,45.723046101748764,356.0,0.0,8.0,8.0,372.91760991094634,0,True,12,1.2191751369018107,0.015705189973573397,2.139311610679863
i14_semantic_teacher_04,14,i14_semantic_teacher,semantic_teacher,candidate,heun64,1.25,0.5,True,45.64252092263558,388.0,0.0,10.0,10.0,422.49301678780466,0,True,12,1.1386499577886298,-0.06481998913960751,2.423710203605437
i15_contrastive_future_04,15,i15_contrastive_future,contrastive_future,candidate,heun64,1.25,0.5,False,45.64631782354792,708.0,0.0,0.0,0.0,493.6337207304314,0,True,12,1.1424468587009642,-0.06102308822727309,2.8318221561966377
i16_multi_rival_future_00,16,i16_multi_rival_future,multi_rival_future,candidate,heun64,0.5,0.1,False,54.34598406097086,1156.0,0.0,0.0,0.0,793.2060113213956,0,True,1,9.84211309612391,8.638643149195673,4.550374625875544
