seed_index,label,t,baseline_conditional_correct,delta_rms,delta_q_null,delta_q_conditional
0,24,0.125,True,-0.12471966445446014,0.003253801027312875,-0.11993712186813354
1,63,0.125,False,-0.008038446307182312,-1.4316683518700302e-05,-8.357968181371689e-05
2,87,0.125,False,-0.016663506627082825,-0.0003386755342944525,0.0009498214349150658
3,52,0.125,False,-0.1431380808353424,9.885786278474029e-08,-0.002218988141976297
4,84,0.125,False,-0.09161463379859924,-3.995078077423386e-05,0.3574557024985552
5,56,0.125,False,-0.09220294654369354,1.827658707043156e-05,-0.00015487702330574393
6,91,0.125,True,-0.04252445697784424,-4.830309535464039e-05,-0.025056421756744385
7,58,0.125,False,-0.10789166390895844,0.00030474319646600634,0.3225402757525444
8,14,0.125,False,-0.010517284274101257,-6.734581461387279e-07,0.036712195724248886
9,35,0.125,True,-0.028725653886795044,0.006292188307270408,0.10507601499557495
10,79,0.125,False,-0.023409336805343628,-4.322924360167235e-05,-1.649430487304926e-06
11,92,0.125,False,-0.09071594476699829,-2.8253992923055193e-07,1.461061037844047e-05
12,68,0.125,False,-0.015561610460281372,-1.7332404240733013e-06,-0.034190449863672256
13,93,0.125,True,-0.06290936470031738,0.5313409194350243,0.001059114933013916
14,95,0.125,False,-0.0011364072561264038,-1.330002305621747e-06,-3.438822204770986e-08
15,34,0.125,False,-0.016749590635299683,1.7926626849629201e-09,-0.013735644519329071
16,72,0.125,False,-0.02626052498817444,9.396802852279507e-06,-0.0019016281676158542
17,15,0.125,True,-0.022567331790924072,0.0010193133493885398,-0.05052906274795532
18,94,0.125,True,-0.010450981557369232,-0.03076031804084778,0.06706404685974121
19,46,0.125,False,-0.1316198706626892,-5.2513612899929285e-05,-0.1258362140506506
20,43,0.125,True,-0.0757090300321579,-7.900821219664067e-05,0.10465198755264282
21,31,0.125,False,-0.0029975324869155884,-7.428909157169983e-06,-2.9685324989259243e-06
22,20,0.125,False,-0.04617634415626526,0.00039389052835758775,0.06903219409286976
23,74,0.125,False,-0.020571917295455933,-4.699623787018936e-06,0.005019979551434517
24,26,0.125,False,-0.03856396675109863,-0.10297136008739471,0.1336139440536499
25,60,0.125,True,-0.004442125558853149,-0.00025265850126743317,-0.11312875151634216
26,36,0.125,False,-0.04508975148200989,2.3135246010497212e-05,-0.05060280114412308
27,10,0.125,True,-0.02453702688217163,-0.009509959258139133,-0.007278382778167725
28,18,0.125,False,-0.012274190783500671,6.134769591881195e-06,0.001881565898656845
29,44,0.125,False,-0.04850797355175018,0.00022154184989631176,0.08739690855145454
30,85,0.125,True,-0.10339745879173279,-0.0010102777159772813,-0.07678139209747314
31,25,0.125,False,-0.00920531153678894,-2.2113940758572426e-06,0.0006693851901218295
32,30,0.125,False,-0.03372342884540558,0.0004646296729333699,-0.0077902162447571754
33,11,0.125,False,-0.0715576708316803,7.448334415016689e-06,0.3819233477115631
34,90,0.125,False,-0.036521315574645996,0.0009339882526546717,-0.0032248550560325384
35,48,0.125,True,-0.015718653798103333,0.0013944504171377048,-0.007627248764038086
36,45,0.125,False,-0.00989486277103424,-3.656503395177424e-05,-0.0002503366267774254
37,65,0.125,False,-0.1024504005908966,0.0001798067933123093,0.00193423917517066
38,33,0.125,True,-0.022950828075408936,-5.487889939104207e-05,0.0015370845794677734
39,38,0.125,True,-0.012652963399887085,0.00027451448841020465,-0.06905865669250488
40,22,0.125,True,-0.06246750056743622,0.0005557384520216146,-0.4041447639465332
41,0,0.125,True,-0.022716283798217773,-4.5699780457653105e-05,0.0016102790832519531
42,54,0.125,True,-0.037859827280044556,1.0538436981732957e-05,-0.17664575576782227
43,89,0.125,False,-0.010873794555664062,2.14217507163994e-05,0.0004937981721013784
44,9,0.125,False,-0.020022496581077576,0.0003474126206128858,0.07035694923251867
45,64,0.125,False,-0.027094334363937378,-2.0600065909093246e-05,-0.0007126634009182453
46,13,0.125,True,-0.0023669153451919556,0.00040515908040106297,0.00028336048126220703
47,98,0.125,True,-0.07325603067874908,0.005343679242685084,-5.245208740234375e-06
48,62,0.125,True,-0.00924760103225708,5.848145383424708e-05,0.0013455748558044434
49,59,0.125,False,-0.014523923397064209,0.001586418875376694,-0.007811424322426319
50,7,0.125,False,-0.02418491244316101,0.009876056108623743,-0.03557951748371124
51,12,0.125,True,-0.02108532190322876,-1.9441773474682122e-05,-0.1168002188205719
52,81,0.125,False,-0.04574167728424072,0.0008970784801931586,-0.00010346062481403351
