arm,method,scale,samples,fid,independent_fid,mean_term,covariance_term,inception_score,full_per_image,prefix8_per_image,block_evaluations_per_image,inference_gpu_seconds,reused,noise_sha256,label_sha256,pixel_sha256
ordinary135,ordinary,1.35,1000,42.02390678019583,42.02393475638814,1.2139154607740381,40.8100192956141,48.11076889038086,115,0,3220,1014.9698992189951,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,ccbc97842a8bde222b4eed972f275337893e841b609db0b40d241ffe3ec93460
ordinary140,ordinary,1.4,1000,41.32022904219144,41.320256634406576,0.9980551223678717,40.3222015120387,48.148568344116214,115,0,3220,1020.1360096009448,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,0b925a5e1bdaca4d961327ed44175c7edef0caecc37709d93351124af9efb427
ordinary150,ordinary,1.5,1000,40.492864879051865,40.492892113673285,0.7276156280656126,39.76527648560767,49.24908103942871,115,0,3220,1025.2453457964584,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,16e5fc7c1c240855949a171788dc76920b368ed81f88e9818fed802264031297
ordinary175,ordinary,1.75,1000,39.27349181963996,39.2735183438163,0.3514844580244543,38.92203388579185,52.6382869720459,115,0,3220,1025.267542193178,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,6f0bc69b89c6359d94cbacb6e6d72b5e308a07efbedcbd48a5ebadea37006986
ordinary200,ordinary,2.0,1000,38.315902155614594,38.31592756043412,0.25971407298587207,38.05621348744825,55.158059692382814,115,0,3220,1025.000242257025,False,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,33223014da9e239a44410cc551971b8ab75adba09944779be4454323fbefe2d4
ordinary250,ordinary,2.5,1000,38.18548153881869,38.18550615278724,0.34467436336086343,37.840831789426375,56.39754981994629,115,0,3220,1026.4696767460555,False,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,aa6b3ec8a79c398da9cd8598329836c66103b578b8b3bf048cc186587f5bb283
time135,time_only,1.35,1000,40.56542686774952,40.565452313801124,0.7282897490935012,39.837162564707626,52.141122817993164,100,50,3200,1014.9882946875878,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,4a3729ccbb74b85c9beac8e6446394fd6af51fb068852785fee53b40c65aa44e
time140,time_only,1.4,1000,40.405041041148024,40.40506631092883,0.6484484468108607,39.75661786411797,52.601097869873044,100,50,3200,1022.0948638268746,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,362586b976d76a32f4aa94534b5e5d44a7d693f35fada51ada036ea0736e5870
time150,time_only,1.5,1000,39.746317845661906,39.74634243791371,0.5749483530462389,39.17139408486747,54.19598922729492,100,50,3200,1021.9128559213132,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,c8c6ad9a16c455f812f1f3916a58497ae1e422fcc4fc4746fc88c0f20cb032cc
time175,time_only,1.75,1000,38.83823187051411,38.83825476165167,0.5846238013807414,38.253630960270925,57.583193969726565,100,50,3200,1022.9485175171867,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,eb5d53e6dcf90486c17dae3a7939574cac79355f144b6c86b86985879cff4120
time200,time_only,2.0,1000,38.637821556587255,38.6378439132375,0.8382914042999411,37.79955250893755,58.17766189575195,100,50,3200,1023.1152416625991,False,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,232f8495449fc8fc9ef4370fb899c45fa6ad6aecaab722f3bfc557b98cae0136
time250,time_only,2.5,1000,39.01736119057961,39.017381461910844,1.3915216698428274,37.62585979206801,61.277621841430665,100,50,3200,1022.4191630599089,False,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,a3be55bc571bc1e25df280f70cf44a4470252834100abeb4a0287ae60fd53479
projected135,projected,1.35,1000,40.602144676235355,40.60217017657181,0.7240840536062563,39.878086122965556,52.10347442626953,100,50,3200,1019.383868899662,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,de401dd6d2124ec9748258a9542e70f068d877fb2e5a1e3b8bf4ef35f260b3f4
projected140,projected,1.4,1000,40.34867064730662,40.34869591649454,0.6464573116750296,39.70223860481951,52.65020904541016,100,50,3200,1022.8368183635175,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,ab9719c48320cb25ab8209e332f8c61c4bca4a7f9d77606458f7b939dcd71e24
projected150,projected,1.5,1000,39.7232990246481,39.72332361197882,0.5673580577548771,39.15596555422394,54.341168594360354,100,50,3200,1024.3154074875638,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,0f5130d344d8c5cde1bbd4a4e2e5385af6759515a3e719d43fbf8fc4a136f2a2
projected175,projected,1.75,1000,38.7733879020667,38.7734107711439,0.5790716670213534,38.19433910412255,57.43829498291016,100,50,3200,1022.1557155190967,True,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,efcdea9e64635e876dd8051be8bd738f12337905bcd962b57dd0a1a3443cce25
projected200,projected,2.0,1000,38.489649906688896,38.48967222657212,0.8091110778396537,37.680561148732465,58.84817619323731,100,50,3200,1022.9031688254327,False,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,364ccfd4f5d388aba9316e0596b8b467c505b8a53ea30dadfc93b7ba6ef35561
projected250,projected,2.5,1000,38.928565630998946,38.92858593652062,1.3745332587529868,37.55405267776763,61.49898834228516,100,50,3200,1023.0171438809484,False,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,3987d3588b77a4800e2bc1033befe7fe3238b75db6f623341b4adca6a24385b0
