t,x,noising_posterior_cat,null_endpoint,null_endpoint_positive
0,-1.0,0.5,-2.2376164246235417,0
0,-0.05,0.5,-1.1239459559259783,0
0,0.05,0.5,1.1239459559259775,1
0,1.0,0.5,2.2376164246235417,1
0.1,-1.0,0.3793500852000136,-2.2929850738072046,0
0.1,-0.05,0.4938464645540762,-1.1424392788728301,0
0.1,0.05,0.5061535354459239,1.1424392788728297,1
0.1,1.0,0.6206499147999863,2.2929850738072046,1
0.5,-1.0,0.0016588010801744215,-1.9997827885266468,0
0.5,-0.05,0.42067574785125056,-0.9075836748546424,0
0.5,0.05,0.5793242521487495,0.9075836748546384,1
0.5,1.0,0.9983411989198255,1.9997827885266468,1
0.9,-1.0,4.390768327629133e-08,-1.1322781662581787,0
0.9,-0.05,0.300050200139834,-0.07667862368084422,0
0.9,0.05,0.6999497998601659,0.07667862368050316,1
0.9,1.0,0.9999999560923166,1.132278166258177,1
