group,model,bank,phase,method,samples,head_training_steps,endpoint_step,weights,coefficient_type,coefficient,alpha,omega,seed,kappa,time_shift,solver,sampling_steps,fid,inception_score,sfid,full_calls,extra_prefix_calls,seconds,valid,first_1000_reused,reused,checkpoint_sha256,samples_sha256,source_file,source_row,source_sha256,source_output
SiT_readout_1K,sit_small,sit_context_select1k,,context_base,1000,3000,,,a: S+a*(S-W),0.8,,,,,,,,61.947099088455786,40.072662353515625,,,,,True,,,,,/home/zhoushunyu/eqvae/docs/data/context_reference_5k_20260912/selection_1k.csv,2,891d4025fcda8cd5416a22849ffb637d3cda2bbfef11e531c6238ebf262807d0,
SiT_readout_1K,sit_small,sit_context_select1k,,native_base,1000,50000,,,a: S+a*(S-W),0.8,,,,,,,,64.80903011223944,36.29304504394531,,,,,True,,,,,/home/zhoushunyu/eqvae/docs/data/context_reference_5k_20260912/selection_1k.csv,3,891d4025fcda8cd5416a22849ffb637d3cda2bbfef11e531c6238ebf262807d0,
SiT_readout_1K,sit_small,sit_context_select1k,,native_half,1000,50000,,,a: S+a*(S-W),0.4,,,,,,,,68.56310719808243,35.200111389160156,,,,,True,,,,,/home/zhoushunyu/eqvae/docs/data/context_reference_5k_20260912/selection_1k.csv,4,891d4025fcda8cd5416a22849ffb637d3cda2bbfef11e531c6238ebf262807d0,
SiT_readout_1K,sit_small,sit_context_select1k,,native_double,1000,50000,,,a: S+a*(S-W),1.6,,,,,,,,76.77463203625763,29.05483627319336,,,,,True,,,,,/home/zhoushunyu/eqvae/docs/data/context_reference_5k_20260912/selection_1k.csv,5,891d4025fcda8cd5416a22849ffb637d3cda2bbfef11e531c6238ebf262807d0,
SiT_readout_1K,sit_small,sit_context_select1k,,adg,1000,50000,,,a: S+a*(S-W),0.8,,,,,,,,63.81382903939948,35.972625732421875,,,,,True,,,,,/home/zhoushunyu/eqvae/docs/data/context_reference_5k_20260912/selection_1k.csv,6,891d4025fcda8cd5416a22849ffb637d3cda2bbfef11e531c6238ebf262807d0,
SiT_readout_1K,sit_small,sit_context_select1k,,strong,1000,,,,a: S+a*(S-W),0.0,,,,,,,,82.74873950746053,30.673328399658203,,,,,True,,,,,/home/zhoushunyu/eqvae/docs/data/context_reference_5k_20260912/selection_1k.csv,7,891d4025fcda8cd5416a22849ffb637d3cda2bbfef11e531c6238ebf262807d0,
SiT_readout_5K,sit_small,sit_context_independent5k,,context_base,5000,3000,,,a: S+a*(S-W),0.8,,,,,,,,37.234254676065405,39.45120620727539,,128,0,480.0177698167972,True,,,,,/home/zhoushunyu/eqvae/docs/data/context_reference_5k_20260912/quality.csv,2,53a7bf2b14bff519e826116ab6bea05808e3c0f2d967c48e9039e12594b4eb07,
SiT_readout_5K,sit_small,sit_context_independent5k,,native_base,5000,50000,,,a: S+a*(S-W),0.8,,,,,,,,40.281730730874415,37.54165267944336,,128,0,482.1379652572796,True,,,,,/home/zhoushunyu/eqvae/docs/data/context_reference_5k_20260912/quality.csv,3,53a7bf2b14bff519e826116ab6bea05808e3c0f2d967c48e9039e12594b4eb07,
SiT_readout_5K,sit_small,sit_context_independent5k,,adg,5000,50000,,,a: S+a*(S-W),0.8,,,,,,,,39.57750158085156,37.4043083190918,,128,0,511.32406076136976,True,,,,,/home/zhoushunyu/eqvae/docs/data/context_reference_5k_20260912/quality.csv,4,53a7bf2b14bff519e826116ab6bea05808e3c0f2d967c48e9039e12594b4eb07,
SiT_readout_5K,sit_small,sit_context_independent5k,,native_66,5000,50000,,,a: S+a*(S-W),0.8,,,,,,,,40.27343043030578,37.55503845214844,,132,0,496.92097924789414,True,,,,,/home/zhoushunyu/eqvae/docs/data/context_reference_5k_20260912/quality.csv,5,53a7bf2b14bff519e826116ab6bea05808e3c0f2d967c48e9039e12594b4eb07,
