model,stage,arm,fid,inception_score,primary_samples,generated_paths,full_calls_per_output,seconds
sit_small,cfg_screen_400,independent_base,77.85417228363127,61.784027099609375,400,800,224.0,124.54401427228004
sit_small,cfg_screen_400,shared_independent_base,84.31379286635831,55.45635986328125,400,800,224.0,123.81394315045327
sit_small,cfg_screen_400,shared_antithetic_base,87.77835081139892,49.716697692871094,400,800,224.0,126.6026621023193
sit_small,cfg_screen_400,independent_half,85.31521462491935,53.62066650390625,400,800,224.0,124.31195988506079
sit_small,cfg_screen_400,shared_independent_half,98.56268304250062,43.2719841003418,400,800,224.0,123.92116255732253
sit_small,cfg_screen_400,shared_antithetic_half,101.63910742051166,39.788970947265625,400,800,224.0,124.5118110110052
raev2,cfg_screen_400,independent_base,98.19925067236608,31.21146297454834,400,800,200.0,1278.6877440218814
raev2,cfg_screen_400,shared_independent_base,97.83778335552131,30.62803211212158,400,800,200.0,1282.7862998154014
raev2,cfg_screen_400,shared_antithetic_base,97.0782580577378,30.173587799072266,400,800,200.0,1278.8270672932267
raev2,cfg_screen_400,independent_half,94.91679001579911,30.04912281036377,400,800,200.0,1276.1359522733837
raev2,cfg_screen_400,shared_independent_half,94.3783312315399,29.552556610107423,400,800,200.0,1273.7555580115877
raev2,cfg_screen_400,shared_antithetic_half,95.15914570091945,29.33307991027832,400,800,200.0,1277.6455359240063
sit_small,ig_screen_400,native_base,104.10270462297001,35.186805725097656,400,800,128.0,80.57520854612812
sit_small,ig_screen_400,posterior,117.79135077738925,30.96051788330078,400,800,128.0,81.28310178779066
sit_small,ig_screen_400,time_mean,116.18093138196446,32.842926025390625,400,800,128.0,79.8898077677004
sit_small,ig_screen_400,permuted,115.280587486547,31.32674217224121,400,800,128.0,80.96343972254544
sit_small,ig_screen_400,reversed,114.60363832158481,28.980091094970703,400,800,128.0,80.9345345092006
sit_small,ig_screen_400,native_half,110.6692436973857,35.54380798339844,400,800,128.0,79.47086675977334
sit_small,ig_screen_400,native_double,116.082277829374,27.1596622467041,400,800,128.0,79.27368327975273
raev2,ig_screen_400,native_base,92.69443568047316,27.963437843322755,400,800,100.0,642.4273780058138
raev2,ig_screen_400,posterior,92.84873589128222,27.987012481689455,400,800,100.0,644.1548780775629
raev2,ig_screen_400,time_mean,92.37952165894762,27.761909103393556,400,800,100.0,639.0882402760908
raev2,ig_screen_400,permuted,92.69582203865212,27.314502334594728,400,800,100.0,644.6282854280435
raev2,ig_screen_400,reversed,94.65479856119083,27.287299728393556,400,800,100.0,643.9493981031701
raev2,ig_screen_400,native_half,92.76631324714731,27.39827823638916,400,800,100.0,638.6691334703937
raev2,ig_screen_400,native_double,94.85298446324236,28.48000717163086,400,800,100.0,638.4298893585801
sit_small,ig_calibrated_screen_400,native_base,104.10270462297001,35.186805725097656,400,800,128.0,78.09248340316117
sit_small,ig_calibrated_screen_400,posterior,110.81907877678049,35.272518157958984,400,800,128.0,78.19002188602462
sit_small,ig_calibrated_screen_400,time_mean,111.77445054891581,34.162452697753906,400,800,128.0,76.8955762325786
sit_small,ig_calibrated_screen_400,permuted,109.83676677609628,35.15131759643555,400,800,128.0,78.27341523487121
sit_small,ig_calibrated_screen_400,reversed,111.44929763168648,31.21295738220215,400,800,128.0,77.68104244302958
raev2,ig_calibrated_screen_400,native_base,92.69443568047316,27.963437843322755,400,800,100.0,641.2525495062582
raev2,ig_calibrated_screen_400,posterior,92.48987320638469,27.788660621643068,400,800,100.0,643.4654606636614
raev2,ig_calibrated_screen_400,time_mean,92.71778826490993,28.04867477416992,400,800,100.0,637.8909639497288
raev2,ig_calibrated_screen_400,permuted,92.45661959803172,27.79730281829834,400,800,100.0,646.6239942149259
raev2,ig_calibrated_screen_400,reversed,93.3913578338099,27.467122077941895,400,800,100.0,646.7672594459727
