horizon,intervention,state_displacement,delta_local_loss,delta_future_loss_normalized,preserved_loss_abs_error
0.5,future_only,0.009999999999999898,3.3306690738754696e-16,-0.0021724801833815643,3.3306690738754696e-16
0.5,local_only,0.009999999999998873,-0.0020968746100780145,4.440892098500626e-16,4.440892098500626e-16
0.25,future_only,0.009999999999999898,3.3306690738754696e-16,-0.0009860874879914494,3.3306690738754696e-16
0.25,local_only,0.009999999999996569,-0.000965167376346443,-1.1102230246251565e-16,1.1102230246251565e-16
0.125,future_only,0.009999999999999898,3.3306690738754696e-16,-0.0004671201243644507,3.3306690738754696e-16
0.125,local_only,0.01000000000000272,-0.000461108722496939,-1.1102230246251565e-16,1.1102230246251565e-16
0.0625,future_only,0.009999999999999898,3.3306690738754696e-16,-0.0002269958861678134,3.3306690738754696e-16
0.0625,local_only,0.010000000000001574,-0.0002251203533764068,4.440892098500626e-16,4.440892098500626e-16
0.03125,future_only,0.009999999999999898,3.3306690738754696e-16,-0.00011184834845245906,3.3306690738754696e-16
0.03125,local_only,0.010000000000001253,-0.00011119442412887981,4.440892098500626e-16,4.440892098500626e-16
0.015625,future_only,0.009999999999999898,3.3306690738754696e-16,-5.551082681332087e-05,3.3306690738754696e-16
0.015625,local_only,0.010000000000001024,-5.525492038815916e-05,6.661338147750939e-16,6.661338147750939e-16
0.0078125,future_only,0.009999999999999898,3.3306690738754696e-16,-2.7651965576636073e-05,3.3306690738754696e-16
0.0078125,local_only,0.01000000000000075,-2.7541783772511153e-05,1.1102230246251565e-16,1.1102230246251565e-16
0.00390625,future_only,0.009999999999999898,3.3306690738754696e-16,-1.3800107438233233e-05,3.3306690738754696e-16
0.00390625,local_only,0.010000000000000833,-1.3749460038847694e-05,4.440892098500626e-16,4.440892098500626e-16
