alpha,beta,iterations,local_error_squared,future_error_squared,retained_tangent_std,target_wasserstein_squared,excess_tangent_wasserstein_squared,log_abs_calibration_jacobian,log_abs_tangent_jacobian
0.5,1.0,0,2.0,0.5,1.0,2.0,0.0,-0.0,0.0
0.5,1.0,1,0.5,0.125,1.0,0.5,0.0,-0.6931471805599453,0.0
0.5,1.0,2,0.125,0.03125,1.0,0.125,0.0,-1.3862943611198906,0.0
0.5,1.0,3,0.03125,0.0078125,1.0,0.03125,0.0,-2.0794415416798357,0.0
0.5,1.0,4,0.0078125,0.001953125,1.0,0.0078125,0.0,-2.772588722239781,0.0
0.5,1.0,5,0.001953125,0.00048828125,1.0,0.001953125,0.0,-3.4657359027997265,0.0
0.5,1.0,6,0.00048828125,0.0001220703125,1.0,0.00048828125,0.0,-4.1588830833596715,0.0
0.5,1.0,7,0.0001220703125,3.0517578125e-05,1.0,0.0001220703125,0.0,-4.852030263919617,0.0
0.5,1.0,8,3.0517578125e-05,7.62939453125e-06,1.0,3.0517578125e-05,0.0,-5.545177444479562,0.0
0.5,1.0,9,7.62939453125e-06,1.9073486328125e-06,1.0,7.62939453125e-06,0.0,-6.238324625039508,0.0
0.5,1.0,10,1.9073486328125e-06,4.76837158203125e-07,1.0,1.9073486328125e-06,0.0,-6.931471805599453,0.0
0.5,1.0,11,4.76837158203125e-07,1.1920928955078125e-07,1.0,4.76837158203125e-07,0.0,-7.6246189861593985,0.0
0.5,1.0,12,1.1920928955078125e-07,2.9802322387695312e-08,1.0,1.1920928955078125e-07,0.0,-8.317766166719343,0.0
0.5,0.8,0,2.0,0.5,1.0,2.0,0.0,-0.0,-0.0
0.5,0.8,1,0.5,0.125,0.8,0.54,0.03999999999999998,-0.916290731874155,-0.2231435513142097
0.5,0.8,2,0.125,0.03125,0.6400000000000001,0.25459999999999994,0.1295999999999999,-1.83258146374831,-0.4462871026284194
0.5,0.8,3,0.03125,0.0078125,0.5120000000000001,0.2693939999999999,0.23814399999999988,-2.748872195622465,-0.6694306539426291
0.5,0.8,4,0.0078125,0.001953125,0.4096000000000001,0.3563846599999999,0.3485721599999999,-3.66516292749662,-0.8925742052568388
0.5,0.8,5,0.001953125,0.00048828125,0.3276800000000001,0.4539673073999999,0.4520141823999999,-4.581453659370775,-1.1157177565710485
0.5,0.8,6,0.00048828125,0.0001220703125,0.2621440000000001,0.5449197579859998,0.5444314767359998,-5.49774439124493,-1.3388613078852583
0.5,0.8,7,0.0001220703125,3.0517578125e-05,0.20971520000000007,0.6246721354235398,0.6245500651110398,-6.414035123119085,-1.562004859199468
0.5,0.8,8,3.0517578125e-05,7.62939453125e-06,0.1677721600000001,0.6926336952491905,0.6926031776710655,-7.33032585499324,-1.7851484105136777
0.5,0.8,9,7.62939453125e-06,1.9073486328125e-06,0.13421772800000006,0.7495865719040131,0.7495789425094819,-8.246616586867395,-2.0082919618278874
0.5,0.8,10,1.9073486328125e-06,4.76837158203125e-07,0.10737418240000006,0.7967827575947012,0.7967808502460684,-9.16290731874155,-2.231435513142097
0.5,0.8,11,4.76837158203125e-07,1.1920928955078125e-07,0.08589934592000005,0.835580482626642,0.8355800057894838,-10.079198050615705,-2.454579064456307
0.5,0.8,12,1.1920928955078125e-07,2.9802322387695312e-08,0.06871947673600004,0.8672835322201592,0.8672834130108696,-10.99548878248986,-2.6777226157705165
0.5,0.5,0,2.0,0.5,1.0,2.0,0.0,-0.0,-0.0
0.5,0.5,1,0.5,0.125,0.5,0.75,0.25,-1.3862943611198906,-0.6931471805599453
0.5,0.5,2,0.125,0.03125,0.25,0.6875,0.5625,-2.772588722239781,-1.3862943611198906
0.5,0.5,3,0.03125,0.0078125,0.125,0.796875,0.765625,-4.1588830833596715,-2.0794415416798357
0.5,0.5,4,0.0078125,0.001953125,0.0625,0.88671875,0.87890625,-5.545177444479562,-2.772588722239781
0.5,0.5,5,0.001953125,0.00048828125,0.03125,0.9404296875,0.9384765625,-6.931471805599453,-3.4657359027997265
0.5,0.5,6,0.00048828125,0.0001220703125,0.015625,0.969482421875,0.968994140625,-8.317766166719343,-4.1588830833596715
0.5,0.5,7,0.0001220703125,3.0517578125e-05,0.0078125,0.98455810546875,0.98443603515625,-9.704060527839234,-4.852030263919617
0.5,0.5,8,3.0517578125e-05,7.62939453125e-06,0.00390625,0.9922332763671875,0.9922027587890625,-11.090354888959125,-5.545177444479562
0.5,0.5,9,7.62939453125e-06,1.9073486328125e-06,0.001953125,0.9961051940917969,0.9960975646972656,-12.476649250079015,-6.238324625039508
0.5,0.5,10,1.9073486328125e-06,4.76837158203125e-07,0.0009765625,0.9980497360229492,0.9980478286743164,-13.862943611198906,-6.931471805599453
0.5,0.5,11,4.76837158203125e-07,1.1920928955078125e-07,0.00048828125,0.9990241527557373,0.9990236759185791,-15.249237972318797,-7.6246189861593985
0.5,0.5,12,1.1920928955078125e-07,2.9802322387695312e-08,0.000244140625,0.9995118975639343,0.9995117783546448,-16.635532333438686,-8.317766166719343
