condition,mode,gamma,head_step,head_weights,num_samples,global_seed,fid,sfid,inception_score,sampling_peak_memory_mib,fid_peak_memory_mib,total_nfe,noise_fingerprint,label_fingerprint,sample_sha256
full,full,0.0,50000,ema,1000,0,100.51048041526815,218.19650959641012,21.544885635375977,1824,6472,6724,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3,783321f442d3a2370d0c99215be82b66450fbdffff22d37e98ea987b536894f4
internal,internal,0.0,50000,ema,1000,0,218.658443978074,280.3779825471463,7.093847274780273,1824,6472,7630,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3,b230ccba73bc2d36b1dd398dd29d3f69b0a1ee6f367d7599b14a1957a13aed84
extrap_gamma_0p01,extrapolation,0.01,50000,ema,1000,0,99.93507694072173,217.86750704230485,21.653064727783203,1824,6472,6790,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3,5bebd5c11e241b59b7b78377785ef8161c61c5832beffc5c012f2797ce33f288
extrap_gamma_0p03,extrapolation,0.03,50000,ema,1000,0,98.72617227522636,217.21108527466504,21.819643020629883,1824,6472,6760,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3,d31a6243ca6d65223a1f2732dc3f36ad5a9fc33f59591a0d05b490fa3221c56a
extrap_gamma_0p05,extrapolation,0.05,50000,ema,1000,0,97.43557233441874,216.6138329662042,21.961288452148438,1824,6472,6988,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3,45630f333378506a0bc83f6be0f8cbec115d732de0d30bebd8938366fe9f97a0
extrap_gamma_0p1,extrapolation,0.1,50000,ema,1000,0,94.7610328115868,215.32609120634788,21.80762481689453,1824,6472,6808,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3,bbbe39adb76e806015ed9d723f35db37cdcc8bf2b28474d95facd90e847580c2
extrap_gamma_0p2,extrapolation,0.2,50000,ema,1000,0,91.9322651338324,213.49525800448043,22.649581909179688,1824,6472,7414,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3,559f231f6b2e4df65c6ef66cba72039d13fce6d257ffc1eca77af83f1ccd7910
extrap_gamma_0p4,extrapolation,0.4,50000,ema,1000,0,90.3528009728725,213.28997370496063,21.669775009155273,1824,6472,8692,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3,b51f57eff7b52df5c87dc82b53aa8eae948179b99d76214e1b5a022aad070adb
extrap_gamma_0p6,extrapolation,0.6,50000,ema,1000,0,96.36072314871535,216.4092959433916,19.37795639038086,3487,6472,9586,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3,6e0596fe6ef8cdd4a2766f23d093755d344faf8407dd198ca9a3d58a4466b915
extrap_gamma_0p8,extrapolation,0.8,50000,ema,1000,0,106.26628344795108,221.08205865935975,17.21941566467285,1824,6472,11170,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3,666161fb28e4e71ea970432f13c35c67c675bf7fd5d2753e33a3c0e2a3598213
