condition,mode,gamma,head_step,head_weights,num_samples,global_seed,fid,sfid,inception_score,sampling_peak_memory_mib,fid_peak_memory_mib,total_nfe,noise_fingerprint,label_fingerprint,sample_sha256
full,full,0.0,50000,ema,1000,0,101.09024385277348,218.63113500926647,21.577131271362305,2114,6450,6682,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,6300dcffd0521b10946062afce444b20accd83ebf3b218bf09097023fef2d91b
internal,internal,0.0,50000,ema,1000,0,224.74883238855188,265.7747301132704,6.157077312469482,2114,6450,9406,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,eca01d89d7e53cef8b84cc50d5b477e150a169f1d76dc0b65468954ca5202e22
extrap_gamma_0p01,extrapolation,0.01,50000,ema,1000,0,100.47413301277413,218.22627964364187,21.6446590423584,2114,6450,6712,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,1f175ff2bbc7cf70e2315d5ca7005df9ceab81b6d75e377e07c34ed3f4676f89
extrap_gamma_0p03,extrapolation,0.03,50000,ema,1000,0,99.16655564121805,217.56568850129486,22.046998977661133,2114,6450,6880,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,94bc8fa2bbb7702de68885b1601b103217b6be9bb2e13e08738f7b31a9e56d4c
extrap_gamma_0p05,extrapolation,0.05,50000,ema,1000,0,97.8180440584789,216.92104371274604,22.423694610595703,2114,6450,6988,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,eb60caa69020d84f0f4bf99597aa54156e8ce85ba5f01079b59cb980ccac4360
extrap_gamma_0p08,extrapolation,0.08,50000,ema,1000,0,96.39238852861678,216.156461769031,22.72787857055664,2114,6450,7876,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,a81080361388ab626bde9fd3402b34c69d3a05d4022a934853a86a1d914e1d60
extrap_gamma_0p1,extrapolation,0.1,50000,ema,1000,0,95.72521337772366,215.80070513482747,22.743154525756836,2114,6450,8632,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,4e488803ada3ecc153923f001d9fb92b850ab0bd66cc42b2f0019c130c6424b2
extrap_gamma_0p12,extrapolation,0.12,50000,ema,1000,0,95.27749406736706,215.49115043781376,22.81697654724121,2114,6450,9190,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,ee67a832ff7dea78ea217da94378ac035fc8ef0d436fcfc845f8fae2b6fa3393
extrap_gamma_0p15,extrapolation,0.15,50000,ema,1000,0,95.23201726268496,215.2823074104018,22.223114013671875,2114,6450,9436,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,180fda3a0dac2c0356eccf4e543002b40c0702cc510dae27a30ce0a016aaa7b1
extrap_gamma_0p18,extrapolation,0.18,50000,ema,1000,0,95.45463641367678,215.2433658360951,21.745901107788086,2114,6450,9622,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,e9ce2744593a52319e9b4be059586f737e35756debe4b8f69d64da80959cfeae
