condition,mode,extrapolation_space,gamma,alpha,source_step,weights,num_samples,global_seed,fid,sfid,inception_score,sampling_peak_memory_mib,fid_peak_memory_mib,total_nfe,noise_fingerprint,label_fingerprint,sample_sha256
final,final,hidden,0.0,0.0,0,ema,1000,0,101.09043388147688,218.62999025358545,21.580841064453125,2114,6450,6682,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,6300dcffd0521b10946062afce444b20accd83ebf3b218bf09097023fef2d91b
internal_depth8,internal,hidden,0.0,0.0,0,ema,1000,0,235.47084521799184,326.7534317164635,3.461935520172119,2114,6450,6298,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,a44ca8fea226fcb0e5247c31755ee59c99d00ae6c1156a5849609428a91e5b39
hidden_gamma_0p005,extrapolation,hidden,0.005,0.0,0,ema,1000,0,101.25193887888929,219.53153806633202,21.47136688232422,2114,6450,6634,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,c925e6973fb2716739f8a1346e843ad94ddaf74b18b0f7e9b4a1ce27b96d3809
hidden_gamma_0p01,extrapolation,hidden,0.01,0.0,0,ema,1000,0,101.45607318346515,220.31399806212562,21.548675537109375,2114,6450,6556,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,9eb1e2018b76d7fa14e153a14b50efcf030c2045b3156dd4bd6320b82ae4965c
hidden_gamma_0p02,extrapolation,hidden,0.02,0.0,0,ema,1000,0,101.84896445508139,222.14876533028416,21.648029327392578,2114,6450,6592,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8c79479685d4b0c401f6377f94cf91b08c987dc89b735e5552190d8ff16a12b4
hidden_gamma_0p03,extrapolation,hidden,0.03,0.0,0,ema,1000,0,102.18634446024242,224.0163700778321,21.476455688476562,2114,6450,6568,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,50cd83064682a30b9bd843759f7efd391c65f0d4fd6f8a41dca9440f07c8b3bc
hidden_gamma_0p05,extrapolation,hidden,0.05,0.0,0,ema,1000,0,103.52027384200068,227.9968443850944,20.98296546936035,2114,6450,6436,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,f16757eb238c7dd56c888edd8dd470c333fcbbca948331b897344cb4964e06b7
hidden_gamma_0p1,extrapolation,hidden,0.1,0.0,0,ema,1000,0,109.8763990844725,238.59387306490294,18.67255973815918,2114,6450,6334,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,952b3df41ba51eccfbc8ea1caa618b2af11fc16293de283f3062d20f676c4009
hidden_gamma_0p2,extrapolation,hidden,0.2,0.0,0,ema,1000,0,135.01979624544225,257.3912547465759,13.934764862060547,2114,6450,5992,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,ef0eafe4a7734e5f9fc4e0d7354a30ba6d0d81fd7cadd59f3ce1c847979a70bf
hidden_gamma_0p4,extrapolation,hidden,0.4,0.0,0,ema,1000,0,201.192740709216,259.804119955538,6.83495569229126,2114,6450,5740,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,6e64cbd68bd1cdb3fcccdbef4955de6669f754b036902544537a1bbbaa3fb10d
