anchor_prediction_target,checkpoint_step,condition,control_mode,fid,fid_gain_vs_v400,fid_peak_memory_mib,guidance_gamma,inception_score,label_fingerprint,noise_fingerprint,num_samples,other_checkpoint_step,other_inference_denominator_floor,other_prediction_target,other_training_denominator_floor,region,sampling_elapsed_seconds_max_rank,sampling_peak_memory_mib,scale,series,sfid,total_model_forwards,total_nfe
velocity,400000,floor_only_sm0p2,floor_only,67.11047203249188,0.3630334415437346,2838,0.2,26.60401153564453,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.05,x,0.05,beyond_velocity,272.6883673230186,2114,-0.2,floor_only,68.87770932640956,34310,34310
velocity,400000,floor_only_sm0p5,floor_only,66.58151625702612,0.8919892170094954,2838,0.5,26.526363372802734,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.05,x,0.05,beyond_velocity,282.73204006208107,2114,-0.5,floor_only,68.90585161381046,36002,36002
velocity,400000,floor_only_sm0p75,floor_only,66.22680099249487,1.2467044815407462,3387,0.75,26.459985733032227,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.05,x,0.05,beyond_velocity,288.8895313940011,2114,-0.75,floor_only,68.92071741234292,37190,37190
velocity,400000,floor_only_sm1,floor_only,65.97782193116382,1.4956835428718023,2838,1.0,26.38190460205078,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.05,x,0.05,beyond_velocity,307.28123812098056,2114,-1.0,floor_only,68.96429746473768,39500,39500
velocity,400000,floor_residual_sm1,floor_residual,59.69481506208899,7.778690411946627,2838,1.0,27.717697143554688,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.05,x,0.05,beyond_velocity,505.9014401398599,2224,-1.0,floor_residual,67.03000117176703,81664,40832
velocity,400000,pre_floor_pair_sm1,pre_floor_pair,59.72878337925033,7.744722094785288,2838,1.0,27.79241943359375,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.05,x,0.05,beyond_velocity,481.06116085499525,2224,-1.0,pre_floor_pair,67.0284195004956,74980,37490
velocity,400000,post_floor_pair_sm1,post_floor_pair,66.06035500323043,1.413150470805192,5206,1.0,26.435033798217773,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.05,x,0.05,beyond_velocity,542.9078908073716,4592,-1.0,post_floor_pair,68.97678321616195,80608,40304
velocity,400000,parallel_pair_sm1,parallel_pair,64.36881055792338,3.104694916112237,4651,1.0,26.733449935913086,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.05,x,0.05,beyond_velocity,549.3586867521517,4592,-1.0,parallel_pair,67.72495864741745,77392,38696
velocity,400000,orthogonal_pair_sm1,orthogonal_pair,61.81033541044951,5.663170063586108,5376,1.0,27.369190216064453,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.05,x,0.05,beyond_velocity,532.4595200172625,4762,-1.0,orthogonal_pair,68.53595130540862,81196,40598
velocity,400000,static_ifloor0p02_s1,full_pair,74.74851733997025,-7.27501186593463,4877,-1.0,23.836000442504883,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.02,x,0.05,interpolation,317.287368663121,4762,1.0,x_inference_floor_0p02,69.68062672176347,38216,38216
