family,seed,trajectory,samples,shift_rms_mean,shift_rms_std,shift_cosine_frozen_mean
x800,0,frozen,512,0.15672212839126587,0.04371945932507515,
x800,0,replay,512,0.07455570250749588,0.009988166391849518,
x800,0,closed,512,0.18834511935710907,0.05661735311150551,
x800,0,replay_vs_frozen_shift,512,0.12428149580955505,0.04796469211578369,0.633404552936554
x800,0,closed_vs_frozen_shift,512,0.09057361632585526,0.04001263901591301,0.8782335519790649
x800,1,frozen,512,0.16259002685546875,0.04644707217812538,
x800,1,replay,512,0.07560484111309052,0.01040765829384327,
x800,1,closed,512,0.19528505206108093,0.06184104457497597,
x800,1,replay_vs_frozen_shift,512,0.13052892684936523,0.0508333183825016,0.6207212805747986
x800,1,closed_vs_frozen_shift,512,0.09351804107427597,0.04386359080672264,0.879911482334137
v500,0,frozen,512,0.11348971724510193,0.04273776337504387,
v500,0,replay,512,0.036969125270843506,0.005459997802972794,
v500,0,closed,512,0.12458337843418121,0.05007723346352577,
v500,0,replay_vs_frozen_shift,512,0.09753582626581192,0.04428522661328316,0.5742126107215881
v500,0,closed_vs_frozen_shift,512,0.04279959574341774,0.030773961916565895,0.9401535391807556
v500,1,frozen,512,0.11694719642400742,0.04582282155752182,
v500,1,replay,512,0.03725109621882439,0.005546520929783583,
v500,1,closed,512,0.1282753348350525,0.05273858457803726,
v500,1,replay_vs_frozen_shift,512,0.10115185379981995,0.0476565957069397,0.5657937526702881
v500,1,closed_vs_frozen_shift,512,0.04300425201654434,0.02761632390320301,0.9428463578224182
