family,condition,mode,gamma,nominal_scale,orthogonal_scale,response_scale,global_seed,num_samples,fid,sfid,inception_score,total_nfe,noise_fingerprint,label_fingerprint,result
v500,response_r1p5_n1000_seed0,factorized,1.0,1.0,0.0,1.5,0,1000,75.0517426395877,215.69695332433298,29.842805862426758,7852,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/v500/response_r1p5_n1000_seed0/nominal_intervention_fid5k.json
v500,closed_g2p5_n1000_seed0,closed,2.5,1.0,0.0,1.0,0,1000,75.39558470430546,218.30219288221565,32.817283630371094,8344,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/v500/closed_g2p5_n1000_seed0/nominal_intervention_fid5k.json
v500,response_r1p25_n1000_seed0,factorized,1.0,1.0,0.0,1.25,0,1000,77.74424679215804,216.54339637713542,30.595073699951172,7066,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/v500/response_r1p25_n1000_seed0/nominal_intervention_fid5k.json
v500,closed_g2_n1000_seed0,closed,2.0,1.0,0.0,1.0,0,1000,77.78443788976415,218.56604168349486,31.995132446289062,7960,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/v500/closed_g2_n1000_seed0/nominal_intervention_fid5k.json
v500,closed_g1p75_n1000_seed0,closed,1.75,1.0,0.0,1.0,0,1000,78.82736185982492,218.63195580021295,32.520450592041016,7894,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/v500/closed_g1p75_n1000_seed0/nominal_intervention_fid5k.json
v500,response_r1_n1000_seed0,factorized,1.0,1.0,0.0,1.0,0,1000,82.5559072773001,219.09569224123015,30.612375259399414,7018,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/v500/response_r1_n1000_seed0/nominal_intervention_fid5k.json
v500,response_r0p75_n1000_seed0,factorized,1.0,1.0,0.0,0.75,0,1000,84.59965292618062,220.2811408096867,30.081764221191406,7150,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/v500/response_r0p75_n1000_seed0/nominal_intervention_fid5k.json
v500,response_r0p5_n1000_seed0,factorized,1.0,1.0,0.0,0.5,0,1000,85.15970628802177,220.48097710709317,29.667991638183594,6916,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/v500/response_r0p5_n1000_seed0/nominal_intervention_fid5k.json
v500,response_r2_n1000_seed0,factorized,1.0,1.0,0.0,2.0,0,1000,92.21881657159491,223.36410145055913,21.337194442749023,10168,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/v500/response_r2_n1000_seed0/nominal_intervention_fid5k.json
x800,response_r1p5_n1000_seed0,factorized,1.0,1.0,0.0,1.5,0,1000,78.98599736317641,219.25081447151558,26.78565216064453,8542,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/x800/response_r1p5_n1000_seed0/nominal_intervention_fid5k.json
x800,response_r1p25_n1000_seed0,factorized,1.0,1.0,0.0,1.25,0,1000,79.03553349961607,219.10635019878544,29.73154640197754,7942,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_screen_n1000_seed0/x800/response_r1p25_n1000_seed0/nominal_intervention_fid5k.json
