family,condition,mode,gamma,nominal_scale,orthogonal_scale,response_scale,global_seed,num_samples,fid,sfid,inception_score,total_nfe,noise_fingerprint,label_fingerprint,result
v500,g1p75_r1p30_l1p25_n1000_seed0,factorized,1.75,1.0,1.25,1.3,0,1000,72.40428274745142,217.36108899035787,30.527734756469727,8212,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p30_l1p25_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p35_l1p25_n1000_seed0,factorized,1.75,1.0,1.25,1.35,0,1000,72.56766299468933,217.26119146975475,30.213043212890625,8398,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p35_l1p25_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p30_l1p0_n1000_seed0,factorized,1.75,1.0,1.0,1.3,0,1000,72.58065789431038,216.75185636745277,30.002092361450195,7846,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p30_l1p0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p35_l1p0_n1000_seed0,factorized,1.75,1.0,1.0,1.35,0,1000,72.60745289558412,217.107607010621,30.068422317504883,7852,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p35_l1p0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p35_l1p125_n1000_seed0,factorized,1.75,1.0,1.125,1.35,0,1000,72.67644923442379,217.37653128296904,30.11116600036621,8056,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p35_l1p125_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p35_l0p875_n1000_seed0,factorized,1.75,1.0,0.875,1.35,0,1000,72.69410929864955,216.69950354766706,29.74471092224121,7786,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p35_l0p875_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p30_l0p875_n1000_seed0,factorized,1.75,1.0,0.875,1.3,0,1000,72.70681184522374,216.47459310218585,29.919057846069336,7750,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p30_l0p875_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p30_l1p125_n1000_seed0,factorized,1.75,1.0,1.125,1.3,0,1000,72.70890384570384,217.23680489579715,30.31916046142578,7960,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p30_l1p125_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p25_l1p125_n1000_seed0,factorized,1.75,1.0,1.125,1.25,0,1000,72.71537572751936,217.14897724934326,30.48330307006836,7918,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p25_l1p125_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p35_l1p25_n1000_seed0,factorized,1.5,1.0,1.25,1.35,0,1000,72.80126804218395,216.99338689941874,29.962839126586914,7816,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p35_l1p25_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p25_l1p25_n1000_seed0,factorized,1.75,1.0,1.25,1.25,0,1000,72.80720792837997,217.40506850859833,30.85628890991211,8146,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p25_l1p25_n1000_seed0/nominal_intervention_fid5k.json
