direction,condition,num_samples,fid,sfid,inception_score,samples,sample_sha256,fid_gain_vs_baseline
x800,baseline,5000,61.01167794627668,69.3201074371566,29.53792381286621,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/tangent_projection_800k_v1/x800/baseline/samples_unguided_n5000.npz,e76c326721a60b497772b742c69fd66d589c17a195f1bd7d74b996b2d3442b5f,0.0
x800,tangent_raw,5000,59.00673401545407,71.55463110084054,27.06745147705078,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/tangent_projection_800k_v1/x800/tangent_raw/samples_unguided_n5000.npz,0cff373abc0365551aecb2fc692623ade974dfb7e27ec0e501b614abb9c887cd,2.0049439308226056
x800,tangent_parallel,5000,56.81562610488322,69.51522246952698,29.37336540222168,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/tangent_projection_800k_v1/x800/tangent_parallel/samples_unguided_n5000.npz,1960ff7ca91b41e9f20773a759c4a1109e4ca14972d1c355951232aef970be09,4.196051841393455
x800,tangent_orthogonal,5000,63.650370827720735,70.00000612653264,29.16897964477539,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/tangent_projection_800k_v1/x800/tangent_orthogonal/samples_unguided_n5000.npz,0a9229742c7ffb7af0752c2c8c5987619746c3ee5f3a77e8a72e0144e45d6df0,-2.638692881444058
x800,frozen,5000,56.518650298648936,69.09579968493415,29.44308090209961,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/tangent_projection_800k_v1/x800/frozen/samples_unguided_n5000.npz,981acfc4fad0d93db592b0f0fa30b9885e80e5ba33911d2742d9a224b9b9217d,4.493027647627741
v500,baseline,5000,61.01598024834385,69.31971297110613,29.541719436645508,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/tangent_projection_800k_v1/v500/baseline/samples_unguided_n5000.npz,e76c326721a60b497772b742c69fd66d589c17a195f1bd7d74b996b2d3442b5f,0.0
v500,tangent_raw,5000,56.20175439636853,69.3553265109988,29.744333267211914,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/tangent_projection_800k_v1/v500/tangent_raw/samples_unguided_n5000.npz,8d1fa24ebbea6d9333a5bd51b4cf2c7ee72e9d0b19c9eb08075463e6ac789b3b,4.814225851975323
v500,tangent_parallel,5000,56.325296998847705,69.09681050514166,30.453481674194336,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/tangent_projection_800k_v1/v500/tangent_parallel/samples_unguided_n5000.npz,53f74048845b9b26a1efdf2685d196307bc1dbabf1918802e7e57d0c2e173ad0,4.690683249496146
v500,tangent_orthogonal,5000,62.68057271312978,69.6677647186225,29.458106994628906,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/tangent_projection_800k_v1/v500/tangent_orthogonal/samples_unguided_n5000.npz,946cf00fd5b28ae9f1123c2a2f49efb4213249f0abff6fcfed4cb922953be68a,-1.664592464785926
v500,frozen,5000,55.62884603732891,68.64006650946783,31.34203338623047,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/tangent_projection_800k_v1/v500/frozen/samples_unguided_n5000.npz,4e152dd228e89b0505befcee41abb4276cba84418c006177b611a239e4ee9d8b,5.3871342110149385
