gamma,response_scale,fid,sfid,inception_score,total_nfe,num_samples,global_seed,condition,replicate_count,fid_replicate_spread,noise_fingerprint,label_fingerprint
1.00,1.00,82.56010595176326,219.0958482961014,30.610515594482422,7018,1000,0,response_g1p0_r1p0_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.00,1.05,81.74120090906439,218.69333003156567,30.47779083251953,7006,1000,0,response_g1p0_r1p05_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.00,1.10,80.8116539994902,218.24164139242396,30.70249366760254,6976,1000,0,response_g1p0_r1p10_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.00,1.15,79.82777014557189,217.66258870008835,31.00033950805664,6922,1000,0,response_g1p0_r1p15_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.00,1.20,78.72729696238343,217.01300857458477,31.03226089477539,6982,1000,0,response_g1p0_r1p20_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.00,1.25,77.74448811821276,216.5436022955456,30.59437370300293,7066,1000,0,response_g1p0_r1p25_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.00,1.30,76.66118143806983,215.96166873241225,30.651185989379883,7054,1000,0,response_g1p0_r1p30_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.00,1.35,75.99222530166242,215.44987658577986,30.4079647064209,7132,1000,0,response_g1p0_r1p35_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.00,1.40,75.66591335846442,215.3302450713211,30.066370010375977,7372,1000,0,response_g1p0_r1p40_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.00,1.45,75.21462486392358,215.38084503012976,29.948612213134766,7588,1000,0,response_g1p0_r1p45_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.00,1.50,75.05344457339686,215.69631333197515,29.83669662475586,7852,1000,0,response_g1p0_r1p50_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,0.50,84.54987192582371,220.86804437175942,29.852542877197266,7456,1000,0,response_g1p5_r0p5_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,0.75,83.52906720267936,220.40711663667207,30.705503463745117,7750,1000,0,response_g1p5_r0p75_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.00,81.18189730693513,218.7210695184708,31.183347702026367,7846,1000,0,response_g1p5_r1p0_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.05,80.4643379695832,218.05718907341748,31.24997329711914,7786,1000,0,response_g1p5_r1p05_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.10,79.36737987790673,217.54076599584334,31.120058059692383,7870,1000,0,response_g1p5_r1p10_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.15,78.31042108044005,216.8998175160391,30.6070556640625,7762,1000,0,response_g1p5_r1p15_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.20,77.09244522024545,216.25228100447214,30.453004837036133,7918,1000,0,response_g1p5_r1p20_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.25,76.23707718797908,215.80070945599982,30.32942008972168,7888,1000,0,response_g1p5_r1p25_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.30,75.46793649213333,215.487293003579,30.851207733154297,7786,1000,0,response_g1p5_r1p30_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.35,74.92696854155383,215.4338420508252,30.75608253479004,7828,1000,0,response_g1p5_r1p35_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.40,75.28539736438512,215.56214478796733,29.740638732910156,7840,1000,0,response_g1p5_r1p40_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.45,75.00013923316914,215.6668673717562,29.07286834716797,7930,1000,0,response_g1p5_r1p45_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
1.50,1.50,75.37892166051688,216.02471782104055,29.085573196411133,8086,1000,0,response_g1p5_r1p50_n1000_seed0,2,0.000308334818214,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
