direction,time_bin,critic_seeds,samples_per_seed,A_mean,A_mean_between_seed_sd,A_se,A_se_between_seed_sd,B_mean,B_mean_between_seed_sd,B_se,B_se_between_seed_sd,AB_mean,AB_mean_between_seed_sd,B2_mean,B2_mean_between_seed_sd,gamma_hat_mean,gamma_hat_mean_between_seed_sd,gamma_hat_sample_ls,gamma_hat_sample_ls_between_seed_sd,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_mean_residual_between_seed_sd,predicted_reduction_gamma1_sample_ls,predicted_reduction_gamma1_sample_ls_between_seed_sd,B_positive_fraction,B_positive_fraction_between_seed_sd,direction_rms,direction_rms_between_seed_sd,euclidean_B_mean,euclidean_B_mean_between_seed_sd,euclidean_cosine_mean,euclidean_cosine_mean_between_seed_sd,gamma_hat_multicritic,A_positive_seed_fraction,B_positive_seed_fraction,gamma_positive_seed_fraction
internal_depth10,high_noise,4,2082,-0.0007563128197423315,0.0007468488195768111,0.0007553129393064644,0.00010237283090622096,-0.0006996445091410629,0.00044758617510327653,0.00011612003343990916,1.1137996061322871e-05,5.581283631271664e-07,3.0172925031735095e-06,2.8893288417889082e-05,5.969446776388564e-06,1.68108074253768,2.243905268954576,0.03530246650439177,0.10659359187063483,6.475318488499125e-07,1.3611243123412235e-06,-2.7777031691634738e-05,1.1866329155016604e-05,0.4404418828049952,0.03517520761985181,8.279649236268646,0.0,-0.30642921924161637,0.0,0.0005907125023086029,0.0,1.0060799855000768,0.0,0.0,1.0
internal_depth10,low_noise,4,2014,-0.0003443901061876113,0.0006337050756331097,0.00043994994858047315,0.0002872466074469812,-0.000671010531440287,0.0012618879274288153,0.00011487781917440755,2.2447376203373558e-05,-3.2555217306858146e-05,5.429013574917982e-05,2.8970652462713166e-05,1.0889310419330015e-05,-0.18462345916136147,0.6616438698278814,-0.9555452137329437,1.5516660813240863,-2.23441216651897e-06,2.1846188361927745e-06,-9.408108707642945e-05,0.00011334875482941954,0.4389275074478649,0.11310805340069242,16.168949854310803,0.0,-2.8642314550242096,0.0,-0.0027776800887294906,0.0,-0.17934839005085582,0.5,0.25,0.25
internal_depth10,overall,4,4096,-0.0005537707433020955,0.0006902635826104194,0.0004523983809395036,9.297385977152132e-05,-0.0006855652046758864,0.0004732285977295063,8.250019497715028e-05,1.1716973523740349e-05,-1.5723677833003307e-05,2.8048339492176565e-05,2.893132825828842e-05,7.992926651047577e-06,3.1509143759030525,5.404579899303011,-0.44770146249152853,0.8004956474326358,-3.3287385709895426e-07,1.117954281383726e-06,-6.037868392429492e-05,6.102486461504779e-05,0.439697265625,0.049279731232005165,12.782515059893226,0.0,-1.5640985802929208,0.0,-0.001065523503148116,0.0,0.23911015394088864,0.25,0.0,0.75
internal_depth10,q0,4,994,-0.0014114446696159861,0.0012746901680018145,0.0015342023158276188,0.00022443075772389485,-0.0008824382487878386,0.0008516308230755674,0.00020662850745487693,1.7244285416889545e-05,7.945774721516519e-07,7.300939664244945e-06,4.3940589135823726e-05,8.351236951034814e-06,1.8468790105967652,2.4131507367465406,0.04173657651217533,0.16982467621782457,2.1391701460523082e-06,2.7223623819330824e-06,-4.235143419152029e-05,2.2749323530617697e-05,0.432092555331992,0.05571479072837178,6.0350848647049675,0.0,0.06598185452537038,0.0,0.0018269845616671247,0.0,1.3086660844321527,0.25,0.0,0.75
internal_depth10,q1,4,1088,-0.00015778243483937864,0.0005656667304065833,0.0003471796994367728,3.8070546072267686e-05,-0.0005326436109711226,0.00040784251290884956,0.00011558471079018514,1.6256122264287336e-05,3.421077616838394e-07,9.062172228187213e-07,1.5146030225217176e-05,4.216507248455535e-06,2.622578606206062,4.358223076071254,0.015133823447999843,0.050980767683790694,-1.8467209423447995e-07,7.018966802434908e-07,-1.446181470184952e-05,3.1090958151153627e-06,0.44806985294117646,0.04737692635610246,9.894794922898493,0.0,-0.646665071561823,0.0,-0.0005387492872156358,0.0,0.27394150141447343,0.5,0.25,0.75
internal_depth10,q2,4,1017,-6.927655635879172e-05,0.00044935784509480333,0.0003408488326671884,3.966443060854172e-05,-0.00022134853536926602,0.0008497502127712328,0.00013485018581978848,1.1234307635041354e-05,-1.8091563202873616e-06,5.881635350770998e-06,1.9162249286715786e-05,3.5895702098963884e-06,-2.7428192866518173,4.667982657348611,-0.13071218095850015,0.3338751285699318,-8.91651112539014e-07,7.117830324460857e-07,-2.278056192729052e-05,9.214951881316106e-06,0.4847590953785644,0.0914084149198985,15.517704229949896,0.0,-2.9745934170138755,0.0,-0.0030138799261999927,0.0,-0.2549305580188471,0.5,0.5,0.0
internal_depth10,q3,4,997,-0.0006250224834954443,0.0010196277257605948,0.0007951626501752542,0.0006196775998833166,-0.0011296928283352,0.001783749542766975,0.0001832927096039208,4.9784727245644364e-05,-6.391804982776334e-05,0.000112543572113934,3.89758139772461e-05,1.853698090160633e-05,-0.293944309001537,0.8084005224509007,-1.310415074165705,2.3591293488893452,-4.827696968129055e-06,3.8038708767862104e-06,-0.00016681191363277276,0.00023293894118696108,0.3921765295887663,0.14529212696516725,16.80728092179099,0.0,-2.7516556121521036,0.0,-0.002536742039875428,0.0,-0.15906627205876334,0.25,0.25,0.5
internal_depth12,high_noise,4,2082,-0.0007563128197423315,0.0007468488195768111,0.0007553129393064644,0.00010237283090622096,2.6759012367654094e-05,0.00026508689128422876,1.5383426150961546e-05,9.302433357811122e-07,-8.373102132954174e-08,4.5592224229183695e-07,5.472381729566007e-07,6.92415077330543e-08,1.5176719882413205,4.466805230464468,-0.20738561129013589,0.8666411093400651,-2.1635803931896063e-08,6.185995989195951e-07,-7.147002156157893e-07,8.742113479836659e-07,0.5001200768491836,0.20467271831182965,0.896584377631485,0.0,-0.0336584014903958,0.0,-0.0001399891488939184,0.0,0.29749090818915813,0.0,0.5,0.5
internal_depth12,low_noise,4,2014,-0.0003443901061876113,0.0006337050756331097,0.00043994994858047315,0.0002872466074469812,-0.0003242863442129982,0.00022812280372173387,1.0665807893672688e-05,3.243476771904026e-06,-2.678422821633608e-06,6.032739397190308e-06,3.8907221596534007e-07,1.5012985957619657e-07,222.0267265432406,443.37132834698957,-10.3657578711521,21.635829286570885,-1.2920345513204662e-07,3.199343188031387e-07,-5.745917859232517e-06,1.1976321209118306e-05,0.2701092353525323,0.20831666269609445,0.8466992952567948,0.0,-0.22979997057197643,0.0,-0.004488042026334828,0.0,0.05197315100586835,0.5,0.0,0.5
internal_depth12,overall,4,4096,-0.0005537707433020955,0.0006902635826104194,0.0004523983809395036,9.297385977152132e-05,-0.0001458497152088678,0.0001408827012141541,1.0206652448571805e-05,1.4781315627026397e-06,-1.3595389524360823e-06,2.75468535125991e-06,4.6946809547115176e-07,8.755869399638644e-08,-20.76265585301008,49.86855534244648,-3.251916245524549,6.377626918524447,4.882768457329216e-08,1.7261767574303824e-07,-3.1885460003432695e-06,5.473983537071838e-06,0.38702392578125,0.14383044756067911,0.8724124536553716,0.0,-0.13010105777220815,0.0,-0.002277923351815303,0.0,1.1751972124623742,0.25,0.25,0.5
