direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean,critic_seed
v180,overall,0.0,1.0,4096,-0.0008128565854832459,0.0004074946269409231,-0.0001412080643934388,3.5307036092477706e-05,-2.2784756882656077e-06,5.124712653767206e-06,5.756445915287364,-0.4446055500479011,2.0962409268135644e-07,-9.681664030298403e-06,0.46533203125,7.847998453620958,-13.534363247865258,-0.030454216146397647,seed0
v180,high_noise,0.0,0.5,2082,-0.0010556674468569015,0.0007511129663238108,-3.176714797188549e-05,5.6289746851496374e-05,-1.9141496270683138e-06,6.594731736550399e-06,33.23142032741455,-0.29025435810518285,6.606193629654378e-08,-1.0423030990686869e-05,0.5110470701248799,5.543600873420876,-8.432723818241291,-0.028456408424789022,seed0
v180,low_noise,0.5,1.0,2014,-0.0005618475420969745,0.0002898519632384771,-0.0002543441060963554,4.193748707119637e-05,-2.6551027286890286e-06,3.605060354683487e-06,2.209005550473125,-0.736493280962598,2.211142974082247e-07,-8.915265812061508e-06,0.41807348560079444,9.669156149238823,-18.80825266816173,-0.03251947715751441,seed0
v180,q0,0.0,0.25,994,-0.002382012566652756,0.0015318882581420497,-0.00011446353291867346,0.00010875007629229805,-3.0572463323659014e-06,1.1756894940293817e-05,20.810231048391458,-0.2600385856888075,5.322052473032791e-07,-1.78713876050258e-05,0.4859154929577465,3.5134504752730393,-4.939360301304511,-0.023877134091151636,seed0
v180,q1,0.25,0.5,1088,0.00015608535560364972,0.0003247554107597778,4.37845125401616e-05,4.1550527505755135e-05,-8.698131150593047e-07,1.8785642507774609e-06,3.564853107830755,-0.46302015738845487,1.1751158881147599e-08,-3.618190480896076e-06,0.5340073529411765,6.894206922063025,-11.62427100191331,-0.03264004692445406,seed0
v180,q2,0.5,0.75,1017,-0.0006061631504738394,0.000379598220923697,-0.00016972245127238532,5.545442087979892e-05,-3.393352080943427e-06,3.153201590301609e-06,3.571496557641724,-1.0761608428019493,1.7695328107291635e-07,-9.939905752188462e-06,0.45722713864306785,9.936142716975663,-18.91528119280158,-0.033114832363441704,seed0
v180,q3,0.75,1.0,997,-0.0005166429546152577,0.00043939124605304103,-0.00034066328659382533,6.297455989047382e-05,-1.9020439611436704e-06,4.065983487458181e-06,1.516579493437618,-0.4677943152033603,2.3595109899664968e-07,-7.870071409745593e-06,0.3781344032096289,9.388995002098834,-18.69907713199451,-0.03191217901866981,seed0
v240,overall,0.0,1.0,4096,-0.0008128565854832459,0.0004074946269409231,-0.00014287967798320977,3.215103973161033e-05,-2.304355661913091e-06,4.253372514478164e-06,5.689098666493125,-0.5417714188139494,2.1186677198016952e-07,-8.862083838304352e-06,0.45556640625,7.078485099081674,-13.187096007060973,-0.03214640908057684,seed0
v240,high_noise,0.0,0.5,2082,-0.0010556674468569015,0.0007511129663238108,-1.8244318626512947e-05,5.0901616975705246e-05,-2.923676220906561e-06,5.392151020115012e-06,57.8628047705102,-0.542209632111565,3.818701136604371e-08,-1.1239503461927874e-05,0.4966378482228626,5.002349347244012,-7.95457434988832,-0.028917695993653198,seed0
v240,low_noise,0.5,1.0,2014,-0.0005618475420969745,0.0002898519632384771,-0.0002717231825416223,3.8619439422842694e-05,-1.664124577591145e-06,3.0761446849171325e-06,2.067720305796548,-0.5409773427597975,2.3150051655300827e-07,-6.4043938400993965e-06,0.4131082423038729,8.719704415400775,-18.596286717206684,-0.03548413532038569,seed0
