direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean
v180,overall,0.0,1.0,4096,-9.533040018538941e-05,0.00034872710433799236,-0.00010150734898051184,3.565781315878104e-05,-2.2707884802665075e-06,5.217012864693525e-06,0.9391477675541667,-0.4352660304202462,9.049730503088927e-09,-9.75858982522654e-06,0.466064453125,7.847998453620958,-13.534363247865258,-0.030454216146397647
v180,high_noise,0.0,0.5,2082,-0.0002990502222328412,0.0006518985409918579,-4.513093216850634e-05,5.840407769816222e-05,-3.312541423185964e-06,7.100403324217919e-06,6.6262806430913255,-0.46652862829462255,2.4956029550735887e-08,-1.3725486170590028e-05,0.48222862632084534,5.543600873420876,-8.432723818241291,-0.028456408424789022
v180,low_noise,0.5,1.0,2014,0.00011526774753198627,0.0002211967769172874,-0.00015978723964714313,4.014690051257734e-05,-1.1938621509922727e-06,3.2700322605575816e-06,-0.7213826822875913,-0.36509185716372844,-6.236859235101331e-08,-5.657756562542151e-06,0.4493545183714002,9.669156149238823,-18.80825266816173,-0.03251947715751441
v180,q0,0.0,0.25,994,-0.0010206238986803424,0.0013141632020710816,-3.3475067004905985e-05,0.00010910564457245285,-6.822384053068151e-06,1.1821833965938392e-05,30.489077095223244,-0.5771003105546157,6.721032667928289e-08,-2.54666020720743e-05,0.4879275653923541,3.5134504752730393,-4.939360301304511,-0.023877134091151636
v180,q1,0.25,0.5,1088,0.00036018161084511494,0.00033862784168214925,-5.5779764863927994e-05,5.0606069404228935e-05,-1.0593887345903903e-07,2.786890403381382e-06,-6.457209199855186,-0.03801329012813047,-4.329307329077777e-08,-2.9987681502995132e-06,0.47702205882352944,6.894206922063025,-11.62427100191331,-0.03264004692445406
v180,q2,0.5,0.75,1017,0.0004312393882594849,0.000286141070446816,-8.714992590541627e-06,5.400413615051716e-05,-2.585485463311691e-07,2.9631858200012647e-06,-49.48247331013323,-0.08725357167477898,-7.592447242715398e-09,-3.4802829126635794e-06,0.5014749262536873,9.936142716975663,-18.91528119280158,-0.033114832363441704
v180,q3,0.75,1.0,997,-0.0002070423413545394,0.0003381658963344015,-0.00031389002325452904,5.914812891400192e-05,-2.1479383154259144e-06,3.5830340961100133e-06,0.6596015356201737,-0.5994747071365754,3.145010398616823e-08,-7.878910726961843e-06,0.39618856569709127,9.388995002098834,-18.69907713199451,-0.03191217901866981
v240,overall,0.0,1.0,4096,-9.533040018538941e-05,0.00034872710433799236,-0.00011140359604100425,3.194242123993029e-05,-1.1010805077718038e-06,4.1906140959810405e-06,0.8557210321137318,-0.2627492015615998,8.829537574493539e-09,-6.392775111524582e-06,0.4599609375,7.078485099081674,-13.187096007060973,-0.03214640908057684
v240,high_noise,0.0,0.5,2082,-0.0002990502222328412,0.0006518985409918579,-4.1344875015975566e-05,5.203473730662063e-05,-1.4545161381908773e-06,5.636253896640207e-06,7.2330663018642305,-0.25806433934034095,2.3018989433346426e-08,-8.545286173022122e-06,0.484149855907781,5.002349347244012,-7.95457434988832,-0.028917695993653198
v240,low_noise,0.5,1.0,2014,0.00011526774753198627,0.0002211967769172874,-0.0001838277555117638,3.6367416134157114e-05,-7.357115988678755e-07,2.69616421267797e-06,-0.627042130885452,-0.27287343827515925,-7.617146631989619e-08,-4.167587410413729e-06,0.43495531281032773,8.719704415400775,-18.596286717206684,-0.03548413532038569
