family,name,kind,component,gamma,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g0,head_difference,,0.0,87.37901323689061,220.39048577414292,28.357709884643555,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7114,54.067021627910435
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g0p25,head_difference,,0.25,77.16875041342666,215.83582204993013,31.276172637939453,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7450,55.99955952190794
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g0p5,head_difference,,0.5,71.43609961895476,214.08093574928148,33.198890686035156,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8146,61.10077005403582
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g0p65,head_difference,,0.65,70.04783837299783,214.23174874781785,33.59059143066406,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8536,61.147826877073385
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g0p75,head_difference,,0.75,69.74038598488016,214.6267434497704,33.575897216796875,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8968,64.7361615189584
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g0p9,head_difference,,0.9,69.50016151723742,215.8700459481139,33.358184814453125,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9430,66.52786836889572
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g1,head_difference,,1.0,70.04736586906239,216.94936642452694,32.17917251586914,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9460,66.72404745407403
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g1p1,head_difference,,1.1,70.98285870875804,217.84522973176263,31.78702735900879,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9328,65.9235715320101
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g1p25,head_difference,,1.25,73.43014845450625,219.38995822641823,30.183073043823242,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9346,65.9194389639888
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g1p5,head_difference,,1.5,78.34151784659224,223.84775571967555,28.285215377807617,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9958,71.03363202000037
x800_transfer,x800_plus_g_depth8v_minus_depth4v_g2,head_difference,,2.0,92.90451906160462,232.91747395883976,24.129613876342773,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10228,72.57328191399574
