mode,rank,batch_index,batch_size,nfe,elapsed_seconds,endpoint_mean,endpoint_std
velocity,0,0,64,50,2.1176511240191758,0.05561162531375885,0.8308307528495789
velocity,0,1,64,56,1.760645109694451,0.0661032572388649,0.8445486426353455
velocity,0,2,64,56,1.9555973741225898,0.05045779049396515,0.7897450923919678
velocity,0,3,64,56,1.779434028081596,0.04566697031259537,0.8247584700584412
velocity,0,4,64,56,1.939154116436839,0.04553593322634697,0.8141393661499023
velocity,0,5,64,56,1.781258497852832,0.04066682234406471,0.8255906105041504
velocity,0,6,64,50,1.779366425704211,0.0900019109249115,0.8169753551483154
velocity,0,7,64,56,1.780063564889133,0.03352582827210426,0.8120630979537964
velocity,0,8,64,50,1.7798063619993627,0.059260811656713486,0.8338150978088379
velocity,0,9,64,56,1.7843272779136896,0.06463157385587692,0.8203381299972534
velocity,0,10,64,50,1.7779350252822042,0.07959777861833572,0.8323162794113159
velocity,0,11,64,50,1.5998962228186429,0.05821963772177696,0.8621912598609924
velocity,0,12,64,50,1.7823123633861542,0.0666843056678772,0.8003548979759216
velocity,0,13,64,50,1.6326083950698376,0.08434636890888214,0.8192345499992371
velocity,0,14,64,56,1.9247126230038702,0.06653702259063721,0.806652307510376
velocity,0,15,64,56,1.9416317180730402,0.04592064023017883,0.8276215195655823
velocity,0,16,64,56,1.7800008729100227,0.09043942391872406,0.7977399230003357
velocity,0,17,64,62,2.13801100384444,0.04770227521657944,0.8092934489250183
velocity,0,18,64,56,1.7689526989124715,0.035306982696056366,0.8222203254699707
velocity,0,19,64,56,1.9367869971320033,0.03544360399246216,0.8260788917541504
velocity,1,0,64,56,1.6623561950400472,0.07062894105911255,0.8278637528419495
velocity,1,1,64,50,1.2360047181136906,0.07019959390163422,0.8026672005653381
velocity,1,2,64,50,1.2377081983722746,0.05241035670042038,0.8050869703292847
velocity,1,3,64,50,1.2368905702605844,0.053835831582546234,0.8157839179039001
velocity,1,4,64,56,1.3811736330389977,0.034399859607219696,0.806513786315918
velocity,1,5,64,56,1.380472688935697,0.05517422780394554,0.8444116711616516
velocity,1,6,64,62,1.5245522316545248,0.04981261491775513,0.7997668385505676
