condition,mode,gamma,num_samples,global_seed,fid,sfid,inception_score,total_nfe,noise_fingerprint,label_fingerprint,sample_sha256,gpu
baseline_g0,baseline,0.0,1000,0,86.81510380091379,219.92537964478572,29.279701232910156,6670,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,f6b6aecfdc50de4fe50017cdadb41179339b9bbd03b11266562f140124ab9314,0
etg_channel_g0p25,etg_channel,0.25,1000,0,74.90155658212541,214.7808676556532,31.306676864624023,7780,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,9562a4dce4ec566fb111a8acebfb3129554826d96b386a5c8bba17b183891c8c,0
etg_channel_g0p3,etg_channel,0.3,1000,0,74.67550304404688,214.8663335077572,31.019590377807617,8140,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,dd04d72ef2a001b04f9f2ee862a7a42e454edee055026970a39cbef92cf73734,1
etg_channel_g0p35,etg_channel,0.35,1000,0,74.24257600177498,215.21853645717817,30.675020217895508,8770,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,1a4436511800c454647635b076913ecbd05a0cf83df449360bf0eb7b1eefd928,0
etg_channel_g0p4,etg_channel,0.4,1000,0,74.52225066458641,215.39689378096818,30.517574310302734,8722,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8a58769dd8879d4a7d049e1aac1d0c3270bfcf5bd5b572c16af241bc0d3e63ac,1
etg_channel_g0p45,etg_channel,0.45,1000,0,75.61513946295361,215.98689151058522,29.916730880737305,8788,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,c86f774b8dced0b2868e437e78d7b8b300a4c1b58d5522e5f38d6ad7a126eb4c,0
etg_channel_g0p5,etg_channel,0.5,1000,0,76.62504718950362,216.66817244142806,28.992870330810547,8890,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8726604546c21971e9255d37cab885eb5301129d08f9b55f52648d2ca1315412,1
etg_scalar_g0p25,etg_scalar,0.25,1000,0,74.87104733043316,214.78639155035614,31.270475387573242,7726,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,14d1186cc8f6bcc83851fff0bec92125a7f4518c6cfdfcb5a061e6ec32d2d47e,0
etg_scalar_g0p3,etg_scalar,0.3,1000,0,74.65852091601778,214.8796199204096,31.049795150756836,8350,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,87c27b20d9b7abda9f2f1d69004ebc67bdd74341d6ae4a15c789356b0fa71a0d,1
etg_scalar_g0p35,etg_scalar,0.35,1000,0,74.2922346972125,215.2241928129423,30.6141357421875,8728,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,593201aa886fe1f0f83f97b0fc43f1e50e6fd2c21857a71ec3c872fce8edbcf0,0
