condition,mode,gamma,num_samples,fid,sfid,inception_score,total_nfe,sampling_peak_memory_mib,fid_peak_memory_mib,noise_fingerprint,label_fingerprint,sample_sha256
full,full,0.0,1000,86.90718126515054,220.16784851898842,29.247684478759766,6714,1824,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,9d1caa72fe8ad1776c978131ea42d44ecaf839ce1da4cdb1374bb2febcd44a3c
internal,internal,0.0,1000,124.97482997460895,223.92848147452685,19.793672561645508,11802,1824,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,1da5dc01e3fe38f8adc25343d44fef9266527ed4e31b47b7c94a59032548c541
extrap_gamma_0p01,extrapolation,0.01,1000,86.95458815296558,220.266802052294,29.2728328704834,6618,1824,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,307b110034d8b58ea1fe3e72ba49137bb91f200d038c91a4154cff482343eaa1
extrap_gamma_0p03,extrapolation,0.03,1000,86.94289284301612,220.429576484064,29.39164924621582,6624,1824,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,38ae6c353a368c05d335528772b9b381b6d8642ceee0256c5b80929410413457
extrap_gamma_0p05,extrapolation,0.05,1000,86.98961354883198,220.63551878650821,29.350370407104492,6732,1824,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,6cc74068d3cf33b9d06ce5d0f3734c53f97ddca6a99aea1632c0cf30f272c08b
extrap_gamma_0p08,extrapolation,0.08,1000,86.86140875009255,220.89488475183634,29.147899627685547,7062,1824,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,e6ebba5650a3079e4e479533ae7a953d8f64f6c119011674c6c7a6130b171e36
extrap_gamma_0p1,extrapolation,0.1,1000,87.0071230945274,221.0501956766725,29.063800811767578,7668,1824,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,5257aee9a0dbdae0659174080a1956b1fbbf80cc4f048cb1f4c5b29953e54f13
extrap_gamma_0p12,extrapolation,0.12,1000,86.97888175481847,221.21110941678,28.841777801513672,8148,1824,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,2e6efb3389583e0051cf8631a6c9cff8f9fcb370bd976d3c4803674b7c35c940
extrap_gamma_0p15,extrapolation,0.15,1000,87.1847245473187,221.51841891252468,28.692371368408203,9024,1824,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,287381d56f96365b18e3f634a5706e3451b873acccbc3e75b6dda35746122900
extrap_gamma_0p2,extrapolation,0.2,1000,87.77996682413954,221.9635670746153,28.41781997680664,9606,1824,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,584b50040d9f018f711b425cb43d747942b39fcfa9c1bbd2573bc32aa62898e7
