step,branch,t_min,t_max,count,internal_velocity_mse,internal_native_mse,frozen_velocity_mse,full_internal_gap_rms,direction_residual_cosine,positive_alignment_fraction
50000,raw,0.0,0.2,448,0.627500146361334,0.5091088256532592,0.6262172600919647,0.04073254713356229,-0.0064833286258233,0.45089285714285715
50000,raw,0.2,0.4,402,0.6867286490267189,0.3380453555997628,0.6833117479337981,0.061222693470505934,-0.0050639665976686685,0.4427860696517413
50000,raw,0.4,0.6,436,0.819689758600445,0.21099707432979836,0.8094778853135371,0.10172281783381733,-0.00324865438844026,0.4426605504587156
50000,raw,0.6,0.8,402,0.9439163692851564,0.08445210743751098,0.8920449546320521,0.22028838550273458,-0.0014471608617248927,0.48507462686567165
50000,raw,0.8,1.0,360,2.1811811740199727,0.02049104838839008,0.9963697838286559,0.9533165744609303,0.0028379359013342765,0.5638888888888889
50000,ema,0.0,0.2,448,0.6274103534274867,0.5090359321662358,0.6262172600919647,0.04093607047772301,-0.008164656332001283,0.43973214285714285
50000,ema,0.2,0.4,402,0.6867370444595517,0.33803534522578493,0.6833117479337981,0.062081788782382484,-0.006249981100385168,0.40298507462686567
50000,ema,0.4,0.6,436,0.8199624357010247,0.21106265967182064,0.8094778853135371,0.10304291264384711,-0.003151624867881631,0.44036697247706424
50000,ema,0.6,0.8,402,0.9455057292138759,0.08456448536940772,0.8920449546320521,0.22339892135330694,-0.0012675413752604706,0.47761194029850745
50000,ema,0.8,1.0,360,2.239281992945406,0.020607290595459443,0.9963697838286559,0.9725307708813085,0.002550560956034234,0.575
