condition,mode,gamma,num_samples,fid,sfid,inception_score,total_nfe,sampling_peak_memory_mib,fid_peak_memory_mib,noise_fingerprint,label_fingerprint,sample_sha256
full,full,0.0,1000,86.90305289466949,220.17304255372096,29.249780654907227,6714,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,9d1caa72fe8ad1776c978131ea42d44ecaf839ce1da4cdb1374bb2febcd44a3c
internal,internal,0.0,1000,235.60697602971982,287.52436945965974,4.068414688110352,9378,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,728b6fff9d0a5b2f4ee604bf50523e09d054806d74b43225a446c482cbf626d1
extrap_gamma_0p01,extrapolation,0.01,1000,85.88689465558673,220.1177417645846,29.45223617553711,6720,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,f74e0ed945c79c291ae0d49cc6e41a2e926d9301b354f64afc702ed94cdbea40
extrap_gamma_0p03,extrapolation,0.03,1000,84.49093700294753,220.09485686683922,29.329788208007812,6678,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,6a748a88f4a909e5d4cf2c5a86b4812d9c9fbd70859ea60152efc1eba7e75933
extrap_gamma_0p05,extrapolation,0.05,1000,83.14648999435451,220.08235176257472,29.21961784362793,6804,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,25e568054c028ae5776e0eb7a3e292ed59d3086bb311950368d39ff2fbd7a018
extrap_gamma_0p08,extrapolation,0.08,1000,81.45929878429456,220.03686134035524,29.238361358642578,6960,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,66ca1306b783b9c98b159f112bc0f61e10f5b82c7edf45767bd0796c50771fc8
extrap_gamma_0p1,extrapolation,0.1,1000,80.97065906954242,220.04019012665958,29.57802963256836,7092,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,ab08d220ed504aa0875255e8e6ade23ee04439914027d4ad1df49bedfbae4b58
extrap_gamma_0p12,extrapolation,0.12,1000,80.39330364847547,220.10038757600967,29.439857482910156,7818,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,fbe986e4682a9e7679b7218a631c131b4c235c0331f0565ae93fbc7df2f5ea37
extrap_gamma_0p15,extrapolation,0.15,1000,79.82587523557117,220.48733580457895,29.396024703979492,8100,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,e5a9f30fb112c36496b2824ec6477ada379e577fc494562fed1e040b1438cdb7
extrap_gamma_0p18,extrapolation,0.18,1000,79.71202217704354,220.81033302713786,28.867454528808594,8082,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,ab38dc440c40ed6b3a6bbfc6e0ac4fbf72e93ea5969219b82f8c53161365365f
extrap_gamma_0p2,extrapolation,0.2,1000,79.92095649924835,220.99630600038654,28.330373764038086,7902,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,4f1007fb0ba3ca157e35e71c37a734565120ff38056cb439af54b1ab8b68512c
extrap_gamma_0p4,extrapolation,0.4,1000,91.64430389537489,224.86046328492114,23.322938919067383,10044,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,631e9674356406f637adce845ee8d13ac6865b9cab8a00a71b1ed5a9060cc6af
extrap_gamma_0p6,extrapolation,0.6,1000,112.55015477528912,229.187121238028,16.231115341186523,10854,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,a1cdc7e74b6314386eb2763695ebba51252e086dd521c900ca72578072c74d71
extrap_gamma_0p8,extrapolation,0.8,1000,134.32357637783366,235.8209000366528,12.77308464050293,12780,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,0f1af9256d2e21b2a7058813491b53b74e7c05fa6c7e30e7394b5bb9db5838f8
extrap_gamma_1,extrapolation,1.0,1000,147.9232171533738,243.0408429758437,10.153249740600586,14172,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,ad95c0f5a3c10ea4d8e3717aa199ed1b52b8097f7ebe4a2f3161f643c7ef2a33
extrap_gamma_1p5,extrapolation,1.5,1000,168.99972424941166,257.53125535320225,8.517428398132324,16290,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,7f7e4bbac66c2d459c84c6590c73914ecfc39cf6e24cf6fcc4cd3a8182a2337a
