condition,mode,gamma,num_samples,fid,sfid,inception_score,total_nfe,sampling_peak_memory_mib,fid_peak_memory_mib,noise_fingerprint,label_fingerprint,sample_sha256
full,full,0.0,1000,86.9044892372483,220.16951048174496,29.251832962036133,6714,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,9d1caa72fe8ad1776c978131ea42d44ecaf839ce1da4cdb1374bb2febcd44a3c
internal,internal,0.0,1000,225.72896340700544,276.0203701083517,6.477643013000488,7176,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,7cc4d5a0ab225d934a027ffb71b51afaa7ddca868fff1e897dfeb39e0846b68f
extrap_gamma_0p01,extrapolation,0.01,1000,86.05687317557909,219.87796136557017,29.449195861816406,6846,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,d815cee292e01c4496f8ce63a1386e8f29073aad2084cd348e9707b59607c047
extrap_gamma_0p03,extrapolation,0.03,1000,84.49525729992024,219.26853162486657,29.64249610900879,6726,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,f604498faca60931db0883136f3a409b010ab1481b2b4c8c6417c72cb9f981a1
extrap_gamma_0p05,extrapolation,0.05,1000,83.05553387646847,218.68790945941987,29.869224548339844,6786,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,567bd90db7b681511979f399f13027bda68f12d0dcc6d6d5a95e72ecda4efe2f
extrap_gamma_0p1,extrapolation,0.1,1000,79.84580873165743,217.4677122891851,30.175771713256836,6894,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,bef3bcadc022187739ee88e99b3ce23ad8439306fe7816dfb6fb9adcec67b768
extrap_gamma_0p2,extrapolation,0.2,1000,75.95027292912255,215.8733028365425,30.55446434020996,7434,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,59ae1e910d11ad5e3c32bef9a4300ba1b2557b04fddc434a3628caa7f8c0bf7b
extrap_gamma_0p4,extrapolation,0.4,1000,74.45056928152775,215.9871038431079,30.474538803100586,8724,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,dc0033c9df41b1a9332ce82b6babaad2161d252f5e27500f9c1ba7e3181ac1f1
extrap_gamma_0p6,extrapolation,0.6,1000,80.10373811002228,220.01678393521536,28.71632957458496,9138,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,98be00189182483941487acdf9bdfa0d8565f1bf6413333b67c2fb4eee53b1a8
extrap_gamma_0p8,extrapolation,0.8,1000,88.67216835109241,225.4992604807967,24.17558479309082,11244,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,38c750d88d3dcbfed00a963e1377abe30ea1d16900d42e5ed14529a7db2b0f49
