condition,mode,gamma,num_samples,fid,sfid,inception_score,total_nfe,sampling_peak_memory_mib,fid_peak_memory_mib,noise_fingerprint,label_fingerprint,sample_sha256
full,full,0.0,1000,86.90483857887506,220.1673404031592,29.24515724182129,6714,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,9d1caa72fe8ad1776c978131ea42d44ecaf839ce1da4cdb1374bb2febcd44a3c
internal,internal,0.0,1000,221.79198778506736,274.20172835095184,6.476973533630371,8802,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,08c70504da88efe232d7baf1da70464f0eb2179b5755abeaceecbddda4face83
extrap_gamma_0p01,extrapolation,0.01,1000,86.23992830677184,219.82952014837224,29.370695114135742,6810,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,65c67c80e528c5abfb2d81b8eac7969113293b563db9187039eb9ac536f2c4b9
extrap_gamma_0p03,extrapolation,0.03,1000,84.96884137954112,219.21641333270418,29.717845916748047,6918,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,a05254caa51bd32f4c194e5b395dc53c97b7851d214fe9365b36711fc1f08699
extrap_gamma_0p05,extrapolation,0.05,1000,83.76289542506248,218.60908981805903,29.762176513671875,7182,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,c897271898404da3b2dc2930db70b2ca8bf6aeb9077c60a072b9ee247432927e
extrap_gamma_0p08,extrapolation,0.08,1000,82.15342528461832,217.88012306670078,29.82958984375,8034,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,f7d8ba48e71f59d87bce3a971fb321512898271496cffec80c0d0d480e330c3d
extrap_gamma_0p1,extrapolation,0.1,1000,81.65591328719063,217.43735940708802,29.623626708984375,8646,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,c8ff036d8444debde470cce6b008d580b80dc67bba39da95bcf8f3eb9f3acff5
extrap_gamma_0p12,extrapolation,0.12,1000,81.29293943369379,217.10555508294067,29.360511779785156,8988,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,9e4e1e3bcb89ceaee562133f1c2525a9327f9ee0a6fc7ef349883c7a0935675c
extrap_gamma_0p15,extrapolation,0.15,1000,81.2269760552469,216.70856359639708,28.808452606201172,9450,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,6ee383efbeac5098acf67569f8fb415bd63c5f95fc31d44efbb75364958f2352
extrap_gamma_0p18,extrapolation,0.18,1000,81.72299501642635,216.59606615367898,28.293781280517578,9360,1802,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,3ceb4fa92721204fc9462fcce9c06b57ab990e8d0676ccae0942774b5fc96cca
