alpha,condition,extrapolation_space,fid,fid_peak_memory_mib,gamma,global_seed,inception_score,label_fingerprint,mode,noise_fingerprint,num_samples,sample_sha256,sampling_peak_memory_mib,sfid,source_step,total_nfe,weights
0.0,final,hidden,86.90710342246939,6450,0.0,0,29.248441696166992,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,final,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,9d1caa72fe8ad1776c978131ea42d44ecaf839ce1da4cdb1374bb2febcd44a3c,1824,220.16757499184837,800000,6714,ema
0.0,internal_depth8,hidden,237.5300193404932,6450,0.0,0,2.5605626106262207,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,internal,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,3f1ebd3dc9c3e7871fa46800164e70b13caf2b14b1b08498cb5948980abecbf4,1824,346.5192391674909,800000,6420,ema
0.005,hidden_alpha_0p005,hidden,86.72173497604768,6450,0.0,0,29.452064514160156,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,interpolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,44096dfc7e321a8ab81b471271ecadbd46bc366b273e4163ae2ce42568cb71bf,1824,219.25583856782748,800000,6744,ema
0.01,hidden_alpha_0p01,hidden,86.60163060856496,6450,0.0,0,29.758380889892578,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,interpolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,adca44648ccc9a723697fd6606f87ea0a69c534fcdecb16909e05d7ea1d0d820,1824,218.37443539761398,800000,6810,ema
0.02,hidden_alpha_0p02,hidden,86.38296755937847,6450,0.0,0,29.962812423706055,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,interpolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,2c0d09c1acdf2ec52d83c30f433d506050af6bd221ec4402c25e8a5143effd18,1824,216.5614912201047,800000,6822,ema
0.03,hidden_alpha_0p03,hidden,86.40874219304135,6450,0.0,0,30.233470916748047,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,interpolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,2815d6b517b24d469736d82b162b93f861e722534b0539f853fcfa8652f395e9,1824,214.81882894169644,800000,6756,ema
0.05,hidden_alpha_0p05,hidden,87.10782099383334,6450,0.0,0,30.64288330078125,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,interpolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,f27fad488f57420daeb09cedb35257f8a0e3d21bb85f691c507c54a41b472592,1824,211.43205853276606,800000,6864,ema
0.1,hidden_alpha_0p1,hidden,90.97220794967348,6450,0.0,0,28.786174774169922,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,interpolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,2932a1f59038097d6aa976097657993c390dd275891e1aed5690a5676d1f4fba,1824,205.0725459696232,800000,6918,ema
0.2,hidden_alpha_0p2,hidden,112.43725680888491,6450,0.0,0,20.818567276000977,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,interpolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,8abe7449295701c056e7d4e0a098323dc82c81f84cc7aed50d50e32798bcc854,1824,212.89595991884516,800000,9096,ema
0.4,hidden_alpha_0p4,hidden,166.4341231913313,6450,0.0,0,6.447856426239014,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,interpolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,c15f93af9706abc7c1147e8538fa6e5c41d20ad5ca010a22d95f0898054e8041,1824,281.378924679981,800000,8778,ema
0.6,hidden_alpha_0p6,hidden,213.90641026959355,6450,0.0,0,3.3833041191101074,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,interpolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,33d74f21ecf11a52153e1efdbafff16acc4560cad3e94db87c59743502555160,1824,308.78074390717325,800000,8184,ema
