name,group,hypothesis_id,kind,provider,amplitude,interval,band,order,gamma,rms_matched,reverse,depth,depths,num_samples,integrator,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds,fid_improvement_vs_matched_baseline,fid_gain_vs_adaptive_baseline,matched_baseline_name,matched_baseline_fid,fid_gain_vs_integrator_baseline
screen_map_depth12_x_equal_action_early_high,screen,causal_map,band_time,depth12_x,equal_action,early,high,,0.08,,,,[],1000,dopri5,84.9231643337522,222.2673247499007,29.57610321044922,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6652,53.97300299903145,0.0455400600837379,0.0455400600837379,screen_baseline_adaptive,84.96870439383594,0.0455400600837379
screen_map_depth12_x_equal_action_early_low,screen,causal_map,band_time,depth12_x,equal_action,early,low,,0.08,,,,[],1000,dopri5,84.79613919425145,221.9178681106844,29.424659729003903,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6634,53.82801102299709,0.1725651995844828,0.1725651995844828,screen_baseline_adaptive,84.96870439383594,0.1725651995844828
screen_map_depth12_x_equal_action_early_mid,screen,causal_map,band_time,depth12_x,equal_action,early,mid,,0.08,,,,[],1000,dopri5,84.86435843371123,222.29939724917244,29.698884963989254,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6712,55.0616857620189,0.1043459601247036,0.10434596012470365,screen_baseline_adaptive,84.96870439383594,0.10434596012470365
screen_map_depth12_x_equal_action_late_high,screen,causal_map,band_time,depth12_x,equal_action,late,high,,0.08,,,,[],1000,dopri5,84.94229758870404,222.28608775063023,29.420976638793945,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6634,53.150410952046514,0.0264068051318986,0.026406805131898636,screen_baseline_adaptive,84.96870439383594,0.026406805131898636
screen_map_depth12_x_equal_action_late_low,screen,causal_map,band_time,depth12_x,equal_action,late,low,,0.08,,,,[],1000,dopri5,84.93970719818128,222.22677260905527,29.5812931060791,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6616,53.09595558798173,0.0289971956546537,0.02899719565465375,screen_baseline_adaptive,84.96870439383594,0.02899719565465375
screen_map_depth12_x_equal_action_late_mid,screen,causal_map,band_time,depth12_x,equal_action,late,mid,,0.08,,,,[],1000,dopri5,84.98182819284744,222.27909687543087,29.49002456665039,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6658,52.96225142502226,-0.0131237990115096,-0.013123799011509618,screen_baseline_adaptive,84.96870439383594,-0.013123799011509618
screen_map_depth12_x_equal_action_mid_high,screen,causal_map,band_time,depth12_x,equal_action,mid,high,,0.08,,,,[],1000,dopri5,84.8683314079758,222.27230708807545,29.50458335876465,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6640,53.13634778599953,0.1003729858601332,0.10037298586013321,screen_baseline_adaptive,84.96870439383594,0.10037298586013321
screen_map_depth12_x_equal_action_mid_low,screen,causal_map,band_time,depth12_x,equal_action,mid,low,,0.08,,,,[],1000,dopri5,84.93011538573319,222.2252982729236,29.545358657836918,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6640,52.453132482012734,0.0385890081027469,0.0385890081027469,screen_baseline_adaptive,84.96870439383594,0.0385890081027469
screen_map_depth12_x_equal_action_mid_mid,screen,causal_map,band_time,depth12_x,equal_action,mid,mid,,0.08,,,,[],1000,dopri5,84.92135372183554,222.32061575213288,29.52634048461914,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6658,55.50910290097818,0.0473506720003911,0.047350672000391114,screen_baseline_adaptive,84.96870439383594,0.047350672000391114
screen_map_depth12_x_native_early_high,screen,causal_map,band_time,depth12_x,native,early,high,,0.08,,,,[],1000,dopri5,84.93442834522938,222.2865578746339,29.58149719238281,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6652,53.25645229202928,0.0342760486065572,0.0342760486065572,screen_baseline_adaptive,84.96870439383594,0.0342760486065572
