condition,branch_role,trajectory_rms_difference_mean,trajectory_rms_difference_std,endpoint_rms_difference_mean,endpoint_rms_difference_std,endpoint_max_abs_difference_mean,endpoint_max_abs_difference_std,seed_count
factorized_g1_r1p5,baseline,0.00051083683501925,0.000109302665575003,0.00081038830103345,0.00017887377694017834,0.028150662779808003,0.001478743253428996,2
factorized_g1_r1p5,condition,0.001858219387941,0.00022721744695319664,0.0030915138777345003,0.00040688402916291193,0.16151151806116099,0.06417493049524925,2
factorized_g1p5_r1p35,baseline,0.00051422347314655,8.669845461074234e-05,0.0008160008874256,0.0001319045304744342,0.03572366852313275,0.021327257601870885,2
factorized_g1p5_r1p35,condition,0.00164002901874475,0.00011654426793894511,0.0027250155108049,0.00021862739239098848,0.12669915705919266,0.057340502907843885,2
factorized_g2_r1p35,baseline,0.00027158663579025,6.291764069564604e-05,0.00044346704089545,0.00011721221728572892,0.0110421627759933,0.004234051327980191,2
factorized_g2_r1p35,condition,0.0012032028171233499,0.00018203429667009775,0.00202732736943285,0.0003253958140631213,0.1133828461170196,0.033581723809661665,2
factorized_g2p5_r1p35,baseline,0.00038085761480025,8.76853658740299e-05,0.0006061218737158499,0.00014357780810486377,0.021421499550342497,0.014273820501623862,2
factorized_g2p5_r1p35,condition,0.00197076500626275,0.0004215451232260378,0.0032760893227532003,0.000640868679480034,0.18773669749498365,0.02702100839319817,2
factorized_g3_r1,baseline,0.00037686566065525,5.4426213463362204e-05,0.0005968211044091499,8.7754554206403e-05,0.019691042602062198,0.00933629612514837,2
factorized_g3_r1,condition,0.0011678921291604,0.0001624123868283231,0.0018704971298574998,0.00029894463303744304,0.0767647325992584,0.008109938737314706,2
